"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c6ae79c5-d25e-463a-9890-7ae53b5e64ce","","folder-normal","fail","","step","TRUE","FALSE","3000 - Provision of Civil and Structural elements for the Tauhara Project Field Facilities - Establishment Audit"
"29000cc1-0496-4ac9-bb95-b486bc96fec7","","checklist-sectioned","pass","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","3000 - Provision of Civil and Structural elements for the Tauhara Project Field Facilities - Establishment Audit","Project Audit  3000 - Provision of Civil and Structural elements for the Tauhara Project Field Facilities"
"6116652a-bc20-4682-8d94-032e150828b2","","checklist-sectioned","pass","Project Audit Checklist V2","checklist","FALSE","FALSE","3000 - Provision of Civil and Structural elements for the Tauhara Project Field Facilities - Establishment Audit","Jan 2022 -Project Audit 3000 - Provision of Civil and Structural elements for the Tauhara Project Field Facilities"
"5b41c64b-9745-4747-87d0-090252552587","","checklist-sectioned","pass","Project Audit Checklist V2","checklist","FALSE","FALSE","3000 - Provision of Civil and Structural elements for the Tauhara Project Field Facilities - Establishment Audit","Tauhara Project Audit April"
"0950f318-d109-4cf6-b032-df860bdaa5bc","","checklist-sectioned","pass","Project Audit Checklist V2","checklist","FALSE","FALSE","3000 - Provision of Civil and Structural elements for the Tauhara Project Field Facilities - Establishment Audit","Project Audit May 22"
"05f8eb7f-516c-4573-86bf-1b892ce32cfa","","checklist-sectioned","pass","Project Audit Checklist V2","checklist","FALSE","FALSE","3000 - Provision of Civil and Structural elements for the Tauhara Project Field Facilities - Establishment Audit","Project Audit July 2022"
"022f92ef-19f3-406e-9c23-3a1b9a38365e","","checklist-sectioned","fail","SYS - Periodic Project Audit V0","checklist","FALSE","FALSE","3000 - Provision of Civil and Structural elements for the Tauhara Project Field Facilities - Establishment Audit","20220825-3000 - Provision of Civil and Structural elements for the Tauhara Project Field Facilities"
"522c992e-99ed-4a9b-80f1-5b6c7d04896d","","checklist-sectioned","work-in-progress","Project Audit Checklist V2","checklist","FALSE","FALSE","3000 - Provision of Civil and Structural elements for the Tauhara Project Field Facilities - Establishment Audit","Project Audit 300922"
"3017c54e-6e0b-4b67-96bc-f1949c0cfa12","","checklist-sectioned","pass","SYS - Periodic Project Audit V0","checklist","FALSE","FALSE","3000 - Provision of Civil and Structural elements for the Tauhara Project Field Facilities - Establishment Audit","20221115 - 3000 - Provision of Civil and Structural elements for the Tauhara Project Field Facilities"
"8468126c-abb6-4192-9767-6c4756920958","","folder-normal","fail","","step","TRUE","FALSE","6903 - Kerikeri Wastewater Scheme - Sewerage Reticulation"
"904b5f6f-3b59-5167-89d8-de98d291f791","","checklist-sectioned","fail","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","6903 - Kerikeri Wastewater Scheme - Sewerage Reticulation","6903 - Kerikeri Wastewater Scheme - Sewerage Reticuation- Project Audit 20210324"
"2a66065d-6554-47bd-90ad-7cc09b4569c0","","folder-normal","fail","","step","TRUE","FALSE","6950 Dome Valley Stage 3 and Stage 5"
"378758ae-322d-545c-ae52-f34836069e0c","","checklist-sectioned","fail","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","6950 Dome Valley Stage 3 and Stage 5","9011 Dome Valley"
"d3ae6e8b-f4ff-5434-97a0-d718964b4240","","checklist-sectioned","pass","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","6950 Dome Valley Stage 3 and Stage 5","20210309 Project Audit  Dome Valley Stage 3 Audit T.C"
