Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,
Interior Fitout - Overall Progress,,,,,,,,,
,Scope,,,Project Build QA,Interior Fitout,,,,
,Rows,,,,,,,,
,,Ground Level,dynamic,Project Build QA,Interior Fitout,Ground Level,,,
,,Level 1,dynamic,Project Build QA,Interior Fitout,Level 1,,,
,,Level 2,dynamic,Project Build QA,Interior Fitout,Level 2,,,
,,Level 3,dynamic,Project Build QA,Interior Fitout,Level 3,,,
,,Level 4,dynamic,Project Build QA,Interior Fitout,Level 4,,,
,,Level 5,dynamic,Project Build QA,Interior Fitout,Level 5,,,
,,Level 6,dynamic,Project Build QA,Interior Fitout,Level 6,,,
,,Level 7,dynamic,Project Build QA,Interior Fitout,Level 7,,,
,,Level 8,dynamic,Project Build QA,Interior Fitout,Level 8,,,
,,Level 9,dynamic,Project Build QA,Interior Fitout,Level 9,,,
,,Level 10,dynamic,Project Build QA,Interior Fitout,Level 10,,,
,Columns,,,,,,,,
,,Preline,,Preline,,,,,
,,Postline (Passive Fire),,Postline (Passive Fire),,,,,
,,Postline (Services),,Postline (Services),,,,,
,,Postline (Passive Fire) - Level 1,,Postline (Passive Fire) - Level 1,,,,,
,,,,,,,,,
Interior Fitout (Preline) - Detailed Progress,,,,,,,,,
,Scope,,,Project Build QA,Interior Fitout,,,,
,Rows,,,,,,,,
,,Ground Level,dynamic,Project Build QA,Interior Fitout,Ground Level,,,
,,Level 1,dynamic,Project Build QA,Interior Fitout,Level 1,,,
,,Level 2,dynamic,Project Build QA,Interior Fitout,Level 2,,,
,,Level 3,dynamic,Project Build QA,Interior Fitout,Level 3,,,
,,Level 4,dynamic,Project Build QA,Interior Fitout,Level 4,,,
,,Level 5,dynamic,Project Build QA,Interior Fitout,Level 5,,,
,,Level 6,dynamic,Project Build QA,Interior Fitout,Level 6,,,
,,Level 7,dynamic,Project Build QA,Interior Fitout,Level 7,,,
,,Level 8,dynamic,Project Build QA,Interior Fitout,Level 8,,,
,,Level 9,dynamic,Project Build QA,Interior Fitout,Level 9,,,
,,Level 10,dynamic,Project Build QA,Interior Fitout,Level 10,,,
,Columns,,,,,,,,
,,Penetrations go from corridor to room,,Penetrations go from corridor to the room,Preline,,,,
,,Walls straight & plumb/Nogs & studs in place to take linings,,Walls straight and plumb and Nogs and studs in place to take linings,Preline,,,,
,,Door timber studs installed with bracing/bolts in correct pos.,,Door timber studs installed with bracing/bolts in correct postion,Preline,,,,
,,Lintels complete,,Lintels complete.,Preline,,,,
,,HVAC nogs inplace,,HVAC nogs inplace,Preline,,,,
,,Shower rail nogs,,Shower rail nogs,Preline,,,,
,,Dryer nog,,Dryer nog,Preline,,,,
,,Towel rail nogs,,Towel rail nogs,Preline,,,,
,,Wall hung vanity nogs,,Wall hung vanity nogs,Preline,,,,
,,Light fitting nogs,,Light fitting nogs,Preline,,,,
,,Shower & return nogs,,Shower and return nogs,Preline,,,,
,,Door stop nogs,,Door stop nogs,Preline,,,,
,,Kitchen nogs for overhead cabinets,,Kitchen nogs for over head cabinets,Preline,,,,
,,Accessible plywood full face nogs in place,,Accessible plywood full face nogs in place if applicable,Preline,,,,
,,Fire/Accoustic service metal boxes installed,,Fire / Accoustic service metal boxes installed,Preline,,,,
,,Ceiling battens straight & nogs in place,,Ceiling battens straight and nogs in place,Preline,,,,
,,Control joins set out & installed,,Control joins set out and installed,Preline,,,,
,,Insulation installed & strapped,,Insulation installed and strapped if required,Preline,,,,
,,Services final check,,"Services final check; fire wiring, data wiring, mechanical ducting and wiring, plumbing, condensate A/C pipe, electrical, sprinklers",Preline,,,,
,,Plumbing water tests/pressure test/pipe isolation checked,,Plumbing water tests / pressure test / pipe isolation checked,Preline,,,,
,,Plumbing service penetration sealed thru floor inc service risers,,Plumbing service penetration sealed thru floor inc service risers,Preline,,,,
,,Electrical unit DB/mains/lighting & PP installed/checked,,Electrical unit DB installed / mains installed / lighting & PP all checked,Preline,,,,
,,Electrical flush boxes installed,,Electrical flush boxes installed,Preline,,,,
,,LV & Data/hib board/security/phone/TV wiring installed/checked,,"LV & Data, hib board installed / security / phone / TV wiring checked",Preline,,,,
,,Ceiling & Wall setout of services as per drawings,,"Ceiling and Wall setout of services as per drawings, and correct",Preline,,,,
,,Ceiling lights symmetrical in dimensions,Ceiling lights symmetrical in dimensions,"Ceiling and Wall setout of services as per drawings, and correct",Preline,,,,
,,Fire sprinkler head location correct,Fire sprinkler head location correct,"Ceiling and Wall setout of services as per drawings, and correct",Preline,,,,
,,Light switches correct height & distance from door,Light switches correct height and distance from door,"Ceiling and Wall setout of services as per drawings, and correct",Preline,,,,
,,Air/fire seal around windows & doors,,Air/fire seal around windows and doors,Preline,,,,
,,Intubat installed where required,,Intubat installed where required,Preline,,,,
,,Bracing elements marked,,Bracing elements marked,Preline,,,,
,,Insulation type; rating to wall/ceiling tag placed ready for inspector,,Insulation type; rating to wall or ceiling tag placed ready for inspector,Preline,,,,
,,Acoustic barrier to floor/ceiling,,Acoustic barrier to floor or ceiling,Preline,,,,
,,Fire Alarm low volume,,Fire Alarm low volume,Preline,,,,
,,Special nogs for curtains/blinds at windows,,Special nogs for curtains / blinds at windows,Preline,,,,
,,Council inspection attached & remedials closed out,,Council inspection attached and remedials (If any) closed out,Preline,,,,
,,,,,,,,,
Interior Fitout (Postline) - Detailed Progress,,,,,,,,,
,Scope,,,Project Build QA,Interior Fitout,,,,
,Rows,,,,,,,,
,,Ground Level,grouping,Ground Level,,,,,
,,Unit 001 - Postline - Postline (Passive Fire),,Project Build QA,Interior Fitout,Ground Level,Unit 001,Postline,Postline (Passive Fire)
,,Unit 001 - Postline - Postline (Services),,Project Build QA,Interior Fitout,Ground Level,Unit 001,Postline,Postline (Services)
,,Unit 002 - Postline - Postline (Passive Fire),,Project Build QA,Interior Fitout,Ground Level,Unit 002,Postline,Postline (Passive Fire)
,,Unit 002 - Postline - Postline (Services),,Project Build QA,Interior Fitout,Ground Level,Unit 002,Postline,Postline (Services)
,,Level 1,grouping,Level 1,,,,,
,,Unit 101 - Postline - Postline (Passive Fire),,Project Build QA,Interior Fitout,Level 1,Unit 101,Postline,Postline (Passive Fire)
,,Unit 101 - Postline - Postline (Services),,Project Build QA,Interior Fitout,Level 1,Unit 101,Postline,Postline (Services)
,,Unit 101 - Postline (Passive Fire) - Level 1,,Project Build QA,Interior Fitout,Level 1,Unit 101,Postline (Passive Fire) - Level 1,
,,Unit 102 - Postline - Postline (Passive Fire),,Project Build QA,Interior Fitout,Level 1,Unit 102,Postline,Postline (Passive Fire)
,,Unit 102 - Postline - Postline (Services),,Project Build QA,Interior Fitout,Level 1,Unit 102,Postline,Postline (Services)
,,Unit 102 - Postline (Passive Fire) - Level 1,,Project Build QA,Interior Fitout,Level 1,Unit 102,Postline (Passive Fire) - Level 1,
,,Unit 103 - Postline - Postline (Passive Fire),,Project Build QA,Interior Fitout,Level 1,Unit 103,Postline,Postline (Passive Fire)
,,Unit 103 - Postline - Postline (Services),,Project Build QA,Interior Fitout,Level 1,Unit 103,Postline,Postline (Services)
,,Unit 103 - Postline (Passive Fire) - Level 1,,Project Build QA,Interior Fitout,Level 1,Unit 103,Postline (Passive Fire) - Level 1,
