Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-flat,,,checklist,Installation,,,,252,Yes,Installation,fd185a2a-b6e3-483a-9395-65c555d2404e
checkpoint-status,,,checkpoint,Internal doors hung,,,,,,,
checkpoint-status,,,checkpoint,Skirting installed,,,,,,,
checkpoint-status,,,checkpoint,Cavity doors installed,,,,,,,
checkpoint-status,,,checkpoint,Window architraves installed,,,,,,,
checkpoint-status,,,checkpoint,Wardrobe jamb installed,,,,,,,
checkpoint-status,,,checkpoint,Entry door hung,,,,,,,
checkpoint-status,,,checkpoint,Finish floor height: +/- 10mm (attach photo),,,,,,,
checkpoint-status,,,checkpoint,All install work 100% completed to required specifications,,,,,,,
checkpoint-status,,,checkpoint,Area left clean and tidy (attach photo),,,,,,,
,,,,,,,,,,,
checklist-flat,,,checklist,Common Area Checklist,,,,110,Yes,Common Area Checklist,bbd81f08-140a-40e2-971b-1377bc300f03
checkpoint-status,,,checkpoint,Installation of skirting,,,,,,,
checkpoint-status,,,checkpoint,Installation of architraves,,,,,,,
checkpoint-status,,,checkpoint,Installation of dado rail,,,,,,,
checkpoint-status,,,checkpoint,Installation of arcade joinery (where required),,,,,,,
checkpoint-status,,,checkpoint,Installation of fire doors,,,,,,,
checkpoint-status,,,checkpoint,Installation of all door hardware & door closes sufficiently,,,,,,,
checkpoint-status,,,checkpoint,Finish floor height: +/- 10mm (attach photo),,,,,,,
checkpoint-status,,,checkpoint,Fire tags installed on the door and door jamb,,,,,,,
checkpoint-status,,,checkpoint,Area left clean and tidy (attach photo),,,,,,,
checkpoint-status,,,checkpoint,All work 100% completed to required specifications,,,,,,,
