"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"38993e2b-24cc-4474-b787-52140dfdd5a3","","folder-normal","not-started","","step","TRUE","FALSE","Manufacturing QA"
"749cf7ac-a546-413a-856d-cd5780dc8eea","","folder-normal","not-started","","step","TRUE","FALSE","Manufacturing QA","L1"
"6bf052a6-7d4b-4a54-93b4-5f85382707e4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","L1","Flooring"
"456c981c-6442-4df7-aeb3-b5777f531f91","","checklist-flat","not-started","Production Layout Sheet","checklist-flat","FALSE","FALSE","Manufacturing QA","L1","Production Layout Sheet"
"ff92e525-6648-425c-a82c-4a9c99f3dd32","","checklist-flat","not-started","Dispatch Layout Sheet","checklist-flat","FALSE","FALSE","Manufacturing QA","L1","Dispatch Layout Sheet"
"94c07dc1-e129-4ae6-b0db-b75db314998b","","checklist-flat","not-started","Precast Compliance Documents","checklist-flat","FALSE","FALSE","Precast Compliance Documents"
