"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7a6f0d8f-0fed-4977-9fa6-98eb2958804c","","fail","","folder","TRUE","FALSE","Tasks"
"5da3983a-7dc4-4fc0-a09e-7db4e3389dfc","","not-started","","folder","TRUE","FALSE","Tasks","June 3, 2024 - June 7, 2024"
"a935b030-42b4-41f1-9654-f1fc96f36925","","not-started","9226a9af3b60846c9d5ef5c132fc5bf6c663951b76f372a2f4ea31ec44c4d1aa","checklist","FALSE","FALSE","Tasks","June 3, 2024 - June 7, 2024","Monday"
"c1bfce9e-edb4-4615-b7bd-552ac81306da","","not-started","01acffec7e9bfdfd9ae70b363209a03402697d03b4f26d92dee5e0a9c4b933d6","checklist","FALSE","FALSE","Tasks","June 3, 2024 - June 7, 2024","Tuesday"
"8848a251-6b73-4611-8713-ece5e969d0ba","","not-started","814b9175c4925de21199a9cfc60f3587d0f10759ec70442699dfe67c02276820","checklist","FALSE","FALSE","Tasks","June 3, 2024 - June 7, 2024","Wednesday"
"dc67d639-37d6-4409-a14c-bf067c6e75e4","","not-started","5bea888ffe05dc9ffade5596bee0bb1995e5057a660f1b5f532100891e15ac0a","checklist","FALSE","FALSE","Tasks","June 3, 2024 - June 7, 2024","Thursday"
"d9e7a414-d62b-4b30-9f33-cea98575c57f","","not-started","01acffec7e9bfdfd9ae70b363209a03402697d03b4f26d92dee5e0a9c4b933d6","checklist","FALSE","FALSE","Tasks","June 3, 2024 - June 7, 2024","Friday"
"c6312934-0768-4e34-9680-05f976ab6d91","","not-started","","folder","TRUE","FALSE","Tasks","June 10, 2024 - June 14, 2024"
"6a9fbc54-3951-499b-ba44-546b7758c6e2","","not-started","9226a9af3b60846c9d5ef5c132fc5bf6c663951b76f372a2f4ea31ec44c4d1aa","checklist","FALSE","FALSE","Tasks","June 10, 2024 - June 14, 2024","Monday"
"3acbbecb-d2da-4bac-a1bb-dfca5ea5977b","","not-started","01acffec7e9bfdfd9ae70b363209a03402697d03b4f26d92dee5e0a9c4b933d6","checklist","FALSE","FALSE","Tasks","June 10, 2024 - June 14, 2024","Tuesday"
"6542ace3-319c-48bf-b0a6-6e99b5df6518","","not-started","814b9175c4925de21199a9cfc60f3587d0f10759ec70442699dfe67c02276820","checklist","FALSE","FALSE","Tasks","June 10, 2024 - June 14, 2024","Wednesday"
"6a1b8712-b636-447b-bb87-80d39f889519","","not-started","5bea888ffe05dc9ffade5596bee0bb1995e5057a660f1b5f532100891e15ac0a","checklist","FALSE","FALSE","Tasks","June 10, 2024 - June 14, 2024","Thursday"
"94d5824c-4335-4d1f-9af1-3e505ef8b620","","not-started","01acffec7e9bfdfd9ae70b363209a03402697d03b4f26d92dee5e0a9c4b933d6","checklist","FALSE","FALSE","Tasks","June 10, 2024 - June 14, 2024","Friday"
"317b18c9-cf1c-4141-97da-8a4ea25d362c","","fail","","folder","TRUE","FALSE","Tasks","June 17, 2024 - June 21, 2024"
"6839af96-7cab-42c5-b3c5-8ad8bacb3ac9","","fail","9226a9af3b60846c9d5ef5c132fc5bf6c663951b76f372a2f4ea31ec44c4d1aa","checklist","FALSE","FALSE","Tasks","June 17, 2024 - June 21, 2024","Monday"
"6f045dbd-ad59-4b93-8244-722cbd2a4b60","","not-started","01acffec7e9bfdfd9ae70b363209a03402697d03b4f26d92dee5e0a9c4b933d6","checklist","FALSE","FALSE","Tasks","June 17, 2024 - June 21, 2024","Tuesday"
"27b6f2d1-b2fd-423e-b8aa-cf123e1bcea6","","not-started","814b9175c4925de21199a9cfc60f3587d0f10759ec70442699dfe67c02276820","checklist","FALSE","FALSE","Tasks","June 17, 2024 - June 21, 2024","Wednesday"
"1cff31a3-ef90-4c32-8860-0a9b3c1021b9","","not-started","5bea888ffe05dc9ffade5596bee0bb1995e5057a660f1b5f532100891e15ac0a","checklist","FALSE","FALSE","Tasks","June 17, 2024 - June 21, 2024","Thursday"
"96d46cc7-3e82-455f-9c7c-584e4efc21c3","","not-started","01acffec7e9bfdfd9ae70b363209a03402697d03b4f26d92dee5e0a9c4b933d6","checklist","FALSE","FALSE","Tasks","June 17, 2024 - June 21, 2024","Friday"
"f1497c71-5a8e-4b17-a769-c5ed2f6ed2b5","","fail","","folder","TRUE","FALSE","Tasks","June 24, 2024 - June 28, 2024"
"56df6bf1-105e-41ee-ac07-d59b232cb5c9","","fail","9226a9af3b60846c9d5ef5c132fc5bf6c663951b76f372a2f4ea31ec44c4d1aa","checklist","FALSE","FALSE","Tasks","June 24, 2024 - June 28, 2024","Monday"
