Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,
Preline Progress,,,,,,,,
,Scope,,,Preline,,,,
,Rows,,,,,,,
,,North Elevation - GF,dynamic,Preline,GF,North Elevation,First Fix,Site QA
,,North Elevation - Level 1,dynamic,Preline,Level 1,North Elevation,First Fix,Site QA
,,North Elevation - Level 2,dynamic,Preline,Level 2,North Elevation,First Fix,Site QA
,,North Elevation - Level 3,dynamic,Preline,Level 3,North Elevation,First Fix,Site QA
,,North Elevation - Level 4,dynamic,Preline,Level 4,North Elevation,First Fix,Site QA
,,North Elevation - Level 5,dynamic,Preline,Level 5,North Elevation,First Fix,Site QA
,,North Elevation - Level 6,dynamic,Preline,Level 6,North Elevation,First Fix,Site QA
,,North Elevation - Level 7,dynamic,Preline,Level 7,North Elevation,First Fix,Site QA
,,North Elevation - Level 8,dynamic,Preline,Level 8,North Elevation,First Fix,Site QA
,,North Elevation - Level 9,dynamic,Preline,Level 9,North Elevation,First Fix,Site QA
,,North Elevation - Level 10,dynamic,Preline,Level 10,North Elevation,First Fix,Site QA
,,North Elevation - Level 11,dynamic,Preline,Level 11,North Elevation,First Fix,Site QA
,,North Elevation - Level 12,dynamic,Preline,Level 12,North Elevation,First Fix,Site QA
,,South Elevation - GF,dynamic,Preline,GF,South Elevation,First Fix,Site QA
,,South Elevation - Level 1,dynamic,Preline,Level 1,South Elevation,First Fix,Site QA
,,South Elevation - Level 2,dynamic,Preline,Level 2,South Elevation,First Fix,Site QA
,,South Elevation - Level 3,dynamic,Preline,Level 3,South Elevation,First Fix,Site QA
,,South Elevation - Level 4,dynamic,Preline,Level 4,South Elevation,First Fix,Site QA
,,South Elevation - Level 5,dynamic,Preline,Level 5,South Elevation,First Fix,Site QA
,,South Elevation - Level 6,dynamic,Preline,Level 6,South Elevation,First Fix,Site QA
,,South Elevation - Level 7,dynamic,Preline,Level 7,South Elevation,First Fix,Site QA
,,South Elevation - Level 8,dynamic,Preline,Level 8,South Elevation,First Fix,Site QA
,,South Elevation - Level 9,dynamic,Preline,Level 9,South Elevation,First Fix,Site QA
,,South Elevation - Level 10,dynamic,Preline,Level 10,South Elevation,First Fix,Site QA
,,South Elevation - Level 11,dynamic,Preline,Level 11,South Elevation,First Fix,Site QA
,,South Elevation - Level 12,dynamic,Preline,Level 12,South Elevation,First Fix,Site QA
,Columns,,,,,,,
,,Area accesible,,Area accesible,Preline,,,
,,Area readiness,,Area readiness - is the area ready for preline?,Preline,,,
,,Floor peno marked,,Floor peno marked,Preline,,,
,,Nogs marked,,Nogs marked,Preline,,,
,,Stackwork installed,,Stackwork installed,Preline,,,
,,Pipeout installed,,Pipeout installed,Preline,,,
,,Pipework securely clipped,,Pipework securely clipped,Preline,,,
,,Acoustic lagging installed,,Acoustic lagging installed,Preline,,,
,,Thermal lagging installed,,Thermal lagging installed,Preline,,,
,,Fire collars installed,,Fire collars installed,Preline,,,
,,Outlets correct height - waste,,Outlets correct height - waste,Preline,,,
,,Outlets correct height - water,,Outlets correct height - water,Preline,,,
,,Shower tray/flange installed,,Shower tray / flange installed,Preline,,,
,,Floor flanges installed,,Floor flanges installed,Preline,,,
,,Projection of mixers,,Projection of mixers etc correct distance past finished wall,Preline,,,
,,Nogs for second fix installed,,Nogs for second fix installed,Preline,,,
,,Corridor mains run to riser,,Corridor mains run to riser,Corridor Mains,,,
,,Corridor mains connected to riser,,Corridor mains connected to riser,Corridor Mains,,,
,,Balcony riser run/installed,,Balcony riser run / installed,Balcony Downpipes,,,
,,Balcony downpipe/overflow,,Balcony downpipe and overflow installed,Balcony Downpipes,,,
