"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b7c64a46-3089-4712-9c87-ca210b15c800","","pass","","folder","TRUE","FALSE","Frame 1"
"a8075e01-c75e-40dd-9e10-7d97afb3a9c9","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 1","1A"
"0ebaa739-95b9-4e70-91d9-26900c0d9632","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 1","1B"
"43ce9b3a-200d-411b-99ff-e92b583b5e3d","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 1","1C"
"59938efa-e405-4124-9d7c-2e3de088b12d","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 1","1D"
"2096e388-6664-48c1-a876-59d708b0b2f0","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 1","1E"
"b62b49f4-6b2a-49ee-b5e6-2fac60ccb876","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 1","1F"
"7566aade-13ad-441c-ac44-792f36c3a165","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 1","1G"
"f63cc59c-f2bc-45e3-9d3c-bbf8c0ce1658","","pass","","folder","TRUE","FALSE","Frame 2"
"d9c031e5-c47e-4c4b-bfbe-24e1764a4fc9","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 2","2A"
"b9737f4c-c849-4461-a5a3-4cdb1e596b17","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 2","2B"
"c7fd5a38-e3e4-4fb8-80fa-f8e312ec4def","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 2","2C"
"c210fe41-e1ba-4921-954a-d654f6b47590","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 2","2D"
"2f15645d-0a53-4f9c-964d-8ce444064fd9","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 2","2E"
"2f2b201c-e3e8-49da-9414-a736b255f511","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 2","2F"
