type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,Installation,,,,,,Angles - Install Checklist,
section,Details,,,,,,,
checkpoint,Items installed correctly - Photo required,,,,,,,
checkpoint,Correct size and length screws used,,,,,,,
checkpoint,Timber packer behind angle 24mm,,,,,,,
checkpoint,Angles installed hard against the Door/Window and square to item,,,,,,,
,,,,,,,,
checklist,Factory Works,,,,,,Factory ANGLES,
section,Details,,,,,,,
checkpoint,Item completed including holes and angles cut - Photo required,,,,,,,
checkpoint,6mm Holes are countersunk for M6 bolt to suit Rivnut,,,,,,,
checkpoint,Items labelled with stage number and length,,,,,,,
checkpoint,Assembly packed reviewed,,,,,,,
