"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"634fb50f-7b1e-4b83-b527-887a0cc9dcfe","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"96398893-b436-4486-a382-7d7da38b86c3","","folder-normal","fail","","step","TRUE","FALSE","Site QA","PODIUM LEVELS 00-07M - PART B1"
"01afdc5b-634b-4f90-b0a6-6273e7d801bb","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","PODIUM LEVELS 00-07M - PART B1","LEVEL 00 (Riverside Level)"
"18ef9d62-df88-44f5-9b8e-45831238ba6e","","checklist-flat","not-started","Enviro 200P","checklist-flat","FALSE","FALSE","Site QA","PODIUM LEVELS 00-07M - PART B1","LEVEL 00 (Riverside Level)","Wet Area Walls and Floors Primary"
"be4129f4-e12b-4eb6-b574-579786a0c1aa","","checklist-flat","not-started","Enviro Shield / Prime P2 / Epoxy B-LV","checklist-flat","FALSE","FALSE","Site QA","PODIUM LEVELS 00-07M - PART B1","LEVEL 00 (Riverside Level)","Wet Area Floors Secondary"
"911e4c41-f99a-49e8-af17-17754cfcaa25","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","PODIUM LEVELS 00-07M - PART B1","LEVEL 01 (Services Mezzanine Level)"
"1fc1a454-f211-422a-94b6-c2c822afb00e","","checklist-flat","not-started","Enviro 200P","checklist-flat","FALSE","FALSE","Site QA","PODIUM LEVELS 00-07M - PART B1","LEVEL 01 (Services Mezzanine Level)","Membrane to Façade Glazing (Bottom, Top, Sides)"
"92d69dde-e928-4706-89f8-11b920ed8224","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","PODIUM LEVELS 00-07M - PART B1","LEVEL 02 (William Street Level)"
"9d95c940-f2ee-4304-8ba9-dd2ecb3d33ed","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","PODIUM LEVELS 00-07M - PART B1","LEVEL 02 (William Street Level)","William St Trafficable Paved Area"
"3729d26e-bb1c-4c9a-85f5-3a89528881d7","","checklist-flat","work-in-progress","Enviro HP1200","checklist-flat","FALSE","FALSE","Site QA","PODIUM LEVELS 00-07M - PART B1","LEVEL 02 (William Street Level)","William St Trafficable Paved Area","Primary Membrane"
"792e3e93-b826-4bee-b4a2-0fa9ce89aced","","checklist-flat","work-in-progress","Enviro 200P Secondary","checklist-flat","FALSE","FALSE","Site QA","PODIUM LEVELS 00-07M - PART B1","LEVEL 02 (William Street Level)","William St Trafficable Paved Area","Enviro 200P Secondary"
"94df302e-0712-4e48-b8f6-7a559f76a823","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","PODIUM LEVELS 00-07M - PART B1","LEVEL 02 (William Street Level)","William St Trafficable Bitumen Area"
"b1f73274-18bf-443f-b222-15949c2f9ff7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","PODIUM LEVELS 00-07M - PART B1","LEVEL 02 (William Street Level)","William St Trafficable Bitumen Area","Primary Membrane (Temp)"
"1b484d4d-bf23-4b14-9fdd-2211b5a6ead1","","checklist-flat","not-started","Enviro HP1200","checklist-flat","FALSE","FALSE","Site QA","PODIUM LEVELS 00-07M - PART B1","LEVEL 02 (William Street Level)","William St Trafficable Bitumen Area","Spray-on Membrane (e/o)"
"87ee13fa-097d-4ee8-9a3f-d9570c469ded","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","PODIUM LEVELS 00-07M - PART B1","LEVEL 02 (William Street Level)","William St Paving (Non-Trafficable)"
"b3d73ec0-e48c-4224-a78a-542700f45ed6","","checklist-flat","not-started","Enviro HP1200","checklist-flat","FALSE","FALSE","Site QA","PODIUM LEVELS 00-07M - PART B1","LEVEL 02 (William Street Level)","William St Paving (Non-Trafficable)","Primary Membrane (HP1200) - ZONE 1"
"469ec802-3af0-4ff1-a4e1-0f3858a4d6d3","","checklist-flat","not-started","Enviro 200P Secondary","checklist-flat","FALSE","FALSE","Site QA","PODIUM LEVELS 00-07M - PART B1","LEVEL 02 (William Street Level)","William St Paving (Non-Trafficable)","Secondary Membrane (200P) - ZONE 1"
"54c063fb-9e69-4390-ac78-c8830577a1cf","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","PODIUM LEVELS 00-07M - PART B1","LEVEL 02 (William Street Level)","William St Paving (Non-Trafficable)","Taxi ramp between T1/T4"
"c03b66f5-afbc-4c81-bdd1-cbb78797f754","","checklist-flat","work-in-progress","Enviro 700X","checklist-flat","FALSE","FALSE","Site QA","PODIUM LEVELS 00-07M - PART B1","LEVEL 02 (William Street Level)","William St Paving (Non-Trafficable)","Taxi ramp between T1/T4","Primary Membrane"
"006bcf9c-90d4-44fe-aa9e-8f400e0dda50","","checklist-flat","work-in-progress","Enviro 200P Secondary","checklist-flat","FALSE","FALSE","Site QA","PODIUM LEVELS 00-07M - PART B1","LEVEL 02 (William Street Level)","William St Paving (Non-Trafficable)","Taxi ramp between T1/T4","Enviro 200P Secondary"
"5149b457-7e5c-4f13-ba2d-b2cda7090371","","checklist-flat","not-started","Enviro HP1200","checklist-flat","FALSE","FALSE","Site QA","PODIUM LEVELS 00-07M - PART B1","LEVEL 02 (William Street Level)","William St Paving (Non-Trafficable)","Primary Membrane (HP1200) - ZONE 2"
"41e32dbe-ebec-4429-b3b3-23fda7d18a83","","checklist-flat","not-started","Enviro 200P Secondary","checklist-flat","FALSE","FALSE","Site QA","PODIUM LEVELS 00-07M - PART B1","LEVEL 02 (William Street Level)","William St Paving (Non-Trafficable)","Secondary Membrane (200P) - ZONE 2"
"096ef931-6019-476f-867c-6815955c5b01","","checklist-flat","not-started","Enviro HP1200","checklist-flat","FALSE","FALSE","Site QA","PODIUM LEVELS 00-07M - PART B1","LEVEL 02 (William Street Level)","William St Paving (Non-Trafficable)","Primary Membrane (HP1200) - ZONE 3"
"188a4caf-c2f4-40d7-9b5b-0c2bae4771a4","","checklist-flat","not-started","Enviro 200P Secondary","checklist-flat","FALSE","FALSE","Site QA","PODIUM LEVELS 00-07M - PART B1","LEVEL 02 (William Street Level)","William St Paving (Non-Trafficable)","Secondary Membrane (200P) - ZONE 3"
"d8d2806b-27a0-4588-88b1-49fbcb8dba17","","checklist-flat","not-started","Enviro HP1200","checklist-flat","FALSE","FALSE","Site QA","PODIUM LEVELS 00-07M - PART B1","LEVEL 02 (William Street Level)","William St Paving (Non-Trafficable)","Primary Membrane (HP1200) - ZONE 4"
"3370ac3c-0a75-42e1-9c90-72356878278c","","checklist-flat","not-started","Enviro 200P Secondary","checklist-flat","FALSE","FALSE","Site QA","PODIUM LEVELS 00-07M - PART B1","LEVEL 02 (William Street Level)","William St Paving (Non-Trafficable)","Secondary Membrane (200P) - ZONE 4"
