"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d66d7143-cf9e-4ce7-af1c-777740ebdb83","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"250dcfec-364f-497b-8e56-c18b9e2da84d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough In"
"86d43b92-cf4f-42b1-bba4-9d7ca101e5e5","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough In","Mech"
"a69ce17c-37d5-4601-a6cf-5add891f0911","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough In","Mech","Ground Floor"
"346dd329-e40e-4422-88eb-dcd9b7a74855","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","Site QA","Rough In","Mech","Ground Floor","Zone 6"
"0d9e43ae-165a-4652-8711-13e07860b01a","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","Site QA","Rough In","Mech","Ground Floor","Zone 10"
"8c796e71-28a3-4352-8bbd-70dc70062baf","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","Site QA","Rough In","Mech","Ground Floor","Harris Farm"
"2be50c18-6152-4bb0-bc28-806338df772d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough In","Mech","Level 1"
"89ba6c57-8b1c-4f88-90fa-f0c2f7c7b8fe","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","Site QA","Rough In","Mech","Level 1","Zone 10"
"f4e2afa5-c5d4-4969-aabd-15bf99cafbb9","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough In","Mech","Level 2"
"5780f195-e6e2-4ef7-af5a-d5ed02ebc4e1","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","Site QA","Rough In","Mech","Level 2","Zone 10"
"5271d44d-5582-44ec-9aac-fa972a66a0fd","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough In","Electrical"
"2c56f13f-9f36-4c66-aed9-bbb2c2f658f0","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough In","Electrical","Ground Floor"
"ce99ebf4-1304-47fb-a976-5823049a7a59","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","Site QA","Rough In","Electrical","Ground Floor","Zone 6"
"bf59a9a5-29e4-4be0-9af9-fee5f3500d7a","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","Site QA","Rough In","Electrical","Ground Floor","Zone 10"
"937496eb-b539-4e16-8a15-7fc389e6ad38","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","Site QA","Rough In","Electrical","Ground Floor","Harris Farm"
"f0c3cc78-109f-4e50-bab7-c512e1df980f","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough In","Electrical","Level 1"
"fb95728e-f376-4c2d-b31f-10c334c252b3","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","Site QA","Rough In","Electrical","Level 1","Zone 10"
"d3187848-633d-45c2-9c9c-93b041b04dcb","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough In","Electrical","Level 2"
"f5b53e89-7b1f-4c2e-8eed-24cc5fd50789","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","Site QA","Rough In","Electrical","Level 2","Zone 10"
"c3b07040-1593-4b98-8453-05fc50fff87c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough In","Hydraulic"
"77a536f1-8994-45a5-a7c5-fad7c45c8295","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough In","Hydraulic","Ground Floor"
