Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Leemark - Site QA - Wet Fire,,,,,
,Scope,,,,
,Rows,,,,
,,Booster cupboard (FSW-ITR-500),,booster cupboard (fsw-itr-500),wet fire
,,Basement 3 (FSW-ITR-097),,wet fire,basement 3 (fsw-itr-097)
,,Basement 2 (FSW-ITR-098),,wet fire,basement 2 (fsw-itr-098)
,,Basement 1 (FSW-ITR-099),,basement 1 (fsw-itr-099),wet fire
,,Ground Floor (FSW-ITR-100),,wet fire,ground floor (fsw-itr-100)
,,Level 1 (FSW-ITR-101),,wet fire,level 1 (fsw-itr-101)
,,Level 2 (FSW-ITR-102),,level 2 (fsw-itr-102),wet fire
,,Level 3 (FSW-ITR-103),,level 3 (fsw-itr-103),wet fire
,,Level 4 (FSW-ITR-104),,level 4 (fsw-itr-104),wet fire
,,Level 5 (FSW-ITR-105),,level 5 (fsw-itr-105),wet fire
,,Level 6 (FSW-ITR-106),,level 6 (fsw-itr-106),wet fire
,,Level 7 (FSW-ITR-107),,wet fire,level 7 (fsw-itr-107)
,,Level 8 (FSW-ITR-108),,wet fire,level 8 (fsw-itr-108)
,,Level 9 (FSW-ITR-109),,level 9 (fsw-itr-109),wet fire
,,Level 10 (FSW-ITR-110),,level 10 (fsw-itr-110),wet fire
,,Level 11 (FSW-ITR-111),,level 11 (fsw-itr-111),wet fire
,,Level 12 (FSW-ITR-112),,level 12 (fsw-itr-112),wet fire
,,Level 13 (FSW-ITR-113),,level 13 (fsw-itr-113),wet fire
,,Level 14 (FSW-ITR-114),,wet fire,level 14 (fsw-itr-114)
,,Level 15 (FSW-ITR-115),,level 15 (fsw-itr-115),wet fire
,,Level 16 (FSW-ITR-116),,level 16 (fsw-itr-116),wet fire
,,Level 17 (FSW-ITR-117),,level 17 (fsw-itr-117),wet fire
,Columns,,,,
,,Sprinkler Installation/Fitoff,,sprinkler installation/fitoff,
,,Sprinkler & Hydrant Hydrostatic Test,,sprinkler & hydrant hydrostatic test,
,,Sprinkler Control Valve,,sprinkler control valve,
,,Hydrant Installation,,hydrant installation,
,,Hose Reel Installation,,hose reel installation,
,,Electric Pump,,electric pump,
,,Diesel Pump,,diesel pump,
,,,,,
Leemark - Site QA - Dry Fire,,,,,
,Scope,,,,
,Rows,,,,
,,Basement 3 (FSD-ITR-097),,dry fire,basement 3 (fsd-itr-097)
,,Basement 2 (FSD-ITR-098),,dry fire,basement 2 (fsd-itr-098)
,,Basement 1 (FSD-ITR-099),,basement 1 (fsd-itr-099),dry fire
,,Ground Floor (FSD-ITR-100),,ground floor (fsd-itr-100),dry fire
,,Level 1 (FSD-ITR-101),,dry fire,level 1 (fsd-itr-101)
,,Level 2 (FSD-ITR-102),,level 2 (fsd-itr-102),dry fire
,,Level 3 (FSD-ITR-103),,level 3 (fsd-itr-103),dry fire
,,Level 4 (FSD-ITR-104),,level 4 (fsd-itr-104),dry fire
,,Level 5 (FSD-ITR-105),,level 5 (fsd-itr-105),dry fire
,,Level 6 (FSD-ITR-106),,level 6 (fsd-itr-106),dry fire
,,Level 7 (FSD-ITR-107),,dry fire,level 7 (fsd-itr-107)
,,Level 8 (FSD-ITR-108),,dry fire,level 8 (fsd-itr-108)
,,Level 9 (FSD-ITR-109),,level 9 (fsd-itr-109),dry fire
,,Level 10 (FSD-ITR-110),,level 10 (fsd-itr-110),dry fire
,,Level 11 (FSD-ITR-111),,level 11 (fsd-itr-111),dry fire
,,Level 12 (FSD-ITR-112),,level 12 (fsd-itr-112),dry fire
,,Level 13 (FSD-ITR-113),,dry fire,level 13 (fsd-itr-113)
,,Level 14 (FSD-ITR-114),,dry fire,level 14 (fsd-itr-114)
,,Level 15 (FSD-ITR-115),,level 15 (fsd-itr-115),dry fire
,,Level 16 (FSD-ITR-116),,level 16 (fsd-itr-116),dry fire
,,Level 17 (FSD-ITR-117),,level 17 (fsd-itr-117),dry fire
,,Level 18 (FSD-ITR-118),,level 18 (fsd-itr-118),dry fire
,Columns,,,,
,,Ewis Installation,,ewis installation,
,,Ewis Installation Fit Off,,ewis installation fit off,
,,Fire Detection Installation,,fire detection installation,
,,Fire Detection Fit Off,,fire detection fit off,
,,EWIS Panel,,ewis panel,
,,FIP,,fip,
