Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-flat,,,checklist,GIB Weatherline,,,,,Yes,GIB Weatherline,82bb4d25-8e87-4d58-a5d7-26eb510d4f58
checkpoint-status,,,checkpoint,All relevant KCL drawings and revision numbers checked and attached,,,,,,,
checkpoint-status,,,checkpoint,Installation location,,,,,,,
boolean,,,tickbox,Timber Frame 800mm x 300mm,,,,,,,
boolean,,,tickbox,Steel Studs 300mm x 300mm,,,,,,,
checkpoint-status,,,checkpoint,Correct fasteners used and installed at correct centres,,,,,,,
checkpoint-status,,,checkpoint,Fasteners – 12mm from the edges and 18mm from ends,,,,,,,
checkpoint-status,,,checkpoint,Fasteners – 200mm centres along sheet end butt joints,,,,,,,
checkpoint-status,,,checkpoint,"Are screws over driven? If YES, install a new screw fixing 25mm away and adjacent to the over driven screw.",,,,,,,
checkpoint-status,,,checkpoint,Is the GIB installed hard up against the floor.,,,,,,,
checkpoint-status,,,checkpoint,Installer details,,,,,,,
text,,,textbox,Installer:,,,,,,,
