"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0664fd2f-99a9-4946-88ac-e7672ec505d9","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"da009e2c-bbbf-4b14-98ce-92a5ab1e481a","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 1"
"632e60f3-685b-48c1-9db3-72ed54369bc8","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 1","101 - Horahora"
"cf1878d7-66da-4714-9ac6-af31f2409f5e","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 1","102 - Oak Tree Bends"
"8a89c3dd-ea7d-4d23-8d8d-8a51d6265161","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 1","103 - Tirau"
"eede14c4-dc25-432a-a383-bca9c6b07f43","","work-in-progress","","folder","TRUE","FALSE","Site QA","Zone 2"
"22f333e0-247f-4b0a-b0ae-f5994e4babf8","","work-in-progress","","folder","TRUE","FALSE","Site QA","Zone 2","201 - Hutton's"
"9a897416-dadd-4991-bc21-d86c4cf82067","","work-in-progress","Shoulder Clearing Checklist","checklist","FALSE","FALSE","Site QA","Zone 2","201 - Hutton's","Shoulder Clearing Checklist"
"3b2f7f2d-004c-446a-8462-543d67a16b9e","","work-in-progress","","folder","TRUE","FALSE","Site QA","Zone 2","201 - Hutton's","FBS ITP"
"7a87d112-77b4-4837-bfe9-ddd44a70b173","","work-in-progress","ITP - Foam Bitumen Stabilisation - Material testing Rev 2","checklist","FALSE","FALSE","Site QA","Zone 2","201 - Hutton's","FBS ITP","ITP - Foam Bitumen Stabilisation - Material testing"
"e1053599-82cf-4c5f-8e7d-0531f15f5cc3","","work-in-progress","ITP - Foam Bitumen Stabilisation - Pre Treatments Rev 2","checklist","FALSE","FALSE","Site QA","Zone 2","201 - Hutton's","FBS ITP","ITP - Foam Bitumen Stabilisation - Pre Treatments"
"46df2ebb-41f6-4e99-b91b-9223c06a4dfd","","not-started","ITP - Foam Bitumen Stabilisation - Post FBS testing Rev 2","checklist","FALSE","FALSE","Site QA","Zone 2","201 - Hutton's","FBS ITP","ITP - Foam Bitumen Stabilisation - Post FBS testing"
"17dbf353-1a1b-4adc-9f6b-b907d4d97fdc","","work-in-progress","","folder","TRUE","FALSE","Site QA","Zone 2","202 - Putaruru"
