"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"edad3789-cab5-46ac-b300-b0b67d2d7089","","work-in-progress","","folder","TRUE","FALSE","STAGE #1"
"2d90abd3-13e1-4bb0-a7a4-33f28a8393e8","","work-in-progress","","folder","TRUE","FALSE","STAGE #1","W02 Resturarant"
"5ee35616-11ae-4d3f-8ca1-f652ff7ef383","","pass","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","W02 Resturarant","Pre Install Checklist"
"87e13d61-9f08-4ebc-a368-18f7c40f6898","","pass","Flush Glaze - Install Checklist","checklist","FALSE","FALSE","STAGE #1","W02 Resturarant","Installation"
"1f8df204-e9a7-43d4-82c8-e580448ce25c","","pass","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","W02 Resturarant","Glazing"
"376ff8d8-06e7-4079-923b-9f45f75cff2c","","not-applicable","Performance Tests","checklist","FALSE","FALSE","STAGE #1","W02 Resturarant","Performance Tests"
"89a7c471-1c74-4892-9139-7c2a6e4efa27","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","W02 Resturarant","Handover Checklist"
"87aa4b9a-964d-4e86-b1a0-ff6cf2202b51","","work-in-progress","","folder","TRUE","FALSE","STAGE #1","W01 Restuarant"
"fcf6fe9c-3e2f-4f7d-a92e-ee983b042d9a","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","W01 Restuarant","Pre Install Checklist"
"96b901d6-0fe3-4eb1-a164-07e35da57498","","pass","Flush Glaze - Install Checklist","checklist","FALSE","FALSE","STAGE #1","W01 Restuarant","Installation"
"0b70cfde-0835-4a39-8c9f-73a75dbd75c2","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","W01 Restuarant","Glazing"
"52b65d35-bfc9-4af5-961a-a4802190802c","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","W01 Restuarant","Performance Tests"
"d0aec922-fab7-4676-ac9e-e6252b564085","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","W01 Restuarant","Handover Checklist"
"ae1771d5-1933-43a1-9969-58709b2a7448","","work-in-progress","","folder","TRUE","FALSE","STAGE #1","W03 Restuarant"
"c10ee594-79ee-42d5-a964-bdf0505eaf87","","pass","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","W03 Restuarant","Pre Install Checklist"
"64b7687d-4c02-4567-9d5a-53aa7850d975","","pass","Flush Glaze - Install Checklist","checklist","FALSE","FALSE","STAGE #1","W03 Restuarant","Installation"
