"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a614dd33-2c74-4859-a331-4ac106096320","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#9 D103 Classroom 17","Glazing"
"9e5b5493-a592-45c0-a8e3-b8fb90670e9a","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#9 D103 Classroom 17","Performance Tests"
"6bd075f6-cc7a-4d58-9977-9d93627cd828","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#9 D103 Classroom 17","Handover Checklist"
"01015341-6f2a-48d8-92a0-653098ba2a87","","not-started","","folder","TRUE","FALSE","STAGE #1","#10 W107 Class 17"
"bbc6553c-9ab3-458b-9ee1-a6f5eddef944","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#10 W107 Class 17","Pre Install Checklist"
"cb3b4263-3c03-41e0-a18c-177b95e4709a","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#10 W107 Class 17","Installation"
"28efd6af-9aff-4adc-81d6-8a9d4a779e08","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#10 W107 Class 17","Glazing"
"da2d5122-6469-435c-b1aa-137bfdb59dea","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#10 W107 Class 17","Performance Tests"
"847e84c3-2659-4e2c-be0e-5ed035482bd3","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#10 W107 Class 17","Handover Checklist"
"e1b8bd17-2943-4be3-8dc4-b02a57f0af43","","not-started","","folder","TRUE","FALSE","STAGE #1","#11 W106 Class 17"
"1ec6878d-72ba-481c-8005-103142e1f224","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#11 W106 Class 17","Pre Install Checklist"
"9dfae9af-55df-4b58-85cf-3caaade4df50","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#11 W106 Class 17","Installation"
"e59f0ef2-66f8-4a7f-aa90-3b6bf0413429","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#11 W106 Class 17","Glazing"
"a1baa042-df40-49b8-ba99-9c0ab3307b93","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#11 W106 Class 17","Performance Tests"
"4dda560d-f0c0-4d42-97ca-247b560c2b0a","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#11 W106 Class 17","Handover Checklist"
"f4a5f9bf-8631-4d1d-aa00-bdd3f0368de9","","not-started","","folder","TRUE","FALSE","STAGE #1","#12 W105 Class 17"
"4a919c04-6053-492d-80df-daaeccdef315","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#12 W105 Class 17","Pre Install Checklist"
"73cae082-4997-4bbc-a36a-c52f49b2a9df","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#12 W105 Class 17","Installation"
"ef6190c6-2f82-4e21-ac0e-1eff8b92abb3","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#12 W105 Class 17","Glazing"
"da821e3d-8f66-499b-91e1-56ce6ecd0c2f","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#12 W105 Class 17","Performance Tests"
"3c7e850d-922f-4fa9-b5dc-bebb695d9c08","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#12 W105 Class 17","Handover Checklist"
"9296a1de-8cd1-4458-a868-0e182ab18967","","not-started","","folder","TRUE","FALSE","STAGE #1","#13 D102 Classroom 16"
"9e13978e-92bf-4a67-bcf1-0da487e166ed","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#13 D102 Classroom 16","Pre Install Checklist"
"bbf12a37-e102-4b6b-9311-bc300fad839e","","not-started","Shopfront - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#13 D102 Classroom 16","Installation"
"4720cecc-6171-43d0-9d7e-7a43f246aea4","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#13 D102 Classroom 16","Glazing"
"1a4e0b6b-6cfa-41cd-82ac-33619a36a4b8","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#13 D102 Classroom 16","Performance Tests"
"c0169cf1-9657-494e-9f42-c0d4f6ed31c4","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#13 D102 Classroom 16","Handover Checklist"
"72732edd-f6eb-4d4d-af9d-0af29cb9161b","","not-started","","folder","TRUE","FALSE","STAGE #1","#14 W104 Class 16"
"292bbe1d-cb80-4f7d-a3f2-ed98be251bd5","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#14 W104 Class 16","Pre Install Checklist"
"b27935b6-43d6-4b57-b4b1-db46090b79b4","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#14 W104 Class 16","Installation"
"0b3ecc14-a49e-4f2a-99e3-bc7f9482fd54","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#14 W104 Class 16","Glazing"
"474dac76-4d21-41dc-9d1b-96258080af06","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#14 W104 Class 16","Performance Tests"
"0f7b9c3a-a7a6-4fdd-8c5b-b4714e5e8b6d","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#14 W104 Class 16","Handover Checklist"
"23d15d98-de9b-47d6-a514-3d77f6151919","","not-started","","folder","TRUE","FALSE","STAGE #1","#15 W103 Class 16"
"e0ac8f2d-5281-4f80-a692-5f4a60797f64","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#15 W103 Class 16","Pre Install Checklist"
"c1366e53-7200-4e2f-ae1c-f63168939e4c","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#15 W103 Class 16","Installation"
"386b784b-31c2-4356-a1e6-5df0a99f710f","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#15 W103 Class 16","Glazing"
"92cd01b1-1a7a-405b-a44a-e0628643da68","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#15 W103 Class 16","Performance Tests"
"9e2825d8-3faa-4d25-918c-6ab5eef9f0ed","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#15 W103 Class 16","Handover Checklist"
"4927e797-5fbc-4652-a00a-6e1eb48d923a","","not-started","","folder","TRUE","FALSE","STAGE #1","#16 W102 Class 16"
"4227c3b4-86ee-42e4-9092-2877ddf46fcd","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#16 W102 Class 16","Pre Install Checklist"
"f20c8a58-88ba-453c-a963-fd5d09037fb3","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#16 W102 Class 16","Installation"
"0ce35964-7592-4396-a829-8b8496ff3401","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#16 W102 Class 16","Glazing"
"3a492f0d-9b77-4b2b-af3c-c34d5c4c3c3f","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#16 W102 Class 16","Performance Tests"
"b378ba7e-a71f-4a4b-a2ee-4e247ac0ec32","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#16 W102 Class 16","Handover Checklist"
"a438e429-94cb-4b2f-acdf-ee40701ba760","","not-started","","folder","TRUE","FALSE","STAGE #1","#17 D101 Classroom 15"
"c2540aae-6d7f-4bd2-9eb4-b084b9bc86f2","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#17 D101 Classroom 15","Pre Install Checklist"
"4b75ace9-965b-4b7f-b68e-b81e8f52fecf","","not-started","Shopfront - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#17 D101 Classroom 15","Installation"
"5269484a-79cd-4e61-9ca0-8d6a61b45131","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#17 D101 Classroom 15","Glazing"
"78469c76-6e69-4e57-87d5-a53d8abb1831","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#17 D101 Classroom 15","Performance Tests"
"d52353e2-1b1b-479f-b2e6-6b80d4f144a5","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#17 D101 Classroom 15","Handover Checklist"
"1887d509-6c69-4a3a-a726-6bdb8d30b903","","not-started","","folder","TRUE","FALSE","STAGE #1","#18 W101 Classroom 15"
"c6667420-af27-436e-8f50-960d0b4d597d","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#18 W101 Classroom 15","Pre Install Checklist"
"7d7f1187-fa78-4ba4-8f91-6df84968589a","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#18 W101 Classroom 15","Installation"
"066bb544-dc5e-43f2-9ad1-733b8c00b7da","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#18 W101 Classroom 15","Glazing"
"d1b55a9e-e1d3-4765-8908-722a78877331","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#18 W101 Classroom 15","Performance Tests"
"c7b68d70-059b-4535-8cba-4205649d3e4a","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#18 W101 Classroom 15","Handover Checklist"
"d9a2f26d-4a2f-4fdb-9852-f9e1aa678604","","not-started","","folder","TRUE","FALSE","STAGE #2"
"3b005cad-ce2f-4f8b-ac5e-1c1bdd65ef57","","not-started","","folder","TRUE","FALSE","STAGE #2","W202 Extra Item"
"1c5d487e-6d82-468c-ad13-8374f25715cc","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #2","W202 Extra Item","Pre Install Checklist"
"88889bc9-8846-4a26-9dfc-5e847afbc0ae","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #2","W202 Extra Item","Installation"
