"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"358aa5ed-6a29-4557-b0d3-23cfea10fa97","","work-in-progress","","folder","TRUE","FALSE","Item #1 Replacement Doors"
"6a29824d-4fee-4bb3-bf35-3efc994a0b7f","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","Item #1 Replacement Doors","Pre-Install Checklist"
"6d60c0c2-a52c-4651-ba89-6dbaeb931dbe","","not-started","Shopfront - Install Checklist","checklist","FALSE","FALSE","Item #1 Replacement Doors","Install Checklist"
"990c44d5-6f72-4fbf-aa2c-6dbd54131f7c","","not-started","Glazing Checklist","checklist","FALSE","FALSE","Item #1 Replacement Doors","Glazing"
"798d69a6-2130-488a-8af9-2aff648ac340","","not-started","Performance Tests","checklist","FALSE","FALSE","Item #1 Replacement Doors","Performance Tests"
"fbfde3a5-2202-4dc8-9195-9c420aa596dd","","pass","Handover Checklist","checklist","FALSE","FALSE","Item #1 Replacement Doors","Handover"
