"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9736cbd3-41f7-4872-a045-2848867777f7","","work-in-progress","","folder","TRUE","FALSE","D.P01.03 (DT.26)"
"1a645eaa-91aa-4990-a4da-d1a57f4f5e2e","","pass","Pre-Install Checklist","checklist","FALSE","FALSE","D.P01.03 (DT.26)","Pre-Install Checklist"
"8b6248c7-c181-4958-80f4-6888b826785f","","pass","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","D.P01.03 (DT.26)","Install Checklist"
"3bb20448-4950-4564-9c71-4fd5ca4a7b5d","","not-started","Glazing Checklist","checklist","FALSE","FALSE","D.P01.03 (DT.26)","Glazing"
"c2f393fa-7c16-469c-a165-e83e26b86382","","not-started","Performance Tests","checklist","FALSE","FALSE","D.P01.03 (DT.26)","Performance Tests"
"c97090e0-3266-40f8-b112-6c5d2b419f9d","","pass","Handover Checklist","checklist","FALSE","FALSE","D.P01.03 (DT.26)","Handover"
"dad9047f-f054-491c-b536-96602209e673","","pass","General Manufacturing Template","checklist","FALSE","FALSE","D.P01.03 (DT.26)","Factory Works"
