"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d900a584-bb60-4085-8e62-94b0871c18ad","","not-started","","folder","TRUE","FALSE","Stage #1"
"0468985a-f573-4827-bc6c-c7371e77295c","","not-started","","folder","TRUE","FALSE","Stage #1","W01 Link"
"0d76b8c5-8e53-475c-9ab5-4e0055c3e090","","not-started","General Manufacturing Template","checklist","FALSE","FALSE","Stage #1","W01 Link","FACTORY WORKS"
"bf7cb298-7d67-466f-bfbb-3a5f8bd857e5","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","Stage #1","W01 Link","Pre-Install Check"
"38204923-0e6f-42ba-b765-256bc8a91140","","not-started","Architectural - Install Checklist","checklist","FALSE","FALSE","Stage #1","W01 Link","Install Checklist"
"2dd0e59e-7806-4882-80a4-314aed49801b","","not-started","Glazing Checklist","checklist","FALSE","FALSE","Stage #1","W01 Link","Glazing"
"aa311c4e-2446-4422-a428-17a234edddc0","","not-started","Performance Tests","checklist","FALSE","FALSE","Stage #1","W01 Link","Performance Tests"
"ce74d81d-5448-4937-9891-de1d60993688","","not-started","Handover Checklist","checklist","FALSE","FALSE","Stage #1","W01 Link","Handover"
"c109aee3-2c27-4e83-aa8f-ccde48f117cb","","not-started","","folder","TRUE","FALSE","Stage #1","W02 Link"
"23625413-fa78-4a65-b5cf-09cf17a70963","","not-started","General Manufacturing Template","checklist","FALSE","FALSE","Stage #1","W02 Link","FACTORY WORKS"
"0159d097-f989-4887-80d3-19aa90268c71","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","Stage #1","W02 Link","Pre-Install Check"
"e8bb6716-e9ae-42a9-8fbe-2cb08627ca4d","","not-started","Architectural - Install Checklist","checklist","FALSE","FALSE","Stage #1","W02 Link","Install Checklist"
"96280006-788e-4d91-8093-a0c79e317c02","","not-started","Glazing Checklist","checklist","FALSE","FALSE","Stage #1","W02 Link","Glazing"
"1d642a29-0129-474f-a174-68af998b6e4f","","not-started","Performance Tests","checklist","FALSE","FALSE","Stage #1","W02 Link","Performance Tests"
"1a00112d-d9c0-4e70-a01c-d3bd865ac367","","not-started","Handover Checklist","checklist","FALSE","FALSE","Stage #1","W02 Link","Handover"
"31b75b37-5464-46a4-ac5f-f3d25c840c09","","not-started","","folder","TRUE","FALSE","Stage #1","SK01 Playroom"
"720656bc-cf53-4b0e-a37c-91c59386470f","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","Stage #1","SK01 Playroom","Pre-Install Check"
"45627460-812f-47bd-82c4-5607bee91f6b","","not-started","Architectural - Install Checklist","checklist","FALSE","FALSE","Stage #1","SK01 Playroom","Install Checklist"
"d70015b5-d8dc-49da-a9ea-0030fd67c44b","","not-started","Performance Tests","checklist","FALSE","FALSE","Stage #1","SK01 Playroom","Performance Tests"
"47294f90-c454-4f3a-bbf0-5295eb683c6f","","not-started","Handover Checklist","checklist","FALSE","FALSE","Stage #1","SK01 Playroom","Handover"
"10054b1e-b278-40ad-9ec3-8ccdf8a6ed4d","","no-status-not-started","","folder","TRUE","FALSE","Stage #2"
