"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a6cbf9da-2bde-428e-8243-91a9da495d46","","not-started","","folder","TRUE","FALSE","STAGE #2","DE1.25"
"e449dcb8-8d17-4809-8cb0-0168f31e42d8","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #2","DE1.25","Pre Install Checklist"
"1e6b462c-578c-4f9d-85a1-094a8f70da12","","not-started","Shopfront - Install Checklist","checklist","FALSE","FALSE","STAGE #2","DE1.25","Installation"
"9b67efe2-16ca-4e05-aa7f-63f50671d54f","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #2","DE1.25","Glazing"
"6e2a0183-d940-4c77-b83d-ae1e0f4bafc5","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #2","DE1.25","Performance Tests"
"3dee9959-54bf-45d5-836d-494aab8ff9c4","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #2","DE1.25","Handover Checklist"
"e19e67cc-dd30-435d-a7de-c5cde2643f2e","","not-started","","folder","TRUE","FALSE","STAGE #2","DE.21 Media Breakout"
"293a7f3a-3b86-4b74-b5c5-ae6ef026f03b","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #2","DE.21 Media Breakout","Pre Install Checklist"
"e8697124-e9f6-4efa-984a-1386422da00b","","not-started","Shopfront - Install Checklist","checklist","FALSE","FALSE","STAGE #2","DE.21 Media Breakout","Installation"
"3e14fb62-ac25-4bae-9e79-9854b87fa21a","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #2","DE.21 Media Breakout","Glazing"
"2b5d994f-4438-462d-814d-ea98f3f72248","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #2","DE.21 Media Breakout","Performance Tests"
"3bb48c2b-f15b-4b31-b5f9-ee2abaafba25","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #2","DE.21 Media Breakout","Handover Checklist"
"f76b8347-869d-4518-a31b-fb758f68d7f9","","not-started","","folder","TRUE","FALSE","STAGE #2","DE.18A Media Breakout"
"64839f39-c5b4-48b3-bad4-c26079ea149a","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #2","DE.18A Media Breakout","Pre Install Checklist"
"647d93c2-16e6-4967-b9b5-770718c3258a","","not-started","Shopfront - Install Checklist","checklist","FALSE","FALSE","STAGE #2","DE.18A Media Breakout","Installation"
"5becb4dc-6fca-4a12-b7fd-bd00699882f6","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #2","DE.18A Media Breakout","Glazing"
"802727da-d1ef-4101-a57e-e82fd9f436cf","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #2","DE.18A Media Breakout","Performance Tests"
"42f914ea-23df-4fc7-81e2-fb4a6c2aa2e4","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #2","DE.18A Media Breakout","Handover Checklist"
"45b00a56-ff93-459e-9ea6-496c18f71ae2","","not-started","","folder","TRUE","FALSE","STAGE #3"
"694f8c99-fad3-4427-9366-aa2ff935d557","","not-started","","folder","TRUE","FALSE","STAGE #3","#6 W2.26Pa"
"f72fe4ab-4327-4269-b2a9-775ff8175438","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #3","#6 W2.26Pa","Pre Install Checklist"
"aa66d2a8-dfbc-4f18-b3dc-b6efcea39f8e","","not-started","Flush Glaze - Install Checklist","checklist","FALSE","FALSE","STAGE #3","#6 W2.26Pa","Installation"
"9ee94adb-3178-4614-bec2-946863c1e995","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #3","#6 W2.26Pa","Glazing"
"ba4f302d-12e8-43cb-9d4e-acee0ed31b21","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #3","#6 W2.26Pa","Performance Tests"
"6ea4e04d-ba4f-40e5-aff8-37cc3e1bb48b","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #3","#6 W2.26Pa","Handover Checklist"
"a33dc0f2-148a-4fd6-bc5a-3677ef58531d","","not-started","","folder","TRUE","FALSE","STAGE #3","#7 W2.2Pb"
"be9168e2-02eb-43a5-bf8e-f97ec7bc5bd4","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #3","#7 W2.2Pb","Pre Install Checklist"
"15bcb7ec-9f73-406c-9cc2-c020b8e71e8d","","not-started","Flush Glaze - Install Checklist","checklist","FALSE","FALSE","STAGE #3","#7 W2.2Pb","Installation"
"66487b33-73b5-4ca6-bcd6-2a3ea3fc1522","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #3","#7 W2.2Pb","Glazing"
"9b402bbb-4daf-45de-8427-fc74217d2f8a","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #3","#7 W2.2Pb","Performance Tests"
"fa6a9213-fcde-415d-bc40-6def3bf33fb0","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #3","#7 W2.2Pb","Handover Checklist"
"f2ca07eb-fbb4-4ead-99fa-a8659db3e07b","","not-started","","folder","TRUE","FALSE","STAGE #3","#8 W2.26Q"
"85090a54-3712-4e56-b9af-1054f14ba0a0","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #3","#8 W2.26Q","Pre Install Checklist"
"9518a443-0cf0-489d-abb4-2500ec0a0cbf","","not-started","Flush Glaze - Install Checklist","checklist","FALSE","FALSE","STAGE #3","#8 W2.26Q","Installation"
"ac76f6ec-0502-495d-a106-baf6707631a5","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #3","#8 W2.26Q","Glazing"
"e19c6bc9-8b8f-48c3-90a0-f168f95125e9","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #3","#8 W2.26Q","Performance Tests"
"c8a1545b-64fa-4929-bea4-bc759aa11a5e","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #3","#8 W2.26Q","Handover Checklist"
"55ecd53e-ad68-4f88-a8fd-86460417bada","","not-started","","folder","TRUE","FALSE","STAGE #3","#17 W2.26J"
