"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f4072f4d-8669-4774-8bf4-1c7f30b2aaf8","","not-started","","folder","TRUE","FALSE","STAGE #1"
"d79fecfb-1328-431a-b8a9-d17d48dd85d8","","not-started","","folder","TRUE","FALSE","STAGE #1","#18 W019-2 MC2 019"
"a662b734-508a-4398-86b1-de3413bc0749","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#18 W019-2 MC2 019","Pre Install Checklist"
"9f17bcb7-f349-4127-9e09-658a5052d882","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#18 W019-2 MC2 019","Installation"
"f6aa14d6-61d2-4d77-b611-9c0dd9251606","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#18 W019-2 MC2 019","Glazing"
"1732695b-f982-421d-81f1-1b28afc59caf","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#18 W019-2 MC2 019","Performance Tests"
"08c58010-b099-41be-bc75-f9cda3d80978","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#18 W019-2 MC2 019","Handover Checklist"
"7f9086a9-806f-44df-b0e3-6d13b1d6c335","","not-started","","folder","TRUE","FALSE","STAGE #1","#19 W019-1 MC2 019"
"abd987cc-1870-4780-9a1c-0f539f630598","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#19 W019-1 MC2 019","Pre Install Checklist"
"472fcf39-eee1-454c-adf4-abefa4accafe","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#19 W019-1 MC2 019","Installation"
"ac2d23e9-2b4d-4504-81b6-e6f9d11de01d","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#19 W019-1 MC2 019","Glazing"
"0a4f4085-df6a-416c-aa99-b5f876578c38","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#19 W019-1 MC2 019","Performance Tests"
"ff79d3ad-13c7-4a0f-9f9e-1ce63cc6c2ae","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#19 W019-1 MC2 019","Handover Checklist"
"f5735fbc-c146-4ff0-b582-347fdf2f5bcd","","not-started","","folder","TRUE","FALSE","STAGE #1","#20 W018-1 MC2 018"
"9eaa7598-d6e1-4060-90f4-0362ef140cdb","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#20 W018-1 MC2 018","Pre Install Checklist"
"8f9b5a23-42fd-4e1e-a107-4571203b521a","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#20 W018-1 MC2 018","Installation"
"11132177-b275-434b-95dd-9a1386dea9c9","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#20 W018-1 MC2 018","Glazing"
"f8baf632-633e-4d64-859e-fb516885f528","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#20 W018-1 MC2 018","Performance Tests"
"6e38ae53-65bd-483c-9e8e-d45d012a512a","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#20 W018-1 MC2 018","Handover Checklist"
"b8ed3000-cfe0-47f8-918b-f6f89926d9f3","","not-started","","folder","TRUE","FALSE","STAGE #1","#23 W017-1 MC2 017"
"04295bed-c2e6-44f0-b09e-0c25c6623c79","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#23 W017-1 MC2 017","Pre Install Checklist"
"babf2196-e608-40fa-bd88-4d58b0380fc6","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#23 W017-1 MC2 017","Installation"
"77d0603d-9eca-4dce-919e-593062b2ed05","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#23 W017-1 MC2 017","Glazing"
"6414bb1d-9a06-408b-96df-3753d84a850c","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#23 W017-1 MC2 017","Performance Tests"
"85c52a7c-3474-4538-beef-979e3545064b","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#23 W017-1 MC2 017","Handover Checklist"
"b0b282db-5ec2-4e58-ae53-e7590555e084","","not-started","","folder","TRUE","FALSE","STAGE #1","#24 W016-1 MC2 016"
"8cbd3ec1-eee2-430b-80aa-74c5a2c84f84","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#24 W016-1 MC2 016","Pre Install Checklist"
"633625b8-36ce-4616-b594-9f323f36ed49","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#24 W016-1 MC2 016","Installation"
"4340e609-550f-4033-b45c-37c3cd23e366","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#24 W016-1 MC2 016","Glazing"
"67c568f2-d76c-4e0b-808a-17dac5526511","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#24 W016-1 MC2 016","Performance Tests"
"a92a39bd-a2e1-4b0e-87f6-3add97ef5d8f","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#24 W016-1 MC2 016","Handover Checklist"
"0262b5ba-189c-40e6-b7b4-bcac29979d87","","not-started","","folder","TRUE","FALSE","STAGE #1","#25 W016-2 MC2 016"
"7560148f-41ea-4d04-a04e-e8ed81916827","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#25 W016-2 MC2 016","Pre Install Checklist"
