"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f44487a7-95a7-44b9-a202-b9ff691d7824","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#25 TYPE 148 - W016-2 Bedroom","Performance Tests"
"bf7b0b9b-495a-4ef2-a74d-1bdeaf0915ac","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#25 TYPE 148 - W016-2 Bedroom","Handover Checklist"
"80c7e522-df2c-4907-ba1b-30653ea219b4","","work-in-progress","","folder","TRUE","FALSE","STAGE #1","#26 TYPE 066 - W015-1 Kitchen"
"5703eeb9-f7c2-4495-ba73-c20763dc593e","","pass","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#26 TYPE 066 - W015-1 Kitchen","Pre Install Checklist"
"f20dcbd3-5250-4585-a850-7b9f47225d4c","","pass","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#26 TYPE 066 - W015-1 Kitchen","Installation"
"ff64078b-43c8-43b7-b43a-e435bff18a76","","pass","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#26 TYPE 066 - W015-1 Kitchen","Glazing"
"b6c439b0-2d75-4ee2-bf8b-4ba448b54a0b","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#26 TYPE 066 - W015-1 Kitchen","Performance Tests"
"a5438d84-3257-4654-a7bd-12bed9bb5d30","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#26 TYPE 066 - W015-1 Kitchen","Handover Checklist"
"a2ade91f-fb5c-4682-8670-2187672986c7","","work-in-progress","","folder","TRUE","FALSE","STAGE #1","#29 TYPE 148 - W015-4 Bedroom"
"eb1d223a-ae56-4b9b-945e-d8320dfd3825","","pass","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#29 TYPE 148 - W015-4 Bedroom","Pre Install Checklist"
"c0f8f053-47ed-43f1-8909-46104b16ca89","","pass","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#29 TYPE 148 - W015-4 Bedroom","Installation"
"c502b871-baf2-498b-997f-8e380bf322d0","","pass","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#29 TYPE 148 - W015-4 Bedroom","Glazing"
"d87fd71e-8376-4880-bda0-2d763a2748d6","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#29 TYPE 148 - W015-4 Bedroom","Performance Tests"
"d4a86d24-0c9c-4f4c-9346-82e75dd879a3","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#29 TYPE 148 - W015-4 Bedroom","Handover Checklist"
"67e0f1b6-a302-4cfa-9d89-fdcd25096a9e","","work-in-progress","","folder","TRUE","FALSE","STAGE #1","#31 TYPE 148 - W014-1 Living"
"d5ae60f7-0406-49b3-9fa7-8c2a78a9855c","","pass","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#31 TYPE 148 - W014-1 Living","Pre Install Checklist"
"9e72dfe8-822c-44fe-829e-916dc7ec580a","","pass","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#31 TYPE 148 - W014-1 Living","Installation"
"55ee4d5a-7cb9-4064-9a8b-3c501478db3c","","pass","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#31 TYPE 148 - W014-1 Living","Glazing"
"67727834-64eb-4389-b27c-872c329c1659","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#31 TYPE 148 - W014-1 Living","Performance Tests"
"87c0a2df-4d20-481e-9922-7cc4028d2cf4","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#31 TYPE 148 - W014-1 Living","Handover Checklist"
"ef7ac8c9-d59d-4e4f-b27a-32122ac00d22","","work-in-progress","","folder","TRUE","FALSE","STAGE #1","#32 TYPE 148 - W014-2 Bedroom"
"a31924a8-7cca-4732-96b3-7a9327d59556","","pass","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#32 TYPE 148 - W014-2 Bedroom","Pre Install Checklist"
"2e8edec5-69ec-4620-9ecc-0b065dc9017c","","pass","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#32 TYPE 148 - W014-2 Bedroom","Installation"
"a4a2e4d9-d0f9-4a3b-9f10-974be675dad4","","pass","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#32 TYPE 148 - W014-2 Bedroom","Glazing"
"0e1088e2-f62c-496a-a99a-6ccd3c183f54","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#32 TYPE 148 - W014-2 Bedroom","Performance Tests"
"660df2be-0c11-4b95-9c36-c6e9dd439025","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#32 TYPE 148 - W014-2 Bedroom","Handover Checklist"
"89fcf79e-c09a-453c-a446-2aa9b0ffe43c","","work-in-progress","","folder","TRUE","FALSE","STAGE #1","#33 TYPE 148 - W012-2 Bedroom"
"d84087d2-9e04-4481-bb8e-99406a487df4","","pass","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#33 TYPE 148 - W012-2 Bedroom","Pre Install Checklist"
"9fffaefc-edd2-4da4-8840-7e2fe4acd44d","","pass","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#33 TYPE 148 - W012-2 Bedroom","Installation"
"c032c365-a160-4e0a-8fac-b08d28db2341","","pass","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#33 TYPE 148 - W012-2 Bedroom","Glazing"
"52ef5a4a-cd4c-447b-9ff5-7b89b70a868d","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#33 TYPE 148 - W012-2 Bedroom","Performance Tests"
"1e4d1e07-4631-4742-9c09-39349e40babf","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#33 TYPE 148 - W012-2 Bedroom","Handover Checklist"
"eab662c0-89db-40a1-a9c9-7ca63cd2c47e","","work-in-progress","","folder","TRUE","FALSE","STAGE #1","#34 TYPE 148 - W012-1 Living"
"ced197ab-a3d2-47f9-ba9c-168b94f45248","","pass","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#34 TYPE 148 - W012-1 Living","Pre Install Checklist"
"92af1bd2-23fa-490d-8916-346d80c2a0a9","","pass","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#34 TYPE 148 - W012-1 Living","Installation"
"7a8987de-2e8c-441b-822f-4530c7f2a4d5","","pass","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#34 TYPE 148 - W012-1 Living","Glazing"
"8fd5d4e2-a224-4273-9973-3f6c5424b818","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#34 TYPE 148 - W012-1 Living","Performance Tests"
"e6fdc383-2c06-46f3-bdae-155ce32e4759","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#34 TYPE 148 - W012-1 Living","Handover Checklist"
"db9a0e18-83f2-4bce-bf00-626c82ad6ca1","","work-in-progress","","folder","TRUE","FALSE","STAGE #1","#35 TYPE 148 - W010-2 Bedroom"
"8c646421-35ae-4caf-81f2-0d41e49273a3","","pass","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#35 TYPE 148 - W010-2 Bedroom","Pre Install Checklist"
"0ff83fb6-098e-4c70-8d50-8e260e9bd138","","pass","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#35 TYPE 148 - W010-2 Bedroom","Installation"
"33bee60e-8bb4-47c6-98a6-2cb0507e8b8c","","pass","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#35 TYPE 148 - W010-2 Bedroom","Glazing"
"ab767b12-22c5-42fc-8eb6-883b9b8f8a06","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#35 TYPE 148 - W010-2 Bedroom","Performance Tests"
"0152079f-232e-4c80-8a2b-3331aef04e2b","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#35 TYPE 148 - W010-2 Bedroom","Handover Checklist"
"a6bf9dc4-35c3-43e7-a832-556991105b96","","work-in-progress","","folder","TRUE","FALSE","STAGE #1","#36 TYPE 148 - W010-1 Living"
"0afc14a9-66cf-4fe1-9922-dc6cb2bb0353","","work-in-progress","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#36 TYPE 148 - W010-1 Living","Pre Install Checklist"
"93a50340-d3d9-43d0-a904-2a601451c96f","","pass","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#36 TYPE 148 - W010-1 Living","Installation"
"2fc767b5-cf44-4179-a13d-783977b8e5bd","","pass","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#36 TYPE 148 - W010-1 Living","Glazing"
"c4ba049a-4500-4b95-8d2d-94c37484f248","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#36 TYPE 148 - W010-1 Living","Performance Tests"
"85894889-f7f1-491d-9222-1fd5cc6479f2","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#36 TYPE 148 - W010-1 Living","Handover Checklist"
"78a05542-fe3b-483d-a97f-1c0b8b91814e","","work-in-progress","","folder","TRUE","FALSE","STAGE #1","#37 TYPE 148 - W008-4 Bedroom"
"b7d50cb0-38d2-4226-b336-118329de6b85","","work-in-progress","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#37 TYPE 148 - W008-4 Bedroom","Pre Install Checklist"
"04293416-dc99-47db-8170-01a63b6fc712","","pass","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#37 TYPE 148 - W008-4 Bedroom","Installation"
"83630f3c-9a60-42a2-ae4d-970d01dc4cd2","","pass","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#37 TYPE 148 - W008-4 Bedroom","Glazing"
"203a934c-f828-4e60-8736-79c91f4b05c6","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#37 TYPE 148 - W008-4 Bedroom","Performance Tests"
"8a59e9d1-bf53-458d-bc67-b8494248c20f","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#37 TYPE 148 - W008-4 Bedroom","Handover Checklist"
"0e661828-1075-46fd-9694-2ac66ff2d25a","","fail","","folder","TRUE","FALSE","STAGE #2"
