"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d0632cc1-adec-4629-be33-728e97a995d2","","not-started","","folder","TRUE","FALSE","D-01 Online / Pickup"
"a87d3dc9-0732-4e2f-8d78-940a449b03a3","","not-started","General Manufacturing Template","checklist","FALSE","FALSE","D-01 Online / Pickup","FACTORY WORKS"
"39ac5404-9e4a-469e-88dc-3340eb95df05","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","D-01 Online / Pickup","Pre-Install Check"
"61136e39-1122-422b-b6cc-b6375541c147","","not-started","Shopfront - Install Checklist","checklist","FALSE","FALSE","D-01 Online / Pickup","Install Checklist"
"9297baa8-7920-4d03-86c1-14a6ca2a66e1","","not-started","Glazing Checklist","checklist","FALSE","FALSE","D-01 Online / Pickup","Glazing"
"8c60c145-f856-4997-885d-624e7458aca1","","not-started","Performance Tests","checklist","FALSE","FALSE","D-01 Online / Pickup","Performance Tests"
"c4320ebe-adfe-4424-9e84-b10af1da66a6","","not-started","Handover Checklist","checklist","FALSE","FALSE","D-01 Online / Pickup","Handover"
"322e3931-808c-4d74-b2de-e45b241fd431","","not-started","","folder","TRUE","FALSE","D-03 Online / Pickup"
"b3bdbfe2-c638-4219-821e-ce2420ac04bf","","not-started","General Manufacturing Template","checklist","FALSE","FALSE","D-03 Online / Pickup","FACTORY WORKS"
"5814d7b7-d158-407d-ab70-7cca80587165","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","D-03 Online / Pickup","Pre-Install Check"
"e14738cb-958c-484b-b7a5-fc08ba85b2bb","","not-started","Shopfront - Install Checklist","checklist","FALSE","FALSE","D-03 Online / Pickup","Install Checklist"
"e7697cf5-3ebc-40df-a264-d238eb8e70c2","","not-started","Glazing Checklist","checklist","FALSE","FALSE","D-03 Online / Pickup","Glazing"
"8db22b15-8712-44b5-8762-805a11209d9f","","not-started","Performance Tests","checklist","FALSE","FALSE","D-03 Online / Pickup","Performance Tests"
"25173c76-2db7-4ec4-8092-7abc50765dfa","","not-started","Handover Checklist","checklist","FALSE","FALSE","D-03 Online / Pickup","Handover"
