"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e22561cc-bee4-402f-9363-485daae85398","","not-started","","folder","TRUE","FALSE","Project QA"
"dee14eb5-b2f5-4106-97f7-2449493e4003","","not-started","","folder","TRUE","FALSE","Project QA","CW01"
"be6ca7f0-9c9d-4739-8db1-28c12f423ba2","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","Project QA","CW01","Pre Install"
"119696b3-ade5-4124-a72b-953d1dee6820","","not-started","Flush Glaze - Install Checklist","checklist","FALSE","FALSE","Project QA","CW01","Installation"
"049f123e-83b5-4324-9749-66a65e917f95","","not-started","Glazing Checklist","checklist","FALSE","FALSE","Project QA","CW01","Glazing"
"e6eb4f84-8d60-42d7-835c-931d1f9cd4be","","not-started","Handover Checklist","checklist","FALSE","FALSE","Project QA","CW01","Handover"
"9d96ad5a-7615-4895-b1c9-14b2cd2aa842","","not-started","","folder","TRUE","FALSE","Project QA","CW02"
"554910ef-ba5e-4352-9cbd-4c7b86461fbf","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","Project QA","CW02","Pre Install"
"c94132a7-ba41-4b29-8e95-da345db6bb0a","","not-started","Flush Glaze - Install Checklist","checklist","FALSE","FALSE","Project QA","CW02","Installation"
"28fc87ef-9b1b-4b37-bca5-3d6831276ff2","","not-started","Glazing Checklist","checklist","FALSE","FALSE","Project QA","CW02","Glazing"
"29f50025-487d-4d7a-9746-bcc69e500ce3","","not-started","Handover Checklist","checklist","FALSE","FALSE","Project QA","CW02","Handover"
"7b19a544-87e5-4dbf-92cf-8397ef02c500","","not-started","","folder","TRUE","FALSE","Project QA","CW03"
"8ebeb8fc-684b-4db3-bea9-481430c4e7da","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","Project QA","CW03","Pre Install"
"45ee4fdf-9a4a-4bf3-a777-f5a2eb885d8b","","not-started","Flush Glaze - Install Checklist","checklist","FALSE","FALSE","Project QA","CW03","Installation"
"e984a908-3798-45d6-b6ca-dcd61820a066","","not-started","Glazing Checklist","checklist","FALSE","FALSE","Project QA","CW03","Glazing"
"b9322ac1-c515-4b71-83a1-5e3130e5e1cf","","not-started","Handover Checklist","checklist","FALSE","FALSE","Project QA","CW03","Handover"
"2e6b76c0-82ea-4e6f-ac28-7f72a26cafdc","","not-started","","folder","TRUE","FALSE","Project QA","CW04"
"f588316f-8d02-4ce6-b422-2341841de724","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","Project QA","CW04","Pre Install"
"e62cc30a-8edc-4525-a008-704e1a9b4476","","not-started","Flush Glaze - Install Checklist","checklist","FALSE","FALSE","Project QA","CW04","Installation"
"186d3d84-7c41-496a-80da-7d594db1c53a","","not-started","Glazing Checklist","checklist","FALSE","FALSE","Project QA","CW04","Glazing"
"3f4559cc-da12-4bfd-be98-fa26e9548296","","not-started","Handover Checklist","checklist","FALSE","FALSE","Project QA","CW04","Handover"
"0b60d9c1-f7f0-4027-8895-958decb118b1","","not-started","","folder","TRUE","FALSE","Project QA","CW05"
"5d5a1ae2-5349-455c-a9a0-2014624c5c3e","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","Project QA","CW05","Pre Install"
"b15e4a76-e986-41b9-8188-e9cba6e9cc83","","not-started","Structural Glaze - Install Checklist","checklist","FALSE","FALSE","Project QA","CW05","Install"
"92f9d9d2-4d5e-4f90-bb98-8f721b3ed3fc","","not-started","Glazing Checklist","checklist","FALSE","FALSE","Project QA","CW05","Glazing"
"9cc624d8-d8a4-42c9-952e-69e836ae4d62","","not-started","Performance Tests","checklist","FALSE","FALSE","Project QA","CW05","Performance Tests"
"d234d49e-d267-4489-b081-26cdf9d7dbcc","","not-started","Handover Checklist","checklist","FALSE","FALSE","Project QA","CW05","Handover"
"ac5a9660-5a5e-4559-93fd-4264399f04f3","","not-started","","folder","TRUE","FALSE","Project QA","CW06"
"b97c4dd4-f779-4f69-9423-89f9d5d03068","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","Project QA","CW06","Pre Install"
"62fee20f-66cd-41cb-9e9d-88d6af178daf","","not-started","Structural Glaze - Install Checklist","checklist","FALSE","FALSE","Project QA","CW06","Install"
"033d6193-4058-4945-afec-9e46691b91fc","","not-started","Glazing Checklist","checklist","FALSE","FALSE","Project QA","CW06","Glazing"
"2b50b46b-f9cd-469c-b58d-c46b15a8528e","","not-started","Performance Tests","checklist","FALSE","FALSE","Project QA","CW06","Performance Tests"
"16fd34e4-4b08-4062-a413-24d2074db28c","","not-started","Handover Checklist","checklist","FALSE","FALSE","Project QA","CW06","Handover"
"5b2a2f54-1dfd-4851-aab4-7b2c87ba36c3","","not-started","","folder","TRUE","FALSE","Project QA","DE1.01"
