"Id","Type","Name","Values","Prompting Name","Usage Count","Resource Id"
"438a22cc-4159-4f8b-a615-dbeb90310d17","checkpoint","Hinge doors and sliding doors - Bungs are fitted (every hole)",,,,
"962df9bf-629c-4eff-9423-f66420c539b9","checkpoint","Sliding doors - panels are adjusted and locking easily",,,,
"f8193e5f-1059-4fb6-be9d-79ffcc92b957","checkpoint","Sliding doors - Strikes are adjusted",,,,
"49aff856-0880-46f2-8ed1-18c097c0ba1c","checkpoint","Sliding doors - Anti lift blocks and stops fitted properly",,,,
"e18024d7-03ff-4c3d-8e7c-40ddd2f34e98","checkpoint","Windows open, close, and lock smoothly without excessive force.",,,,
"4ceee48f-02a8-4625-b863-7a72d2601708","checkpoint","All operable windows have functional hardware (locks, latches, etc.)",,,,
"388c3c1d-c87a-400c-9a80-93a77c72d5ed","checkpoint","Proper spacing and clearances are maintained around the window units.",,,,
"c1b69fba-63c0-4ad1-aa8e-e057d127c6e7","checkpoint","Fasteners used are correct in type, size, and spacing",,,,
"d470b26b-537b-43aa-86bf-aec41c4ddc53","checkpoint","Frames installed correctly?",,,,
"f7952b82-dc3a-4eea-9759-150732725e1c","checkpoint","Drains are not blocked",,,,

"876402bf-1607-4b5e-87f0-908002cff0d7/1","checklist","Channel Glazing - Install Checklist","","Channel Glazing - Install Checklist",0,"1e66aa05-068b-42ec-abb0-a2b1fc5c5490"
"45e8814a-82cf-423b-a9fd-c3a56e777229","section","Details",,,,
"c3ec2854-4ad0-4440-8a32-1aea1514e95c","checkpoint","Has the window/door installation been completed?",,,,
"9ee87023-a489-4626-a496-11f672078fad","checkpoint","Is interior sealants installation neat and continuous.",,,,
"1889b415-b312-4ec5-9daa-d692d267ff25","checkpoint","Is exterior sealants installation neat and continuous.",,,,
"fc274217-2581-4ccd-ae35-f1b7ba418daa","checkpoint","Is sill flashing installed per plans and as detailed in the shop drawings?",,,,
"626efc5e-3040-4730-8533-16fa8dbc791d","checkpoint","Are all window and doors working?",,,,
"e2280082-4530-4c9a-9dab-6204700c638e","checkpoint","Is the joinery free of scratches?",,,,
