"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"09d57bc1-7337-4e17-a6ec-cf6206a0fd1f","","fail","","folder","TRUE","FALSE","STAGE #1 - Level 2 - Sliders"
"f1979c44-56b0-4cdd-8b4c-c7a67c162f44","","work-in-progress","","folder","TRUE","FALSE","STAGE #1 - Level 2 - Sliders","#4 W3- W2.04 Living (UA02) SD"
"fbee45f7-b9f7-4620-8c67-5206820025b0","","pass","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1 - Level 2 - Sliders","#4 W3- W2.04 Living (UA02) SD","Pre Install Checklist"
"6c9d2c50-b9c1-47ce-9bdf-e7611cc670ed","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #1 - Level 2 - Sliders","#4 W3- W2.04 Living (UA02) SD","Installation"
"7edaacb7-6849-4ee3-aee9-74a10dcfeece","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1 - Level 2 - Sliders","#4 W3- W2.04 Living (UA02) SD","Glazing"
"62e456f2-4306-4475-a00e-4dffbcd79f50","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1 - Level 2 - Sliders","#4 W3- W2.04 Living (UA02) SD","Performance Tests"
"e6b7da1d-e208-4c31-9596-348162a244f3","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1 - Level 2 - Sliders","#4 W3- W2.04 Living (UA02) SD","Handover Checklist"
"3e3fc57d-e354-49ca-8bf0-825ae51138cc","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1 - Level 2 - Sliders","#4 W3- W2.04 Living (UA02) SD","Pre-Install Checklist"
"cb30bb64-6278-444f-96eb-093b6b0c815a","","work-in-progress","","folder","TRUE","FALSE","STAGE #1 - Level 2 - Sliders","#9 W14- W2.10 Living (UK02) SD"
"e0607105-fb4c-4ad0-bdac-a92aa1b112d2","","work-in-progress","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1 - Level 2 - Sliders","#9 W14- W2.10 Living (UK02) SD","Pre Install Checklist"
"f5184d85-f587-4c34-bd8e-ea9fe064dc00","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #1 - Level 2 - Sliders","#9 W14- W2.10 Living (UK02) SD","Installation"
"571cc33c-8683-4096-9e36-2465a0b4c805","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1 - Level 2 - Sliders","#9 W14- W2.10 Living (UK02) SD","Glazing"
"1d454293-d248-424c-a1f3-4b473911cff4","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1 - Level 2 - Sliders","#9 W14- W2.10 Living (UK02) SD","Performance Tests"
"33bdc8a3-8e7b-4060-bcaf-3059ca7b6f20","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1 - Level 2 - Sliders","#9 W14- W2.10 Living (UK02) SD","Handover Checklist"
"2085f875-665e-41a7-8bef-5eeb4e02578c","","work-in-progress","","folder","TRUE","FALSE","STAGE #1 - Level 2 - Sliders","#12 W16- W2.13 Living (UJ02) SD"
"205561e9-5119-4368-9c56-33bb1d61b33d","","work-in-progress","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1 - Level 2 - Sliders","#12 W16- W2.13 Living (UJ02) SD","Pre Install Checklist"
"6841856d-90b0-42df-89e8-e8556f4476a9","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #1 - Level 2 - Sliders","#12 W16- W2.13 Living (UJ02) SD","Installation"
"82cab33a-e3fc-418f-94b4-2c74a7b54c39","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1 - Level 2 - Sliders","#12 W16- W2.13 Living (UJ02) SD","Glazing"
"3fdfc39a-c328-473d-988a-d7fd80e05f7c","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1 - Level 2 - Sliders","#12 W16- W2.13 Living (UJ02) SD","Performance Tests"
"8f186e86-7e17-42a6-83fd-a4f79286fcf4","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1 - Level 2 - Sliders","#12 W16- W2.13 Living (UJ02) SD","Handover Checklist"
