"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7b171ea1-7e77-4cbd-a141-6aeeb1068b80","","work-in-progress","Guest Room - Waste PVC","checklist","FALSE","FALSE","GS-312","Guest Room - Waste PVC"
"5fa9fe63-c829-4cdd-af89-ca1cc249eeb2","","not-started","Guest Room - Water Rehau","checklist","FALSE","FALSE","GS-312","Guest Room - Water Rehau"
"135828bd-5788-43da-8cc6-ae58a08c7705","","work-in-progress","","folder","TRUE","FALSE","GS-313"
"ecea4c79-46a9-4aff-9fce-779d14454c47","","work-in-progress","Guest Room - Waste PVC","checklist","FALSE","FALSE","GS-313","Guest Room - Waste PVC"
"534df6a3-3ec3-4a6e-ae7c-b19144c4020c","","work-in-progress","Guest Room - Water Rehau","checklist","FALSE","FALSE","GS-313","Guest Room - Water Rehau"
"01924e03-61c1-4e3f-94b2-1f344790b496","","not-started","","folder","TRUE","FALSE","GS-314"
"17757fba-5475-4478-a670-e8aa6fe36483","","not-started","Guest Room - Waste PVC","checklist","FALSE","FALSE","GS-314","Guest Room - Waste PVC"
"23e1f7c3-5a94-4e20-8838-b782b1ca5a90","","not-started","Guest Room - Water Rehau","checklist","FALSE","FALSE","GS-314","Guest Room - Water Rehau"
"cfc0b758-25a5-4f61-af4e-d7da06eb01e2","","work-in-progress","","folder","TRUE","FALSE","GS-315"
"5885770d-bfcb-44e4-99c6-bded59e41a12","","work-in-progress","Guest Room - Waste PVC","checklist","FALSE","FALSE","GS-315","Guest Room - Waste PVC"
"3c9ffbeb-17f9-469f-9687-bad55059dfc1","","work-in-progress","Guest Room - Water Rehau","checklist","FALSE","FALSE","GS-315","Guest Room - Water Rehau"
"b9f08c38-1f3d-42e4-9e8d-67313ca14dd0","","work-in-progress","","folder","TRUE","FALSE","GS-317"
"6a83c76e-81c9-4ee7-bbcf-11e8a32dd38f","","work-in-progress","Guest Room - Waste PVC","checklist","FALSE","FALSE","GS-317","Guest Room - Waste PVC"
"81fdc98e-407d-42d0-b1a0-27b3545c2d8a","","work-in-progress","Guest Room - Water Rehau","checklist","FALSE","FALSE","GS-317","Guest Room - Water Rehau"
"eccd9443-f6d9-41e7-9a5d-5fd2e0ed4d20","","not-started","","folder","TRUE","FALSE","PS-242-PLANT ROOM"
"a770fcaa-ca03-4fd6-9ca8-6b111df20ab8","","not-started","Hot Water Plant Room","checklist","FALSE","FALSE","PS-242-PLANT ROOM","Hot Water Plant Room"
"3c63d6eb-936b-4801-b4d7-477bd97e644e","","not-started","Pressure Test","checklist","FALSE","FALSE","PS-242-PLANT ROOM","Pressure Test"
"090390cd-d0ae-465c-9238-48747d402385","","not-started","","folder","TRUE","FALSE","DS-246-DAY SPA"
"cc1e54ab-ed42-49cd-b9d9-465c74c07c8c","","not-started","Guest Room - Water Rehau","checklist","FALSE","FALSE","DS-246-DAY SPA","Guest Room - Water Rehau"
"651f1e65-4c9d-44fc-be3e-d3a22fc31f34","","not-started","Guest Room - Waste PVC","checklist","FALSE","FALSE","DS-246-DAY SPA","Guest Room - Waste PVC"
"ccd04076-2177-4ea0-8144-b750641cccb2","","not-started","Pressure Test","checklist","FALSE","FALSE","DS-246-DAY SPA","Pressure Test"
"25db528d-b998-40d8-a3cf-10ea48e5a77f","","work-in-progress","","folder","TRUE","FALSE","Core Sewer & Vent"
"d3830c47-16b2-4edb-beb6-2df1d994acdf","","work-in-progress","Core Sanitary Sewer & Vent","checklist","FALSE","FALSE","Core Sewer & Vent","Core Sanitary Sewer & Vent"
"98a31120-6948-4d3c-913d-2a54dc72f742","","work-in-progress","Pressure Test","checklist","FALSE","FALSE","Core Sewer & Vent","Pressure Test"
"f79e559d-2ddc-4fe1-9e8f-474c7d03979b","","work-in-progress","","folder","TRUE","FALSE","Core water supply"
"7bd664dc-ba9b-4965-a583-6666cd1a14cf","","work-in-progress","Core Water","checklist","FALSE","FALSE","Core water supply","Core Water"
"81c9cecf-65c3-476d-9f0a-ac5ca10e6cf7","","work-in-progress","Pressure Test","checklist","FALSE","FALSE","Core water supply","Pressure Test"
"a1c475db-0b88-4181-beed-8d750eece3e8","","work-in-progress","","folder","TRUE","FALSE","TMVs & Pipe work"
"07f94c32-c417-4ce1-b082-4f60fd97745a","","work-in-progress","Thermostatic Mixing Valves Guest Rooms","checklist","FALSE","FALSE","TMVs & Pipe work","Thermostatic Mixing Valves Guest Rooms"
