"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f3bac94e-6ca3-4eac-b07f-b30dec21dafd","","not-started","Job Details","checklist","FALSE","FALSE","Job Details"
"882b096a-7eca-4a6a-8659-cc75a19af15c","","fail","","folder","TRUE","FALSE","Rough In"
"6737db92-fb80-4aff-b7d0-55ecd607922c","","not-started","","folder","TRUE","FALSE","Rough In","BUILDING-B"
"83def789-99a7-4e98-af60-25c528e65bd4","","not-started","","folder","TRUE","FALSE","Rough In","BUILDING-B","Level-1"
"8eb29c31-bd4a-437f-9200-9b23570948e8","","not-started","","folder","TRUE","FALSE","Rough In","BUILDING-B","Level-1","Apartment Wall Closure"
"a18bade5-f90d-4212-b697-038de60b728c","","not-started","","folder","TRUE","FALSE","Rough In","BUILDING-B","Level-1","Apartment Wall Closure","B101"
"001c9391-13bb-4757-a62a-05ccef46c905","","not-started","Wall Closure Checklist 2 Rough In [P]","checklist","FALSE","FALSE","Rough In","BUILDING-B","Level-1","Apartment Wall Closure","B101","Wall Closure Checklist 2 Rough In [P]"
"e28e6d8e-d133-4507-a45f-2522bcfffc05","","not-started","Sign Off","checklist","FALSE","FALSE","Rough In","BUILDING-B","Level-1","Apartment Wall Closure","B101","Sign Off"
"3f27cfa4-0a03-4695-8805-ba681f58f8b1","","not-started","","folder","TRUE","FALSE","Rough In","BUILDING-B","Level-1","Apartment Wall Closure","B102"
"24ed9566-8c7a-4273-a921-aaf02167a52c","","not-started","Wall Closure Checklist 2 Rough In [P]","checklist","FALSE","FALSE","Rough In","BUILDING-B","Level-1","Apartment Wall Closure","B102","Wall Closure Checklist 2 Rough In [P]"
"590dc390-bafb-4a4a-ac14-0009cece138c","","not-started","Sign Off","checklist","FALSE","FALSE","Rough In","BUILDING-B","Level-1","Apartment Wall Closure","B102","Sign Off"
"679a83cd-f64e-4488-b287-864c3dbf5136","","not-started","","folder","TRUE","FALSE","Rough In","BUILDING-B","Level-1","Apartment Wall Closure","B103"
"08de6a77-fe3c-45d4-87a1-d411e0e9b077","","not-started","Wall Closure Checklist 2 Rough In [P]","checklist","FALSE","FALSE","Rough In","BUILDING-B","Level-1","Apartment Wall Closure","B103","Wall Closure Checklist 2 Rough In [P]"
"a7d2f3e1-7af3-47d4-b445-73f6b1bd39fb","","not-started","Sign Off","checklist","FALSE","FALSE","Rough In","BUILDING-B","Level-1","Apartment Wall Closure","B103","Sign Off"
"18d37caa-a645-4611-bd42-23cdd5c010eb","","not-started","","folder","TRUE","FALSE","Rough In","BUILDING-B","Level-1","Apartment Wall Closure","B104"
"13ed3f32-8a0d-4432-b4a5-36c4db0157b1","","not-started","Wall Closure Checklist 2 Rough In [P]","checklist","FALSE","FALSE","Rough In","BUILDING-B","Level-1","Apartment Wall Closure","B104","Wall Closure Checklist 2 Rough In [P]"
"59cdfe3d-60ef-4ffd-8a0d-2afae93ac87b","","not-started","Sign Off","checklist","FALSE","FALSE","Rough In","BUILDING-B","Level-1","Apartment Wall Closure","B104","Sign Off"
"adb4b375-5203-4310-99bd-89b1326945ae","","not-started","","folder","TRUE","FALSE","Rough In","BUILDING-B","Level-1","Apartment Wall Closure","B105"
"33eae642-06e4-42d2-be94-383eb4e38de1","","not-started","Wall Closure Checklist 2 Rough In [P]","checklist","FALSE","FALSE","Rough In","BUILDING-B","Level-1","Apartment Wall Closure","B105","Wall Closure Checklist 2 Rough In [P]"
"95a1b2aa-14bb-48e4-82ac-05f6112fa3bb","","not-started","Sign Off","checklist","FALSE","FALSE","Rough In","BUILDING-B","Level-1","Apartment Wall Closure","B105","Sign Off"
"9f4d3c3d-ea21-4172-a6f1-f0e4b2df50a9","","not-started","","folder","TRUE","FALSE","Rough In","BUILDING-B","Level-1","Apartment Wall Closure","B106"
"04667085-048a-4e2d-8aef-f07c65fc68e0","","not-started","Wall Closure Checklist 2 Rough In [P]","checklist","FALSE","FALSE","Rough In","BUILDING-B","Level-1","Apartment Wall Closure","B106","Wall Closure Checklist 2 Rough In [P]"
