"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"aa4cb4a6-e550-4378-a3fc-f96dca96e135","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"453edcb2-cbdc-4fe1-b69e-944b172dd883","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 1"
"1e3d85fc-0177-48d3-ac3c-e9e0eac8a6a4","","checklist-flat","not-started","S.O.G Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Ground Works"
"86780dfc-cab6-49a6-bca2-40f538384b98","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Collumns"
"4c018c29-1a79-40b2-8b86-1e1cfba667eb","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Walls"
"4b113d6f-4b4b-4386-8f28-21829e93d0e8","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Lift & Sevice Pit Over Runs"
"a54e14af-d9d5-4dee-ba0f-a6ffdef2ecf6","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 1","Stairs precast"
"305555e4-a5f0-437a-9c2d-e1d69464c9b3","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 2"
"c95d5fc0-f34a-48a0-9617-33e708a5a0bd","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 2","Suspended Slab"
"296b291c-b8a2-4443-8660-4533463facee","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 2","Collumns"
"d5516c1d-6bfd-42c2-8f04-f751a3fea23b","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 2","Walls"
"40c41a19-3620-44a9-895c-fa63ae047a49","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 2","Stairs precast"
"b994f76b-728a-44f9-8466-6bb88f91877d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 3"
"28691f01-e9ef-4e84-9c04-5c90de6379e4","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 3","Suspended Slab"
"fa69a5b5-0376-4ff3-a795-eaacfd602166","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 3","Collumns"
"4c94e0f4-c264-4d35-bcfa-d7d9b2f32e92","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 3","Walls"
"406db538-aac7-4ba3-a2ad-ec272f1de1b6","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 3","Stairs precast"
"62c83232-aa34-42a6-9537-5f83a9b17144","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 4"
"3fbb68da-b09a-4434-87c6-3d190ba2da03","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 4","Suspended Slab"
"0477943c-8b26-4383-9223-c98829d1ac46","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 4","Collumns"
"7a4b2a86-0410-43ed-a84a-1c20022a47af","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 4","Walls"
"19ae9d81-54b2-4785-ab75-f6c72ddd8c4f","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 4","Stairs precast"
"e5eb7e9b-ea4e-4468-8302-711487928730","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 5"
"12ea94ed-4798-49de-9b9d-7dc969dd6c0a","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 5","Suspended Slab"
"6646e182-6fc6-491c-be9d-9c697c3c9337","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 5","Collumns"
"266d4bcb-3ecb-4eb0-bb8e-57a4c9818b29","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 5","Walls"
"81f6be5e-bbcd-40ef-a688-ad12347bad4a","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 5","Stairs precast"
"08e4917b-c0ba-47c8-9710-be1906c2dca7","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Roof"
"09bde6f4-26f3-44b0-94e4-365974210a6a","","checklist-sectioned","not-started","Core Lids Checklist","checklist","FALSE","FALSE","Site QA","Roof","Core lids"
"eab1e44d-31c8-4348-a144-59158e8a2400","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Roof","Core Walls"
"c65e1dd3-db29-4954-be88-f7a946aff8fd","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Roof","Suspended Slab"
"10472296-bd3e-49d8-892f-2c0c06820dcf","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site Diary"
"2c46fd7a-1991-4828-9423-00fa30c5f22d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site Diary","Apr-23"
"2e7ea5dc-431f-494c-92e9-75d33935c185","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site Diary","May-23"
"12fbf655-7972-4e87-bbaf-8be33d1effd9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site Diary","Jun-23"
