type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,"Curtain Wall - Rockwool & Fireseal			",,,,,,"Curtain Wall - Rockwool & Fireseal			"
checkpoint,Z clips at 450 nom. Centres,,,,,,
checkpoint,Z clips fixed to top of slab,,,,,,
checkpoint,Fire seal compressed 50%,,,,,,
checkpoint,2mm GMS installed,,,,,,
checkpoint,Fixing screws sealed,,,,,,
checkpoint,Fireseal to depth as indicated on drawings,,,,,,
checkpoint,Fireseal abutting in length,,,,,,
checkpoint,Galv sheet sealed at joint,,,,,,
