Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,
8438e82a-de55-568a-a8a8-7cdd8b6ded7f,,checkpoint-status,pass,"Curtain Wall - Rockwool & Fireseal			:f2e58d71-415d-4039-aca2-d280d0de048d",,TRUE,TRUE,QA,Facade on Site Installation,Level 2,Opening # 1(Gridline 1A-1B/9),"Curtain Wall - Rockwool & Fireseal			",Fire seal compressed 15%
660f15c4-450d-52f9-8de5-07cf09b1851f,,checkpoint-status,pass,"Curtain Wall - Rockwool & Fireseal			:f2e58d71-415d-4039-aca2-d280d0de048d",,TRUE,TRUE,QA,Facade on Site Installation,Level 2,Opening # 2 (Gridline AA),"Curtain Wall - Rockwool & Fireseal			",Fire seal compressed 15%
00f53501-0ee3-5b84-b6ba-79d3663a686a,,checkpoint-status,pass,"Curtain Wall - Rockwool & Fireseal			:f2e58d71-415d-4039-aca2-d280d0de048d",,TRUE,TRUE,QA,Facade on Site Installation,Level 2,Opening # 3 (Gridline AA),"Curtain Wall - Rockwool & Fireseal			",Fire seal compressed 15%
a1ab9f82-1ad1-582c-afb4-02fa69ca988e,,checkpoint-status,pass,"Curtain Wall - Rockwool & Fireseal			:f2e58d71-415d-4039-aca2-d280d0de048d",,TRUE,TRUE,QA,Facade on Site Installation,Level 2,Opening # 5 (Gridline A1-A2),"Curtain Wall - Rockwool & Fireseal			",Fire seal compressed 15%
4fa767e3-23bf-5941-86ae-3e1c1832495c,,checkpoint-status,pass,"Curtain Wall - Rockwool & Fireseal			:f2e58d71-415d-4039-aca2-d280d0de048d",,TRUE,TRUE,QA,Facade on Site Installation,Level 2,Opening # 6 (Gridline A2-A2a),"Curtain Wall - Rockwool & Fireseal			",Fire seal compressed 15%
8595af4d-4473-5e57-b5ee-36160f9ce213,,checkpoint-status,pass,"Curtain Wall - Rockwool & Fireseal			:f2e58d71-415d-4039-aca2-d280d0de048d",,TRUE,TRUE,QA,Facade on Site Installation,Level 2,Opening # 8 (Gridline A2c-A3),"Curtain Wall - Rockwool & Fireseal			",Fire seal compressed 15%
61e55d0a-847a-5aba-87ef-14fcfee4cd26,,checkpoint-status,pass,"Curtain Wall - Rockwool & Fireseal			:f2e58d71-415d-4039-aca2-d280d0de048d",,TRUE,TRUE,QA,Facade on Site Installation,Level 2,Opening # 9 (Gridline A3-A4),"Curtain Wall - Rockwool & Fireseal			",Fire seal compressed 15%
36cccf51-8c9a-59a3-b8c3-db7574dd7c3b,,checkpoint-status,pass,"Curtain Wall - Rockwool & Fireseal			:f2e58d71-415d-4039-aca2-d280d0de048d",,TRUE,TRUE,QA,Facade on Site Installation,Level 2,Opening # 10 (Gridline A4-A5),"Curtain Wall - Rockwool & Fireseal			",Fire seal compressed 15%
acf7d9ae-2b47-5adf-a6b6-1b2f8fda0490,,checkpoint-status,not-applicable,"Curtain Wall - Rockwool & Fireseal			:f2e58d71-415d-4039-aca2-d280d0de048d",,TRUE,TRUE,QA,Facade on Site Installation,Level 2,Opening # 12 (Gridline B-D),"Curtain Wall - Rockwool & Fireseal			",Fire seal compressed 15%
7192105a-5973-58bc-b709-7b4839158edf,,checkpoint-status,pass,"Curtain Wall - Rockwool & Fireseal			:f2e58d71-415d-4039-aca2-d280d0de048d",,TRUE,TRUE,QA,Facade on Site Installation,Level 2,Opening # 14 (Gridline E-F) ,"Curtain Wall - Rockwool & Fireseal			",Fire seal compressed 15%
bb4fa931-c633-54f5-8798-4a79131dba04,,checkpoint-status,not-applicable,"Curtain Wall - Rockwool & Fireseal			:f2e58d71-415d-4039-aca2-d280d0de048d",,TRUE,TRUE,QA,Facade on Site Installation,Level 2,Opening # 18 (Gridline G-K),"Curtain Wall - Rockwool & Fireseal			",Fire seal compressed 15%
4eb4c366-b3e9-51f3-b411-cdc8a54b9c3f,,checkpoint-status,not-applicable,"Curtain Wall - Rockwool & Fireseal			:f2e58d71-415d-4039-aca2-d280d0de048d",,TRUE,TRUE,QA,Facade on Site Installation,Level 2,Opening # 20 (Gridline 1-3),"Curtain Wall - Rockwool & Fireseal			",Fire seal compressed 15%
b00660f2-0e3a-580e-a7bc-8271b686c975,,checkpoint-status,not-applicable,"Curtain Wall - Rockwool & Fireseal			:f2e58d71-415d-4039-aca2-d280d0de048d",,TRUE,TRUE,QA,Facade on Site Installation,Level 2,Opening # 21 (Gridline 3-7),"Curtain Wall - Rockwool & Fireseal			",Fire seal compressed 15%
