"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4da33109-c856-4893-9e81-f13ff8bb1951","","checklist-sectioned","","AC High wall mounted Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-6","FCU-01-07"
"9d880be6-2ac5-410d-bb39-b0ae98d5e0aa","","checklist-sectioned","","AC High wall mounted Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-6","FCU-01-24"
"613467a3-7d50-4b5a-b6ba-51d21545140a","","checklist-sectioned","","AC High wall mounted Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-6","FCU-01-25"
"0a953dbb-a8c1-447d-86e4-44764c616547","","checklist-sectioned","","AC Branch Box Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-6","BRANCH BOX"
"c238427f-d48f-497b-9088-c99d982f00cb","","checklist-sectioned","","AC Outdoor unit (VRF) Fit Off","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-6","CU-6"
"7b86e521-f99c-4be0-930b-9d20a2b726f1","","folder-normal","","","step","TRUE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-01-COMMS"
"4eb05d45-9002-47f3-856c-2ac3a4a98f22","","checklist-sectioned","","AC High wall mounted Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-01-COMMS","FCU-01-COMMS"
"23627913-c1cb-4214-a2e3-4dd6f71fc0d2","","checklist-sectioned","","AC Outdoor unit (Stand Alone) Fit Off","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-01-COMMS","CU-01-COMMS"
"7b49a265-873e-417d-b76e-00ac16c8a756","","folder-normal","","","step","TRUE","FALSE","QA","LEVEL 1","FANS"
"4a957ad4-460d-44ff-a8d2-fd9e447a3b55","","folder-normal","","","step","TRUE","FALSE","QA","LEVEL 1","FANS","OAF"
