"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6ed0c7f8-c892-496e-8075-a79ac17a7688","","checklist-sectioned","","Cassette Rough In","checklist","FALSE","FALSE","QA","GROUND FLOOR","EQUIPMENT","CU-2","FCU-G-36D"
"ae1cff2b-7f9b-40ea-ac80-7bc666d54c91","","checklist-sectioned","","Cassette Rough In","checklist","FALSE","FALSE","QA","GROUND FLOOR","EQUIPMENT","CU-2","FCU-G-13"
"9d15b8cf-9532-481a-af2e-81522d54545c","","checklist-sectioned","","Cassette Rough In","checklist","FALSE","FALSE","QA","GROUND FLOOR","EQUIPMENT","CU-2","FCU-G-32"
"20dadaa0-68e0-4451-b726-89a97dfa1641","","checklist-sectioned","","AC Branch Box Rough In","checklist","FALSE","FALSE","QA","GROUND FLOOR","EQUIPMENT","CU-2","BRANCH BOX"
"d05a5d45-4541-41bd-85d3-d3e86bdf556d","","checklist-sectioned","","AC Outdoor unit (VRF) Fit Off","checklist","FALSE","FALSE","QA","GROUND FLOOR","EQUIPMENT","CU-2","CU-2"
"9984f93d-1b5d-4f8b-9167-bf097b358b9f","","folder-normal","","","step","TRUE","FALSE","QA","GROUND FLOOR","EQUIPMENT","CU-3"
"5ed13554-bcf4-4bd1-b94c-ab41cd0ab25b","","checklist-sectioned","","AC High wall mounted Rough In","checklist","FALSE","FALSE","QA","GROUND FLOOR","EQUIPMENT","CU-3","FCU-G-15"
"de7cc50e-88cb-4192-82a6-6ac832773324","","checklist-sectioned","","AC High wall mounted Rough In","checklist","FALSE","FALSE","QA","GROUND FLOOR","EQUIPMENT","CU-3","FCU-G-14"
"e617f000-ee0b-4360-907b-cc4e6797be93","","checklist-sectioned","","Cassette Rough In","checklist","FALSE","FALSE","QA","GROUND FLOOR","EQUIPMENT","CU-3","FCU-G-10"
"0b2de3d7-a808-45ad-877f-6c931f68f2ed","","checklist-sectioned","","AC High wall mounted Rough In","checklist","FALSE","FALSE","QA","GROUND FLOOR","EQUIPMENT","CU-3","FCU-G-33"
"bdbd6d78-10d8-46c2-b8e2-e855d2b88aa9","","checklist-sectioned","","AC High wall mounted Rough In","checklist","FALSE","FALSE","QA","GROUND FLOOR","EQUIPMENT","CU-3","FCU-G-34"
"9afbc420-9d20-46b0-b291-700eccbb0270","","checklist-sectioned","","AC High wall mounted Rough In","checklist","FALSE","FALSE","QA","GROUND FLOOR","EQUIPMENT","CU-3","FCU-G-05"
"73bd3a0f-fb78-4e7f-b1dc-75e0f44103f1","","checklist-sectioned","","AC Branch Box Rough In","checklist","FALSE","FALSE","QA","GROUND FLOOR","EQUIPMENT","CU-3","BRANCH BOX"
"9d60e23a-c913-4aaa-81d1-36849db71192","","checklist-sectioned","","AC Outdoor unit (VRF) Fit Off","checklist","FALSE","FALSE","QA","GROUND FLOOR","EQUIPMENT","CU-3","CU-3"
"b5abf0f4-70cd-45cf-af76-5512b3236771","","folder-normal","","","step","TRUE","FALSE","QA","GROUND FLOOR","EQUIPMENT","CU-G-COMMS"
"19244728-af22-4c80-bd5c-86a8e2785c65","","checklist-sectioned","","AC High wall mounted Rough In","checklist","FALSE","FALSE","QA","GROUND FLOOR","EQUIPMENT","CU-G-COMMS","FCU-G-COMMS"
"23e7df33-b358-47f3-b8a9-7f1ad82bdf88","","checklist-sectioned","","AC Outdoor unit (Stand Alone) Fit Off","checklist","FALSE","FALSE","QA","GROUND FLOOR","EQUIPMENT","CU-G-COMMS","CU-G-COMMS"
"8941b7e8-38dc-4a1c-bb46-c967ca6173a6","","folder-normal","","","step","TRUE","FALSE","QA","GROUND FLOOR","FANS"
"62751686-e5c3-4551-90ec-8bc836262a60","","folder-normal","","","step","TRUE","FALSE","QA","GROUND FLOOR","FANS","OAF"
"523434f0-39ef-48b8-81a2-6ebaac1db88c","","checklist-sectioned","","Fans Rough In","checklist","FALSE","FALSE","QA","GROUND FLOOR","FANS","OAF","OAF-G-01"
"fe6cd230-347d-45fd-a806-a2bd8089c333","","checklist-sectioned","","Fans Rough In","checklist","FALSE","FALSE","QA","GROUND FLOOR","FANS","OAF","OAF-G-02"
"7646ff93-e138-4026-b124-f4afe871e2af","","checklist-sectioned","","Fans Rough In","checklist","FALSE","FALSE","QA","GROUND FLOOR","FANS","OAF","OAF-G-03"
"8a8104f1-c653-4181-baa3-9c081a7758b7","","checklist-sectioned","","Fans Rough In","checklist","FALSE","FALSE","QA","GROUND FLOOR","FANS","OAF","OAF-G-04"
"da1a7d13-d1d6-4706-a8ff-0e1ff9bfa8e7","","folder-normal","","","step","TRUE","FALSE","QA","GROUND FLOOR","FANS","GEF"
"5db3725c-84a2-4a8d-b699-63844fad8685","","checklist-sectioned","","Fans Rough In","checklist","FALSE","FALSE","QA","GROUND FLOOR","FANS","GEF","GEF-G-02"
"678448af-70e1-45cf-922a-dcb63d25ed57","","checklist-sectioned","","Fans Rough In","checklist","FALSE","FALSE","QA","GROUND FLOOR","FANS","GEF","GEF-G-03"
"6c86593a-2a40-448d-bbf5-b281de19fbbf","","checklist-sectioned","","Fans Rough In","checklist","FALSE","FALSE","QA","GROUND FLOOR","FANS","GEF","GEF-G-04"
"58f0bf20-b300-4bdf-b1ae-55b73db32ea5","","folder-normal","","","step","TRUE","FALSE","QA","LEVEL 1"
"c0c4a65d-3dd9-4d46-b40b-aea41aee434c","","folder-normal","","","step","TRUE","FALSE","QA","LEVEL 1","EQUIPMENT"
"00024592-2fcc-48b2-b742-288b9cd53fc4","","folder-normal","","","step","TRUE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-4"
"5eb378b3-7092-4396-937c-68d98794bc9a","","checklist-sectioned","","Cassette Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-4","FCU-01-01A"
"6b30a405-0754-4b79-a5a1-6ab9a0c73679","","checklist-sectioned","","Cassette Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-4","FCU-01-01B"
"8a98169c-051e-49a2-a7ab-23111256c071","","checklist-sectioned","","Cassette Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-4","FCU-01-02A"
"68242385-a768-4c83-8dbc-d136729f0c9c","","checklist-sectioned","","Cassette Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-4","FCU-01-02B"
"a2ebf056-d325-4787-b655-2756c5056b5a","","checklist-sectioned","","AC High wall mounted Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-4","FCU-01-27A"
"f1db85a1-8b24-4002-9e7c-eca5db3ca08e","","checklist-sectioned","","AC High wall mounted Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-4","FCU-01-27B"
"c6f8e38d-bc09-43eb-a990-ba187f077523","","checklist-sectioned","","AC High wall mounted Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-4","FCU-01-27C"
"73f9a4cd-7b2f-4835-8ab5-35bac3f27144","","checklist-sectioned","","Cassette Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-4","FCU-01-23"
"acb8fb11-bbe0-4db1-9b72-93b175076bb1","","checklist-sectioned","","Cassette Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-4","FCU-01-03"
"ebede7b9-ef27-459b-bf93-6b3b5172b422","","checklist-sectioned","","AC Branch Box Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-4","BRANCH BOX"
"8ea08d9c-a4b6-4158-afb6-a6788a1cce44","","checklist-sectioned","","AC Outdoor unit (VRF) Fit Off","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-4","CU-4"
"bc581f29-4983-45bd-8367-62878b4ebf51","","folder-normal","","","step","TRUE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-5"
"305a38dc-e579-436c-81dc-b45523b90353","","checklist-sectioned","","AC High wall mounted Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-5","FCU-01-09A"
"1910ca8f-18c5-49fd-abd3-d7b0d9fe6c5f","","checklist-sectioned","","AC High wall mounted Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-5","FCU-01-09B"
"cd37dad2-9587-45ea-9d37-9458d6fbc699","","checklist-sectioned","","AC High wall mounted Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-5","FCU-01-09C"
"08a50906-6285-438c-a5d4-ace246607e8f","","checklist-sectioned","","Cassette Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-5","FCU-04-14A"
"148cc78c-726b-45cc-b2f2-2adbbaacc7fc","","checklist-sectioned","","Cassette Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-5","FCU-01-14B"
"2f82d8c7-84bf-4cfd-a879-374622d6b5fe","","checklist-sectioned","","Cassette Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-5","FCU-01-15A"
"32f642df-cc0c-4ad6-8f5e-d8a21313c565","","checklist-sectioned","","Cassette Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-5","FCU-01-15B"
"8413ea88-7941-4898-9487-d58291edbcbc","","checklist-sectioned","","Cassette Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-5","FCU-01-06"
"66cfe9e4-8eee-422b-903a-5ef2253196e6","","checklist-sectioned","","AC Branch Box Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-5","BRANCH BOX"
"94d2e7e7-7a30-43a6-a2b8-8b9d5c324278","","checklist-sectioned","","AC Outdoor unit (VRF) Fit Off","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-5","CU-5"
"7655c7ad-aaf3-47d9-bd7a-9f7756b075b0","","folder-normal","","","step","TRUE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-6"
"4e27d831-c89e-49b8-bfde-252db41d398f","","checklist-sectioned","","AC High wall mounted Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-6","FCU-01-08"
"f0a4d09a-22af-4e1e-a684-92378fa38cad","","checklist-sectioned","","AC High wall mounted Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-6","FCU-01-07"
"501b0864-9dce-486d-8fab-7985b6c94d35","","checklist-sectioned","","AC High wall mounted Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-6","FCU-01-24"
"9acc1ea8-5f1c-44fe-871d-860272fe0488","","checklist-sectioned","","AC High wall mounted Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-6","FCU-01-25"
"19565b87-6f5c-4614-a10f-a6372cd3a88a","","checklist-sectioned","","AC Branch Box Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-6","BRANCH BOX"
"afdd6568-830c-40b2-85cc-0d54a4a766d7","","checklist-sectioned","","AC Outdoor unit (VRF) Fit Off","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-6","CU-6"
"23cbabca-8e82-47a4-bb70-348ccd9c1781","","folder-normal","","","step","TRUE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-01-COMMS"
"d881175d-b6d6-4d46-9eaf-b9cd8b4d573e","","checklist-sectioned","","AC High wall mounted Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-01-COMMS","FCU-01-COMMS"
"a76d745c-9bff-4ded-adc4-08ddefc13b83","","checklist-sectioned","","AC Outdoor unit (Stand Alone) Fit Off","checklist","FALSE","FALSE","QA","LEVEL 1","EQUIPMENT","CU-01-COMMS","CU-01-COMMS"
"a467ed62-c4ee-4df4-88f4-e7183537ebde","","folder-normal","","","step","TRUE","FALSE","QA","LEVEL 1","FANS"
"a850a5c7-c5f5-462d-9f91-6765af1e7745","","folder-normal","","","step","TRUE","FALSE","QA","LEVEL 1","FANS","OAF"
"be9e95f2-11f3-45ef-9119-20e1969fbcb0","","checklist-sectioned","","Fans Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","FANS","OAF","OAF-1-01"
"98bd2408-0251-4fac-bae3-ae46b2483d88","","checklist-sectioned","","Fans Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","FANS","OAF","OAF-1-02"
"5d2c133d-95ff-488f-8683-2a1915be33a3","","checklist-sectioned","","Fans Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","FANS","OAF","OAF-1-03"
"fd95c953-90b3-493c-8a4f-9f5781b9da41","","folder-normal","","","step","TRUE","FALSE","QA","LEVEL 1","FANS","GEF"
"92c6b199-ba2c-4b05-900c-07704e4e999d","","checklist-sectioned","","Fans Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","FANS","GEF","GEF-1-01"
"502b53d2-2480-4f86-ba4e-01e088eb8bd7","","checklist-sectioned","","Fans Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","FANS","GEF","GEF-1-02"
"b24706a7-b48a-4003-aa4f-eb5fa7a42a10","","folder-normal","","","step","TRUE","FALSE","QA","LEVEL 1","FANS","TEF"
"6fb703a4-727e-4ac5-908b-dad8923fdd82","","checklist-sectioned","","Fans Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","FANS","TEF","TEF-01"
"bac59489-da8a-4f9a-9e58-acb1efca3156","","folder-normal","","","step","TRUE","FALSE","QA","ROOF"
"45c9c0eb-eb9b-4b4f-bdb5-f8b0985b81e4","","folder-normal","","","step","TRUE","FALSE","QA","ROOF","FANS"
"048c4281-27f5-4974-b982-ea862f214d81","","folder-normal","","","step","TRUE","FALSE","QA","ROOF","FANS","GEF"
"02a64caf-b94f-4daf-9fb5-2c14aef642bb","","checklist-sectioned","","Fans Rough In","checklist","FALSE","FALSE","QA","ROOF","FANS","GEF","GEF-G-01"
"2f4b2a05-503d-40d5-8d05-d4d760977b2b","","folder-normal","","","step","TRUE","FALSE","QA","ROOF","FANS","ROOF COWL"
"c8e46cad-852c-4259-a08f-6b4e79dca506","","checklist-sectioned","","Roof Cowl (RC)","checklist","FALSE","FALSE","QA","ROOF","FANS","ROOF COWL","RC-OAF-G-01"
"667a9cad-e6d1-4f1b-836a-6c340e98cb0b","","checklist-sectioned","","Roof Cowl (RC)","checklist","FALSE","FALSE","QA","ROOF","FANS","ROOF COWL","RC-GEF-01"
"9d1f518a-9451-4ab6-9bb6-f554ec312dd7","","checklist-sectioned","","Roof Cowl (RC)","checklist","FALSE","FALSE","QA","ROOF","FANS","ROOF COWL","RC-TEF-01"
"b3052efd-d768-4522-a274-3173fdb8be26","","folder-normal","","","step","TRUE","FALSE","QA","COMMISSIONING"
"98b6632d-3b5b-4cf3-80df-27d8f50cb34b","","folder-normal","","","step","TRUE","FALSE","QA","COMMISSIONING","AC"
