"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6747fad1-e2cb-4758-85c1-ae4123abdbb0","","folder-normal","","","step","TRUE","FALSE","Site QA"
"cf2f1e7c-9896-4489-9dad-149c0a4c7e4e","","folder-normal","","","step","TRUE","FALSE","Site QA","Suspended Drainage Services"
"e4495335-bcd8-4059-b410-a3687e444ef9","","folder-normal","","","step","TRUE","FALSE","Site QA","Suspended Drainage Services","Installation"
"396317d8-ea81-4c19-85d0-a3f367dd1a3a","","folder-normal","","","step","TRUE","FALSE","Site QA","Suspended Drainage Services","Installation","Storm Water (suspended)"
"170f120c-368a-4aad-8ff3-a7544ca44739","","checklist-flat","","ITR 008 Suspended Greasy Drainage","checklist-flat","FALSE","FALSE","Site QA","Suspended Drainage Services","Installation","Storm Water (suspended)","L5"
"546761a2-5201-4b85-9a3a-9d1c7d139f04","","folder-normal","","","step","TRUE","FALSE","Site QA","Suspended Drainage Services","Installation","Sewer (suspended)"
"6ebd3c9e-b530-43d1-8b29-cd75bdf187b1","","checklist-flat","","ITR 008 Suspended Greasy Drainage","checklist-flat","FALSE","FALSE","Site QA","Suspended Drainage Services","Installation","Sewer (suspended)","B1"
"65eab228-97d7-4964-b38f-bfec14f74625","","checklist-flat","","ITR 008 Suspended Greasy Drainage","checklist-flat","FALSE","FALSE","Site QA","Suspended Drainage Services","Installation","Sewer (suspended)","L4 - Amenities"
"1c1b0f4c-d272-4acd-98f5-d83b1842ff70","","checklist-flat","","ITR 008 Suspended Greasy Drainage","checklist-flat","FALSE","FALSE","Site QA","Suspended Drainage Services","Installation","Sewer (suspended)","L4 - Tenancy"
"f9e1956f-f558-474a-bd32-2a42741dc0f3","","folder-normal","","","step","TRUE","FALSE","Site QA","In-Ground Drainage Services"
"0ae2f599-12ef-40e5-bc9e-f6d96948653e","","folder-normal","","","step","TRUE","FALSE","Site QA","In-Ground Drainage Services","Installation"
"ace6586b-f70f-4ef4-9b68-8849d6805ddc","","folder-normal","","","step","TRUE","FALSE","Site QA","In-Ground Drainage Services","Installation","Sewer (In-ground)"
"f33854c2-1f95-426d-98af-02aaedfb4eae","","checklist-flat","","ITR 002 Sewer Drainage","checklist-flat","FALSE","FALSE","Site QA","In-Ground Drainage Services","Installation","Sewer (In-ground)","B1"
"a36b3efd-ba22-428f-9577-6760d511ce1e","","folder-normal","","","step","TRUE","FALSE","Site QA","Penetrations"
"4a5371b1-5935-41dc-b596-bcaee8d429fb","","folder-normal","","","step","TRUE","FALSE","Site QA","Penetrations","Installation"
"812d47f2-2c72-4075-a608-107ea3641c92","","checklist-flat","","ITR 001 Set Out Penetrations","checklist-flat","FALSE","FALSE","Site QA","Penetrations","Installation","B1"
"855afcdc-7a1b-4407-b16d-9c90df4a63bf","","checklist-flat","","ITR 001 Set Out Penetrations","checklist-flat","FALSE","FALSE","Site QA","Penetrations","Installation","L4"
"48de33cf-16b8-44c7-90ff-98986156d06d","","checklist-flat","","ITR 001 Set Out Penetrations","checklist-flat","FALSE","FALSE","Site QA","Penetrations","Installation","L5"
"24c97d7b-2fca-43fd-9eb3-b0b7773be45d","","folder-normal","","","step","TRUE","FALSE","Site QA","Total Station"
"b1550662-89ed-49b3-bc75-35a894c5febe","","folder-normal","","","step","TRUE","FALSE","Site QA","Total Station","Mark Out"
"92716bb8-df85-4c74-9778-cb797553494f","","checklist-flat","","ITR 001 Set Out Penetrations","checklist-flat","FALSE","FALSE","Site QA","Total Station","Mark Out","B1"
"f35e4dc5-1263-4d45-b2b7-e7a4a8e8a36f","","checklist-flat","","ITR 001 Set Out Penetrations","checklist-flat","FALSE","FALSE","Site QA","Total Station","Mark Out","L4"
"39478c62-d777-47d3-b643-1b523c3cf8ba","","checklist-flat","","ITR 001 Set Out Penetrations","checklist-flat","FALSE","FALSE","Site QA","Total Station","Mark Out","L5"
"0f30fa45-3ec3-4301-9bba-de0507301730","","folder-normal","","","step","TRUE","FALSE","Site QA","Suspended Water Services"
"d7770941-0e41-417d-84a6-d6d8d1680f9d","","folder-normal","","","step","TRUE","FALSE","Site QA","Suspended Water Services","Installation"
"4a658de4-247c-47e9-a3ba-9d92681a20d8","","folder-normal","","","step","TRUE","FALSE","Site QA","Suspended Water Services","Installation","Cold Water"
"aa556dfa-4ab3-44e6-96db-a2e21d0ffed6","","checklist-flat","","ITR 011 Hot & Cold Rough In","checklist-flat","FALSE","FALSE","Site QA","Suspended Water Services","Installation","Cold Water","B1"
"69736497-8456-4e84-96fd-824e91f4b909","","checklist-flat","","ITR 011 Hot & Cold Rough In","checklist-flat","FALSE","FALSE","Site QA","Suspended Water Services","Installation","Cold Water","L4 - Amenities"
"ea1640c8-85ff-4e74-ab0a-7460cc0efefb","","checklist-flat","","ITR 011 Hot & Cold Rough In","checklist-flat","FALSE","FALSE","Site QA","Suspended Water Services","Installation","Cold Water","L4 - Tenancy"
"0df4883d-5243-41df-9045-d63be8ae44ca","","folder-normal","","","step","TRUE","FALSE","Site QA","Suspended Water Services","Installation","Hot Water"
"4866a635-ab37-4741-8878-0534fe89817c","","checklist-flat","","ITR 011 Hot & Cold Rough In","checklist-flat","FALSE","FALSE","Site QA","Suspended Water Services","Installation","Hot Water","B1"
"ebb6b3aa-a95e-4fd8-a111-3d546ef7f083","","checklist-flat","","ITR 011 Hot & Cold Rough In","checklist-flat","FALSE","FALSE","Site QA","Suspended Water Services","Installation","Hot Water","L4"
"d7d398a1-4314-4632-bcc4-67ed1999f5d2","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough In Water Services"
"5c25b6b4-8656-4ebb-93de-f761f395a255","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough In Water Services","Installation"
"df6054d5-851e-4dd9-bf6a-084631f05fa1","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough In Water Services","Installation","Cold Water"
"bfa1c62f-c1bd-45a9-8ea1-c71debe5335f","","checklist-flat","","ITR 011 Hot & Cold Rough In","checklist-flat","FALSE","FALSE","Site QA","Rough In Water Services","Installation","Cold Water","B1"
"82765e6f-ace3-41a3-96c6-b7d8729610f5","","checklist-flat","","ITR 011 Hot & Cold Rough In","checklist-flat","FALSE","FALSE","Site QA","Rough In Water Services","Installation","Cold Water","L4"
"44301512-493f-4e4a-b72d-7e8cd45db470","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough In Water Services","Installation","Hot Water"
"e542b2b7-f40b-4a0a-ae20-f8aef9da78fa","","checklist-flat","","ITR 011 Hot & Cold Rough In","checklist-flat","FALSE","FALSE","Site QA","Rough In Water Services","Installation","Hot Water","B1"
"f6024b79-b885-45fc-90e9-82c5ff06be87","","checklist-flat","","ITR 011 Hot & Cold Rough In","checklist-flat","FALSE","FALSE","Site QA","Rough In Water Services","Installation","Hot Water","L4"
"7bc68732-9f5c-4373-aa10-271aaf0b3404","","folder-normal","","","step","TRUE","FALSE","Site QA","Fit Off"
"80deadd0-1a35-4405-a90f-93172239c03e","","folder-normal","","","step","TRUE","FALSE","Site QA","Fit Off","Installation"
"ce46ca54-b2d5-4fad-bb64-1cfa0d60eff5","","folder-normal","","","step","TRUE","FALSE","Site QA","Fit Off","Installation","Sanitary Fixtures"
"d853485f-790d-46f0-b5ae-39ee5a8373b7","","checklist-flat","","ITR 014 Sanitary Fit Off","checklist-flat","FALSE","FALSE","Site QA","Fit Off","Installation","Sanitary Fixtures","B1"
"3d773a67-663f-4c02-9fd9-d306f36a58f4","","checklist-flat","","ITR 014 Sanitary Fit Off","checklist-flat","FALSE","FALSE","Site QA","Fit Off","Installation","Sanitary Fixtures","L4"
"119dacf7-a89f-45bc-82c6-8d0c0bab60e8","","folder-normal","","","step","TRUE","FALSE","Site QA","Commissioning"
"d8d3f5a4-7a1d-40a9-ba9f-0b97cf2fe949","","folder-normal","","","step","TRUE","FALSE","Site QA","Commissioning","TMV's"
"d5b6ab8b-6c49-46d3-a9ba-f9a90b7ab42d","","checklist-flat","","ITR 017 Thermostatic Mixing Valve Test Report","checklist-flat","FALSE","FALSE","Site QA","Commissioning","TMV's","B1"
"39c02126-f802-496f-8945-65ec8a613f69","","checklist-flat","","ITR 017 Thermostatic Mixing Valve Test Report","checklist-flat","FALSE","FALSE","Site QA","Commissioning","TMV's","L4"
"b45de3a2-0592-4a7d-ba63-61443883dc35","","folder-normal","","","step","TRUE","FALSE","Site QA","Commissioning","Tempering valve"
"d98d7fb1-3990-4179-9715-814f6e8962d4","","checklist-flat","","ITR 016 Tempering Valve Test Report","checklist-flat","FALSE","FALSE","Site QA","Commissioning","Tempering valve","B1"
"043c3313-2cb6-4459-9a34-9af60f7191af","","checklist-flat","","ITR 016 Tempering Valve Test Report","checklist-flat","FALSE","FALSE","Site QA","Commissioning","Tempering valve","L4"
"40e9af3b-c7cd-41fd-b391-1b95707f74e5","","folder-normal","","","step","TRUE","FALSE","Site QA","Commissioning","Water meters"
"f5db6f09-80ed-4f20-a1f9-e1f934d290cb","","checklist-flat","","ITR 013 Water Meter","checklist-flat","FALSE","FALSE","Site QA","Commissioning","Water meters","B1"
"49ed164c-fa95-456f-9240-28fb958e6264","","checklist-flat","","ITR 013 Water Meter","checklist-flat","FALSE","FALSE","Site QA","Commissioning","Water meters","L4"
"607877cb-dc70-4591-bd7d-cdb88316cc78","","folder-normal","","","step","TRUE","FALSE","Site QA","Commissioning","HWS"
"58169730-f062-4a6d-bd34-9028e523d566","","checklist-flat","","ITR 012 Hot Water Service","checklist-flat","FALSE","FALSE","Site QA","Commissioning","HWS","B1"
"511e2fc5-a8f8-4600-b985-2546c2628e30","","checklist-flat","","ITR 012 Hot Water Service","checklist-flat","FALSE","FALSE","Site QA","Commissioning","HWS","L4"
"87d41b5a-b616-4e97-9caf-56c762ce193e","","folder-normal","","","step","TRUE","FALSE","Site QA","Commissioning","Pumps & Equipment"
"9138c496-11ff-403b-b732-4f146611b36a","","checklist-flat","","Documentation","checklist-flat","FALSE","FALSE","Site QA","Commissioning","Pumps & Equipment","B1"
"f4321ad4-7087-4923-ae79-27c8b0d6af34","","folder-normal","","","step","TRUE","FALSE","Fire Register"
"4efa9bd4-72c0-4c15-89c6-ac1de50d4c92","","checklist-flat","","Documentation","checklist-flat","FALSE","FALSE","Fire Register","Fire Matrix"
"43c51040-fdbf-4080-80f2-9e44efc9dd50","","checklist-flat","","Documentation","checklist-flat","FALSE","FALSE","Fire Register","Penetrations Drawings"
"0027d334-fe78-4ca8-bedd-b356bfdfc969","","folder-normal","","","step","TRUE","FALSE","Fire Register","L4"
"89e012ea-6c0e-4b11-8a70-fb6feb76a5df","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8400"
"8bb3a4d3-f973-4ae8-85e7-0c33900f5707","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8401"
"a7ab4d5d-8328-4faf-8271-1717dc754b00","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8402"
"47c2bd0f-8229-4da3-9e8b-dcc352067b6f","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8403"
"b774c9e4-0035-4747-af61-1480a201c02d","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8404"
"5dcff4f6-5595-4885-b121-0929cb537292","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8405"
"6e738f5f-f6a1-491d-a2f3-e25aa2fe53a5","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8406"
"cd074db7-8a87-455c-a7c7-cc2cf17e0316","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8407"
"f47b5c1e-b926-412b-b39c-d48ef9f090f6","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8408"
"08349654-89a5-48fc-ab17-e10c58ca6323","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8409"
"0ec0685a-f8db-4451-9a75-3f80acfe4652","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8410"
"a5acff7d-6dae-46f2-926b-6b5c92dc9442","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8411"
"6f83e582-c501-47f6-8293-5b3759bf13f4","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8412"
"c908a11a-dc1e-43fc-9473-4a892efb0f21","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8413"
"d2ced471-c835-4ef1-ab44-85eeacceb1de","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8414"
"fb996207-9e0e-44aa-a8a6-c7a88acc5da6","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8415"
"72f1004d-71bf-42e6-90fd-6fd1589d2cd8","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8416"
"844f0eb1-184f-4cbd-a086-2159abe39cb2","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8417"
"1a61d603-bc98-4080-8ad4-650154988022","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8418"
"f69ab5dc-eed9-484d-ba4a-58a084d6aa92","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8419"
"27d83896-4c04-4a1b-b00e-6ce5adae8835","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8420"
"5cdeced2-7b06-42c9-b9d4-482264605d26","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8421"
"a3d2467f-bc5b-40be-b9c3-24b417684776","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8422"
"5c9fa68c-c08b-4bdd-97cf-9c30146769db","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8423"
"c5b06863-2ac8-48a1-9453-3193f28ac258","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8424"
"35e336f2-2d70-4636-b9c2-b2257697386a","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8425"
"2932cfac-a0fe-459f-b6fe-98d689a495fe","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8426"
"4482abae-508b-4847-b07e-60d5124ffcdb","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8427"
"a45398ae-822f-4076-b248-b5a1710c1119","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8428"
"51b2cb2b-fdef-4255-a153-ab9cbfb7abf6","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8429"
"5f4496a1-0513-4baa-9859-5e9f7b4d55fc","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8430"
"415a0a63-ed2a-4faf-b889-92e04b08f788","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8431"
"fff7b4c5-eb1f-408a-89e0-085ec22505af","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8432"
"5f3367d6-a964-4331-8cd3-0db0e45e1c47","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8433"
"1f6b5bd9-5620-4107-a11a-0092fd1ff75e","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8434"
"c9528066-c8ef-4ba9-8a71-882cc1a61892","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8438"
