resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,
,step,,,Site QA,,,,,,,,,,,
,step,,,,Rough In,,,,,,,,,,
Basement Building ITP,checklist,,,,,Basement 2,,,,,,,,,
Basement Building ITP,checklist,,,,,Basement 1,,,,,,,,,
Base Building ITP,checklist,,,,,Lower Ground,,,,,,,,,
Base Building ITP,checklist,,,,,Upper Ground,,,,,,,,,
,step,,,,,School,,,,,,,,,
Base Building ITP,checklist,,,,,,Level 1,,,,,,,,
Base Building ITP,checklist,,,,,,Level 2,,,,,,,,
Base Building ITP,checklist,,,,,,Level 3,,,,,,,,
Base Building ITP,checklist,,,,,,Level 4,,,,,,,,
,step,,,,,Parish Hall,,,,,,,,,
Base Building ITP,checklist,,,,,,Lower Ground,,,,,,,,
Base Building ITP,checklist,,,,,,Upper Ground,,,,,,,,
Base Building ITP,checklist,,,,,,Level 1,,,,,,,,
Base Building ITP,checklist,,,,,,Level 2,,,,,,,,
Base Building ITP,checklist,,,,,,Level 3,,,,,,,,
Base Building ITP,checklist,,,,,,Level 4,,,,,,,,
,step,,,,,RAC (Residential Aged Care),,,,,,,,,
,step,,,,,,Level 1,,,,,,,,
Base Building ITP,checklist,,,,,,,Base Building,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0101,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0102,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0103,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0104,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0105,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0106,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0107,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0108,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0109,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0110,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0111,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0112,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0113,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0114,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0115,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0116,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0117,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0118,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0119,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0120,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0121,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0122,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0123,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0124,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0125,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0126,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0127,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0128,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0129,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0130,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,BOH B0134,,,,,,,
,step,,,,,,Level 2,,,,,,,,
Base Building ITP,checklist,,,,,,,Base Building,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0201,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0202,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0203,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0204,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0205,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0206,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0207,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0208,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0209,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0210,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0211,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0212,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0213,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0214,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0215,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0216,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0217,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0218,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0219,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0220,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0221,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0222,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0223,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0224,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0225,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0226,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0227,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0228,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0229,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0230,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0231,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0232,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0233,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0234,,,,,,,
,step,,,,,,Level 3,,,,,,,,
Base Building ITP,checklist,,,,,,,Base Building,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0301,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0302,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0303,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0304,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0305,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0306,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0307,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0308,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0309,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0310,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0311,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0312,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0313,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0314,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0315,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0316,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0317,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0318,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0319,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0320,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0321,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0322,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0323,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0324,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0325,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0326,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0327,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0328,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0329,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0330,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0331,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0332,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0333,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0334,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,BOH B0338,,,,,,,
,step,,,,,,Level 4,,,,,,,,
Base Building ITP,checklist,,,,,,,Base Building,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0401,,,,,,,
Apartment Rough In ITP,checklist,,,,,,,Bed B0402,,,,,,,
