"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6f69b477-4022-42c0-853f-fb7bbe343980","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","Site QA"
"9ef568b4-1073-4238-8132-76c41e82e311","","folder-progress","pass","","checklist","TRUE","FALSE","Site QA","Central Utilities (CU)"
"89897696-ce39-43c4-a5b9-1f1f3be6f6ff","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Central Utilities (CU)","ITP 001 - Drainage In Ground"
"dd21c22f-31b0-4ffb-b096-71e5add6972f","Child Inspection & testing prior to Concealing(eec4039b-5282-4897-8b2e-c1bf1404180a): DataPoint Pressure:(cbb41993-a2ca-4d82-a14d-6545f7a7c729) has hidden property width:100
Child Inspection & testing prior to Concealing(eec4039b-5282-4897-8b2e-c1bf1404180a): DataPoint Duration:(58a6507f-3e8d-484a-b7eb-2abac0337f6e) has hidden property width:100
Child Inspection & testing prior to Concealing(eec4039b-5282-4897-8b2e-c1bf1404180a): DataPoint Gauge Number:(8f3793b7-2716-46c8-8e40-bc4863a9fc4c) has hidden property width:100","checklist-flat","pass","ITP 002 – Reticulated Systems In Ground","checklist-flat","FALSE","FALSE","Site QA","Central Utilities (CU)","ITP 002 – Reticulated Systems In Ground (Prefab)"
"fe47d220-3a01-4ab8-ac11-fba55cb0039c","","checklist-flat","pass","ITP 003 - Drainage Above Ground","checklist-flat","FALSE","FALSE","Site QA","Central Utilities (CU)","ITP 003 - Drainage Above Ground"
"72290451-ac19-4289-b13d-df1f48248d39","","checklist-flat","pass","ITP 004 - Reticulated Above Ground","checklist-flat","FALSE","FALSE","Site QA","Central Utilities (CU)","ITP 004 - Reticulated Systems Above Ground"
"e431180c-c71e-434b-9872-87cfc1dbcdc3","","checklist-flat","pass","ITP 005 – Fixtures & Fittings","checklist-flat","FALSE","FALSE","Site QA","Central Utilities (CU)","ITP 005 – Fixtures & Fittings"
"c03e2f3d-7f51-4ca9-81ea-500ab5136fb6","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Central Utilities (CU)"," External Sewer"
"c738fdee-ce56-5c77-a62f-3464e61aa2c3","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Central Utilities (CU)"," External Sewer","ITP 001 - Drainage In Ground External South Sewer + MPS"
"f027cc50-0e1e-4d71-ba14-fa0005273b6c","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Central Utilities (CU)","External Services"
"77976bec-9541-522e-9090-dd65b5ec8771","Child Inspection & testing prior to Concealing(57d54fdf-2f48-5676-9485-241a65770db6): DataPoint Pressure:(cbb41993-a2ca-4d82-a14d-6545f7a7c729) has hidden property width:100
Child Inspection & testing prior to Concealing(57d54fdf-2f48-5676-9485-241a65770db6): DataPoint Duration:(58a6507f-3e8d-484a-b7eb-2abac0337f6e) has hidden property width:100
Child Inspection & testing prior to Concealing(57d54fdf-2f48-5676-9485-241a65770db6): DataPoint Gauge Number:(8f3793b7-2716-46c8-8e40-bc4863a9fc4c) has hidden property width:100","checklist-flat","pass","ITP 002 – Reticulated Systems In Ground","checklist-flat","FALSE","FALSE","Site QA","Central Utilities (CU)","External Services","ITP 002 – Reticulated Systems In Ground North Cold Water"
"1d7f7a5d-47a8-5ae6-a87d-947d1c8194c2","Child Inspection & testing prior to Concealing(01926bc5-51b9-530e-a510-1f44a0feaf61): DataPoint Pressure:(cbb41993-a2ca-4d82-a14d-6545f7a7c729) has hidden property width:100
Child Inspection & testing prior to Concealing(01926bc5-51b9-530e-a510-1f44a0feaf61): DataPoint Duration:(58a6507f-3e8d-484a-b7eb-2abac0337f6e) has hidden property width:100
Child Inspection & testing prior to Concealing(01926bc5-51b9-530e-a510-1f44a0feaf61): DataPoint Gauge Number:(8f3793b7-2716-46c8-8e40-bc4863a9fc4c) has hidden property width:100","checklist-flat","pass","ITP 002 – Reticulated Systems In Ground","checklist-flat","FALSE","FALSE","Site QA","Central Utilities (CU)","External Services","ITP 002 – Reticulated Systems In Ground West and South Services + Sewer Pumpline"
