type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,PDU Transformer Pre Livening,,,,,,PDU Transformer Pre Livening
checkpoint,Perform Insulation Resistance At 500VDC Winding To Winding And Each Winding To Ground. Confirm All Results Above 100MOhm,,,,,,
text,"Before Drying Process Test 1 - Bridge Primary L1, L2, L3, E And N If Any. Bridge Secondary L1, L2, L3 And N If Any. Test Between And Record Result",,,,,,
text,"Before Drying Process Test 2 - Bridge Primary L1, L2, L3 And N If Any. Bridge Secondary L1, L2, L3, E And N If Any. Test Between And Record Result",,,,,,
text,"Before Drying Process Test 3 - Bridge Primary L1, L2, L3 And N If Any. To Secondary L1, L2, L3 And N If Any. And Test This Point To E - Record Result",,,,,,
label,Test Equipment Used,,,,,,
dropdown,Test Equipment Used,Megger MIT410/2,,,,,
text,Comments,,,,,,
text,Date,,,,,,
text,Tested By,,,,,,
text,Witnessed By,,,,,,
text,Date,,,,,,
