"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f7777645-949b-4fa0-b48e-6f2cb425fbfc","","folder-normal","","","step","TRUE","FALSE","Site QA"
"d924872f-6d1c-4f81-9890-6958a0a9995b","","folder-normal","","","step","TRUE","FALSE","Site QA","Wall Battens"
"b03f1711-42b9-49c3-a9cd-6dfe70966b46","","folder-normal","","","step","TRUE","FALSE","Site QA","Wall Battens","WTB-01 (Timber Look Aluminium battens)"
"73f41d35-00a6-42e0-b0a5-cc0a8d7ad095","","folder-normal","","","step","TRUE","FALSE","Site QA","Wall Battens","WTB-01 (Timber Look Aluminium battens)","Level 0"
"170493ff-9d1a-4218-b241-b2ec68b4a810","","checklist-flat","","General - Loading","checklist-flat","FALSE","FALSE","Site QA","Wall Battens","WTB-01 (Timber Look Aluminium battens)","Level 0","Loading"
"d997f6a2-8bbc-477e-88f4-dabd82907889","","checklist-flat","","General - Installation","checklist-flat","FALSE","FALSE","Site QA","Wall Battens","WTB-01 (Timber Look Aluminium battens)","Level 0","Installation"
"9ef76b77-adf9-4f88-89b1-dedaf0463626","","folder-normal","","","step","TRUE","FALSE","Site QA","Wall Battens","WTB-01 (Timber Look Aluminium battens)","Level 1"
"7aec8386-afc5-4872-8799-01005380a063","","checklist-flat","","General - Loading","checklist-flat","FALSE","FALSE","Site QA","Wall Battens","WTB-01 (Timber Look Aluminium battens)","Level 1","Loading"
"a197a56b-5f04-466a-9392-15c4986fe189","","checklist-flat","","General - Installation","checklist-flat","FALSE","FALSE","Site QA","Wall Battens","WTB-01 (Timber Look Aluminium battens)","Level 1","Installation"
"b4c8ae77-0c0b-40a3-961b-47199a23c334","","folder-normal","","","step","TRUE","FALSE","Site QA","Wall Battens","WTB-01 (Timber Look Aluminium battens)","Level 2"
"609722c0-262b-4255-a4c1-b9eb9fd10495","","checklist-flat","","General - Loading","checklist-flat","FALSE","FALSE","Site QA","Wall Battens","WTB-01 (Timber Look Aluminium battens)","Level 2","Loading"
"90fd00fc-40cc-4876-9a08-0951d7dec50b","","checklist-flat","","General - Installation","checklist-flat","FALSE","FALSE","Site QA","Wall Battens","WTB-01 (Timber Look Aluminium battens)","Level 2","Installation"
"7c2916af-5744-4118-b25b-90440606a678","","folder-normal","","","step","TRUE","FALSE","Site QA","Wall Battens","WTB-02 (2 tone)"
"8158f2e2-16cd-40ec-abcf-2f26a399d9c1","","folder-normal","","","step","TRUE","FALSE","Site QA","Wall Battens","WTB-02 (2 tone)","Level 0"
"af9e3441-b8cc-4be4-86c5-b32e3ffb4bdf","","checklist-flat","","General - Loading","checklist-flat","FALSE","FALSE","Site QA","Wall Battens","WTB-02 (2 tone)","Level 0","Loading"
"30b82a29-fde5-4608-9b02-1f6fb5b2733c","","checklist-flat","","General - Installation","checklist-flat","FALSE","FALSE","Site QA","Wall Battens","WTB-02 (2 tone)","Level 0","Installation"
"5c422227-24ca-44a5-a0b9-33ed3431b86b","","folder-normal","","","step","TRUE","FALSE","Site QA","Wall Battens","WTB-03 Aluminium Battens"
