Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-sectioned,,,checklist,Pipeline Installation Checklist,,,,,Yes,QA - Pipeline Installation Checklist +Signoffs,a4c8be69-8b30-4c8e-93c3-8b1064128fe6
checkpoint-group,,,section,Pipe Laying,,,,,,,
checkpoint-status,,,checkpoint,Latest consented drawings,,,,,,,
text,a9cbb9b8-73f3-5b34-8f32-ec3a53be672b,,textbox,Drawing Ref No.,,,,,,,
checkpoint-status,,,checkpoint,Setout completed checked and accurate,,,,,,,
checkpoint-status,,,checkpoint,Services Located and before you dig plans checked,,,,,,,
checkpoint-status,,,checkpoint,All junctions marked out and run through with operator,,,,,,,
checkpoint-status,,,checkpoint,Laser grade checked. Correct +/-. Benching required if >1.5m,,,,,,,
text,0a89d5bb-e70e-560b-99e5-a7338368af52,,textbox,Design Grade %,,,,,,,
checkpoint-status,,,checkpoint,Laser checked for line with string line,,,,,,,
checkpoint-status,,,checkpoint,Correct trench width for pipe size,,,,,,,
checkpoint-status,,,checkpoint,Starter checked for fall. Starter epoxyed to seal from water.,,,,,,,
checkpoint-status,,,checkpoint,Corbel installed with suitable bedding around pipe (Photo Required),,,,,,,
checkpoint-status,,,checkpoint,Ground Conditions Checked & Acceptable,,,,,,,
holdpoint,,,signoff,HOLD POINT,,,,,,,
checkpoint-status,,,checkpoint,General photos during pipe laying,,,,,,,
checkpoint-status,,,checkpoint,Pipe Laying Completed,,,,,,,
text,b1969e14-9f31-57cf-ad40-28be8e3bd8d3,,textbox,Laid by,,,,,,,
boolean,d5f8d845-4cd8-5b87-aceb-51091273e5dc,,tickbox,Trench Compacted,,,,,,,
boolean,a7e6701b-ac34-5dd8-ba7f-658fc456a176,,tickbox,Vehicle Areas or Road Reserve Hard Filled,,,,,,,
holdpoint,,,signoff,HOLD POINT,,,,,,,
checkpoint-status,,,checkpoint,CCTV Completed,,,,,,,
