Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,
Overall Progress,,,,,,,,,
,Scope,,,,,,,,
,Rows,,,,,,,,
,,Foundations,dynamic,foundations,b03,,,,
,,B03 - basement slab - Area A,dynamic,b03,area a,basement slab,,,
,,b03 - Structure - Basement Slab - Area b,dynamic,basement slab,b03,area b,structure,,
,,b03 - Structure - Level 0 - Ground - Area a,dynamic,level 0 - ground,b03,area a,structure,,
,,b03 - Structure - Level 0 - Ground - Area B,dynamic,level 0 - ground,b03,area b,structure,,
,,b03 - Structure - Level 1 - Area A,dynamic,b03,level 1,area a,structure,,
,,b03 - Structure - level 1 - Area B,dynamic,b03,area b,level 1,structure,,
,,b03 - Structure - Level 2 - Area A,dynamic,b03,area a,structure,level 2,,
,,b03 - Structure - Level 2 - Area B,dynamic,b03,area b,structure,level 2,,
,,B03 - Structure - Level 3 - Area A,grouping,B03 - Structure - Level 3 - Area A,,,,,
,,Beams Insitu Stitch,expanded,Beams Insitu Stitch,Insitu Stitch Joints,Area A,Level 3 - Roof,Structure,B03
,,Columns Insitu Stitch,expanded,Columns Insitu Stitch,Insitu Stitch Joints,Area A,Level 3 - Roof,Structure,B03
,,Panels Insitu Stitch,expanded,Panels Insitu Stitch,Insitu Stitch Joints,Area A,Level 3 - Roof,Structure,B03
,,B03 - Structure - Level 3 - Area B,grouping,B03 - Structure - Level 3 - Area B,,,,,
,,Beams Insitu Stitch,expanded,Beams Insitu Stitch,Insitu Stitch Joints,Area B,Level 3 - Roof,Structure,B03
,,Columns Insitu Stitch,expanded,Columns Insitu Stitch,Insitu Stitch Joints,Area B,Level 3 - Roof,Structure,B03
,,Panels Insitu Stitch,expanded,Panels Insitu Stitch,Insitu Stitch Joints,Area B,Level 3 - Roof,Structure,B03
,,B05 - Foundations,grouping,B05 - Foundations,,,,,
,,Blockwork Reinforcing,expanded,foundations,blockwork reinforcing,b05,,,
,,Lift Footing,expanded,foundations,lift footing,b05,,,
,,SWMH Footing,expanded,foundations,b05,swmh footing,,,
,,B05 - Structure - Basement Slab,dynamic,b05,structure,basement slab,,,
,,B05 - Structure - Level 0 - Ground,dynamic,b05,structure,level 0 - ground,,,
,,B05 - Structure - Level 1,dynamic,level 1,b05,structure,,,
,,B05 - Structure - Level 2,dynamic,b05,structure,level 2,,,
,,B05 - Structure - Level 3 - Roof,dynamic,b05,structure,level 3 - roof,,,
,,B07 - Structure - Basement,dynamic,b07,basement,structure,,,
,,B07 - Structure - Ground Floor,dynamic,b07,ground floor,structure,,,
,,B07 - Structure - Level 1,dynamic,b07,level 1,structure,,,
,,B07 - Structure - Level 2,dynamic,b07,structure,level 2,,,
,,B07 - Structure - Level 3,dynamic,b07,structure,level 3,,,
,,B07 - Structure - Level 4,dynamic,b07,level 4,structure,,,
,Columns,,,,,,,,
,,Size and type correct to specification,,size and type correct to specification,,,,,
,,Reinforcing spacing & location correct,,reinforcing spacing and location correct,,,,,
,,Specified covers checked/correct,,specified covers checked/correct,,,,,
,,Splice laps checked/correct,,splice laps checked/correct,,,,,
,,All couplers installed correctly,,"all couplers installed correctly (if reid bar couplers have been used, has epcon c8 epoxy been used as specified)",,,,,
,,Any starter bars are installed correctly,,"any starter bars are installed correctly (location, size, length and spacing )",,,,,
,,Any additional items installed/completed,,any additional items installed/ completed (trimmer bars etc) and excess reinforcing removed,,,,,
,,"Mill certificate reviewed, attached & approved",,"mill certificate reviewed, attached and approved",,,,,
,,Reinforcing installed correctly to specification,,reinforcing installed correctly to specification and ready for concrete to be placed,,,,,
