"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0664fd2f-99a9-4946-88ac-e7672ec505d9","","no-status-not-started","","folder","TRUE","FALSE","Site QA"
"da009e2c-bbbf-4b14-98ce-92a5ab1e481a","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 1"
"eede14c4-dc25-432a-a383-bca9c6b07f43","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 2"
