"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d91a9194-1d33-432e-a013-5ac5a128973c","","folder-normal","not-started","","step","TRUE","FALSE","Emergency Lighting Test Results"
"9a96ad39-2e97-444e-b4fa-925c2cbe8119","","checklist-flat","not-started","Emergency Lighting Testing Evidence","checklist-flat","FALSE","FALSE","Emergency Lighting Test Results","Emergency Lighting Testing Evidence"
"82e98311-0d82-48da-abd2-a4d270682c46","","folder-normal","not-started","","step","TRUE","FALSE","Temp DB's"
"7ffa2907-1b66-4a13-96c9-ba472f9c1908","","folder-normal","not-started","","step","TRUE","FALSE","Temp DB's","Temp DB Install Checklist"
"6f073eab-4f7a-42c5-b6f5-8e6487e08e2b","","checklist-flat","not-started","Temp Board Install Checklist","checklist-flat","FALSE","FALSE","Temp DB's","Temp DB Install Checklist","Temp DB-1"
"a3aa7142-6222-4845-a4eb-670241be4e0a","","checklist-flat","not-started","Temp Board Install Checklist","checklist-flat","FALSE","FALSE","Temp DB's","Temp DB Install Checklist","Temp DB-2"
"a268a28c-80a3-4d99-9443-7f4caf6b1ba3","","checklist-flat","not-started","Temp Board Install Checklist","checklist-flat","FALSE","FALSE","Temp DB's","Temp DB Install Checklist","Temp DB-3"
"6efceedb-a0aa-4b54-9078-8acbe927d0df","","checklist-flat","not-started","Temp Board Install Checklist","checklist-flat","FALSE","FALSE","Temp DB's","Temp DB Install Checklist","Temp DB-4"
"42bff67e-b9fb-43e1-bd33-72fb2d778870","","checklist-flat","not-started","Temp Board Install Checklist","checklist-flat","FALSE","FALSE","Temp DB's","Temp DB Install Checklist","Temp DB-5"
"2a64b700-d873-41e5-b8e5-da4f8b9d69d3","","checklist-flat","not-started","Temp Board Install Checklist","checklist-flat","FALSE","FALSE","Temp DB's","Temp DB Install Checklist","Temp DB-6"
"b6971852-9315-4815-a119-b1f811870499","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Temp DB's","Temp DB Monthly Testing"
"11a7fbbc-5cbf-48ed-b55f-504bc632bd3b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site Variations"
"80940dc8-f715-41ca-844a-01ddb1e904d3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Test & Tag"
"c5be62fa-c7da-44b1-a8a5-62720b9085e7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox Talks"
"e76c33f0-08f0-45af-b011-0eab9db7bf75","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox Talks","Weekly Toolbox Talks"
"cd9a0981-f55d-45d6-93a1-cd92d3c29cf7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox Talks","Daily Pre-start Toolbox Talks"
"1824ad7d-18c7-4211-b395-87730c1ccf51","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA"
