"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"59730464-a033-4191-b641-a3a37e781af1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","F2201 - SH35 Tairawhiti - Recovery - HICKS BAY NORTH FLOODING - RS0132/RP0 to 5km"
"3c6e0397-761b-433b-a260-d32bc6b71701","","folder-normal","no-status-not-started","","step","TRUE","FALSE","F2201 - SH35 Tairawhiti - Recovery - HICKS BAY NORTH FLOODING - RS0132/RP0 to 5km","F2201A - Hicks Bay Flooding North"
"d8d092a9-d2ae-4498-8804-84cfa98ec507","","folder-normal","no-status-not-started","","step","TRUE","FALSE","F2201 - SH35 Tairawhiti - Recovery - HICKS BAY NORTH FLOODING - RS0132/RP0 to 5km","F2201B - Oweka Culvert"
"f29d4e94-4a54-4d72-ae04-b2b20be46287","","folder-normal","no-status-not-started","","step","TRUE","FALSE","F2202 - SH35 Tairawhiti - Recovery - RS0132/RP5 to 10km"
"dcd182bc-46b0-433d-b80f-e100075adb5e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","F2202 - SH35 Tairawhiti - Recovery - RS0132/RP5 to 10km","F2202A - Culvert ID601"
"96464e16-1602-46d1-bd74-2a496df68cbb","","folder-normal","no-status-not-started","","step","TRUE","FALSE","F2303 - SH35 Tairawhiti - Recovery - TE AROROA - RS0144/RP10 to 15km"
"c436f8ff-dda5-49ed-83e0-0da5ee9990f5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","F2303 - SH35 Tairawhiti - Recovery - TE AROROA - RS0144/RP10 to 15km","F2303A - Te Araroa Flooding"
"6f2ce28d-ac12-4267-bb46-8cbda136788a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","F2501 - SH35 Tairawhiti - Recovery - 0172 - 0 to 9km"
"fc9472e6-f4db-4baf-b96c-8a973a448584","","folder-normal","no-status-not-started","","step","TRUE","FALSE","F2501 - SH35 Tairawhiti - Recovery - 0172 - 0 to 9km","F2501A – D9 Gully Underslip"
"184d6df4-25e8-474f-9da6-afef3ec32d8c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","F2701 - SH35 Tairawhiti - Recovery - RS0190/RP0 to 10km"
"e28949de-80ca-427e-8b08-dc7b5f23fe09","","folder-normal","no-status-not-started","","step","TRUE","FALSE","F2701 - SH35 Tairawhiti - Recovery - RS0190/RP0 to 10km","F2701A - Kemps Hill Subsidence"
