"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"84ef17ae-12eb-4e77-8921-29692d6c545a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","G1202 - SH38 - Recovery - WAIKARETAHEKE RIVERBEND SLIPS - RS0161/RP4 to 10km"
"2055c858-4526-4cca-915e-53c476d495ec","","folder-normal","no-status-not-started","","step","TRUE","FALSE","G1202 - SH38 - Recovery - WAIKARETAHEKE RIVERBEND SLIPS - RS0161/RP4 to 10km","G1202A - Waikaretaheke Underslip 3"
"dc98d146-32e8-44ca-938d-8d16ddf62d38","","folder-normal","no-status-not-started","","step","TRUE","FALSE","G1202 - SH38 - Recovery - WAIKARETAHEKE RIVERBEND SLIPS - RS0161/RP4 to 10km","G1202B - Waikaretaheke Stream Underslip - SH38 RS161 RP6.0"
"cd6a2788-2dea-4713-8c3b-ebd7f1aa1353","","folder-normal","no-status-not-started","","step","TRUE","FALSE","G1204 - SH38 - Recovery - RANGIAHUA SLIPS - RS0161/RP15 to 18km"
"214ef3d6-fbca-46db-807c-699a4e22c307","","folder-normal","no-status-not-started","","step","TRUE","FALSE","G1204 - SH38 - Recovery - RANGIAHUA SLIPS - RS0161/RP15 to 18km","G1204A - Waiau River Underslip"
