"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"PCHQ Remedials - Overview"
,"Scope",,
,"Rows"
,,"november 2018","dynamic","november 2018"
,,"december 2018","dynamic","december 2018"
,,"january 2019","dynamic","january 2019"
,,"february 2019","dynamic","february 2019"
,,"march 2019","dynamic","march 2019"
,,"april 2019","dynamic","april 2019"
,,"may 2019","dynamic","may 2019"
,,"june 2019","dynamic","june 2019"
,,"july 2019","dynamic","july 2019"
,,"august 2019","dynamic","august 2019"
,,"september 2019","dynamic","september 2019"
,,"october 2019","dynamic","october 2019"
,"Columns"
,,"- Brief description of cause of remedial:","Brief description of cause of remedial:","description:"
,,"finish to be achieved as per specification (f5/u3)",,"finish to be achieved as per specification (f5/u3)"
,,"visibility of remedial i.e ground floor, second floor etc",,"visibility of remedial i.e ground floor, second floor etc"
,,"upload overall photo of scope of work - before",,"upload overall photo of scope of work - before"
,,"upload overall photo of scope of work - after",,"upload overall photo of scope of work - after"
,,"upload photo of each scope item with notations shown - before",,"upload photo of each scope item with notations shown - before"
,,"upload photo of each scope item with notations shown - after",,"upload photo of each scope item with notations shown - after"

