"ID","Status","Subject","Customer Account","Updated","Requester","Requested","Priority","SLA"
"34287","New","BHC - Chermside","","2024-06-28 12:36","maher.saadeddin","2024-06-28 12:36","Normal",""
"34312","New","Activate deep archived project National Tiles NSW > SW-608234 - LOT 6730 EAGLEMONT WAY WERRIBEE","","2024-06-28 13:24","CONQA","2024-06-28 13:24","Normal","2024-07-03 13:24"
"34311","New","Activate deep archived project National Tiles NSW > SW-129142 - LOT 3005 MOSMAN CIRCUIT, TARNEIT - TILER - 24/11/20","","2024-06-28 13:24","CONQA","2024-06-28 13:24","Normal","2024-07-03 13:24"
"34310","New","Activate deep archived project National Tiles NSW > SW-129041 - LOT 31049 ORESUND STREET CRAIGIEBURN","","2024-06-28 13:24","CONQA","2024-06-28 13:24","Normal","2024-07-03 13:24"
"34309","New","Activate deep archived project National Tiles NSW > SW-129019 - LOT 33318 NO.445 BROOKFIELD BLVD CRAIGIEBURN","","2024-06-28 13:24","CONQA","2024-06-28 13:24","Normal","2024-07-03 13:24"
"34308","New","Activate deep archived project National Tiles NSW > SW-128952 - LOT 32136 ZELKOVA STREET, KALKALLO - SB 22.09.20","","2024-06-28 13:24","CONQA","2024-06-28 13:24","Normal","2024-07-03 13:24"
"34307","New","Activate deep archived project National Tiles NSW > SW-128848 - LOT 31416 KOEKS VISTA KALKALLO","","2024-06-28 13:23","CONQA","2024-06-28 13:23","Normal","2024-07-03 13:23"
"34306","New","Activate deep archived project National Tiles NSW > SW-127290 - LOT 4201 EMINENCE STREET MT DUNEED","","2024-06-28 13:23","CONQA","2024-06-28 13:23","Normal","2024-07-03 13:23"
"34305","New","Activate deep archived project National Tiles NSW > SW-126471 - LOT 3114 RITCHIE CIRCUIT, TARNEIT - TILER - 10/11/20","","2024-06-28 13:23","CONQA","2024-06-28 13:23","Normal","2024-07-03 13:23"
"34304","New","Activate deep archived project National Tiles NSW > SIMONDS - LOT 1452 ALLAMBEE CRESCENT, BEVERLY HILLS","","2024-06-28 13:23","CONQA","2024-06-28 13:23","Normal","2024-07-03 13:23"
"34303","New","Activate deep archived project National Tiles NSW > SIMONDS - LOT 7052 PONDS WAY, AIRDS","","2024-06-28 13:23","CONQA","2024-06-28 13:23","Normal","2024-07-03 13:23"
"34302","New","Activate deep archived project National Tiles NSW > SIMONDS - LOT 1141 (18) LANDSBOROUGH ST, JORDAN SPRINGS","","2024-06-28 13:23","CONQA","2024-06-28 13:23","Normal","2024-07-03 13:23"
"34301","New","Activate deep archived project National Tiles NSW > SIMONDS - LOT 568 (63) CALDER ST, SCHOFIELDS","","2024-06-28 13:23","CONQA","2024-06-28 13:23","Normal","2024-07-03 13:23"
"34300","New","Activate deep archived project National Tiles NSW > SIMONDS - LOT 210 (8) GILGAI STREET, BOX HILL","","2024-06-28 13:23","CONQA","2024-06-28 13:23","Normal","2024-07-03 13:23"
"34299","New","Activate deep archived project National Tiles NSW > SIMONDS - LOT 82 (19) YELLOWBOX ST, MARSDEN PARK","","2024-06-28 13:23","CONQA","2024-06-28 13:23","Normal","2024-07-03 13:23"
"34298","New","Activate deep archived project National Tiles NSW > SIMONDS - LOT 31 (39) CARDIFF ROAD, WALLSEND","","2024-06-28 13:23","CONQA","2024-06-28 13:23","Normal","2024-07-03 13:23"
"34297","New","Activate deep archived project National Tiles NSW > SIMONDS - LOT 9 (8) RANGER CLOSE, RUTHERFORD","","2024-06-28 13:23","CONQA","2024-06-28 13:23","Normal","2024-07-03 13:23"
"34296","New","Activate deep archived project National Tiles NSW > SIMONDS - LOT 6 KUDGEE STREET, THE PONDS","","2024-06-28 13:23","CONQA","2024-06-28 13:23","Normal","2024-07-03 13:23"
"34295","New","Activate deep archived project National Tiles NSW > SIMONDS - LOT 1 (10) ELIZABETH STREET, RIVERSTONE","","2024-06-28 13:23","CONQA","2024-06-28 13:23","Normal","2024-07-03 13:23"
"34294","New","Activate deep archived project National Tiles NSW > SE-129258 - LOT 33336 BROOKFIELD BOULEVARD, CRAIGIEBURN - WP - 28/10/20","","2024-06-28 13:23","CONQA","2024-06-28 13:23","Normal","2024-07-03 13:23"
"34293","New","Activate deep archived project National Tiles NSW > SE-129056 - LOT 976 LEMONGRASS DRIVE, MICKLEHAM","","2024-06-28 13:23","CONQA","2024-06-28 13:23","Normal","2024-07-03 13:23"
"34292","New","Activate deep archived project National Tiles NSW > S- N1286 - LOT 3019 FLORIBUNDA PDE MARSDEN PARK (14.02.20)","","2024-06-28 13:23","CONQA","2024-06-28 13:23","Normal","2024-07-03 13:23"
"34291","New","Activate deep archived project National Tiles NSW > SE-129016 - LOT 31621 FIRNBERG ROAD, KALKALLO","","2024-06-28 13:23","CONQA","2024-06-28 13:23","Normal","2024-07-03 13:23"
"34290","New","Activate deep archived project National Tiles NSW > S N1822 - LOT 1249 (8) GARVEN STREET CLIFTLEIGH","","2024-06-28 13:23","CONQA","2024-06-28 13:23","Normal","2024-07-03 13:23"
"34289","New","Activate deep archived project National Tiles NSW > S -N1695 - LOT 3 (3) KARMA GROVE, KENTHURST // 7545634","","2024-06-28 13:23","CONQA","2024-06-28 13:23","Normal","2024-07-03 13:23"
"34288","New","Activate deep archived project National Tiles NSW > S -N1695 - LOT 3 (3) KARMA GROVE, KENTHURST // 7545634","","2024-06-28 13:23","CONQA","2024-06-28 13:23","Normal","2024-07-03 13:23"
"34284","New","Activate deep archived project National Tiles NSW > S -N1523 - LOT 4276 (2) SWEETMAN CCT DENHAM COURT","","2024-06-28 10:49","CONQA","2024-06-28 10:49","Normal","2024-07-03 10:49"
"34283","New","Activate deep archived project National Tiles NSW > S -N1487 - LOT 1, (No.3) CELIA ROAD,KELLYVILLE","","2024-06-28 10:49","CONQA","2024-06-28 10:49","Normal","2024-07-03 10:49"
"34282","New","Activate deep archived project National Tiles NSW > S - N2593 - 106 (55) STAMFORD BRIDGE AVE, KELLYVILLE - 03.11.2020","","2024-06-28 10:45","CONQA","2024-06-28 10:45","Normal","2024-07-03 10:45"
"34281","New","Activate deep archived project National Tiles NSW > S - N1956 - LOT 4268 (7) MISTFLOWER ST, MARSDEN PARK // 8220729","","2024-06-28 10:45","CONQA","2024-06-28 10:45","Normal","2024-07-03 10:45"
"34280","New","Activate deep archived project National Tiles NSW > S - N1938 - LOT 757 (3) BOTANY ROAD, GREGORY HILLS NSW 2557 // 7891655","","2024-06-28 10:45","CONQA","2024-06-28 10:45","Normal","2024-07-03 10:45"
"34279","New","Activate deep archived project National Tiles NSW > S - N1928 - LOT 134, 60 TRITON BOULEVARD, NORTH ROTHBURY NSW 2335","","2024-06-28 10:45","CONQA","2024-06-28 10:45","Normal","2024-07-03 10:45"
"34278","New","Activate deep archived project National Tiles NSW > S - N1917 - LOT 2315 FISHERMANS DRIVE, TERALBA NSW","","2024-06-28 10:45","CONQA","2024-06-28 10:45","Normal","2024-07-03 10:45"
"34277","New","Activate deep archived project National Tiles NSW > S - N1899 - LOT 14 BONNIE ROCK ROAD, AUSTRAL","","2024-06-28 10:45","CONQA","2024-06-28 10:45","Normal","2024-07-03 10:45"
"34276","New","Activate deep archived project National Tiles NSW > S - N1892 - 114 GARDENIA DRIVE, MEDOWIE, 2318","","2024-06-28 10:45","CONQA","2024-06-28 10:45","Normal","2024-07-03 10:45"
"34275","New","Activate deep archived project National Tiles NSW > S - N1882 - Lot 6060 No.55 Georgina Crescent MELONBA, New South Wales, 2765 // 8026645","","2024-06-28 10:45","CONQA","2024-06-28 10:45","Normal","2024-07-03 10:45"
