"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6a515ecb-f41c-4f76-9153-63f7fafeac3b","","folder-normal","work-in-progress","","step","TRUE","FALSE","Sewer "
"2c86cb27-e682-4617-be33-fd90cc0b8fc0","","folder-normal","work-in-progress","","step","TRUE","FALSE","Sewer ","Sewer branch to match day pavilion (Duane and Sean)"
"23466c75-230a-4bd3-b308-b6c31915e3a9","","checklist-flat","pass","Add Project Photos","checklist-flat","FALSE","FALSE","Sewer ","Sewer branch to match day pavilion (Duane and Sean)","Pictures "
"ef4be717-2724-4583-9da2-989f1a037e8a","","checklist-flat","pass","QA 8 - Below Ground Pipework Checklist - Sewer","checklist-flat","FALSE","FALSE","Sewer ","Sewer branch to match day pavilion (Duane and Sean)","Below Ground Pipework Checklist - Sewer"
"30064862-47cd-4d57-ab7e-3475c4ab8ba1","","checklist-flat","work-in-progress","QA 8 - Below Ground Pipework Checklist - Sewer","checklist-flat","FALSE","FALSE","Sewer ","Sewer branch to match day pavilion (Duane and Sean)","Below Ground Pipework Checklist - Sewer continue from sean"
"0aa04ab4-77da-44dc-a60e-455a437065d1","","folder-normal","pass","","step","TRUE","FALSE","Sewer ","Sewer SMS/3 to APC Facilities (Rodrigo & Mick)"
"4b63badb-3444-48e2-a528-456e7f7cc6c3","","checklist-flat","pass","QA 8 - Below Ground Pipework Checklist - Sewer","checklist-flat","FALSE","FALSE","Sewer ","Sewer SMS/3 to APC Facilities (Rodrigo & Mick)","Below Ground Pipework Checklist - Sewer"
"9e0cbe00-ee27-442b-bfc9-05e64d579e62","","checklist-flat","pass","Add Project Photos","checklist-flat","FALSE","FALSE","Sewer ","Sewer SMS/3 to APC Facilities (Rodrigo & Mick)","Pictures"
"16c68324-6832-4b29-9cca-5eaf375148c2","","folder-normal","pass","","step","TRUE","FALSE","Sewer ","Sewer to recovery lounge (Adam, Rodrigo & Mick)"
"771b45c4-09f6-472c-bae7-37f8987be38d","","checklist-flat","pass","Add Project Photos","checklist-flat","FALSE","FALSE","Sewer ","Sewer to recovery lounge (Adam, Rodrigo & Mick)","Pictures"
"b3f44a9b-4e24-4da5-a704-ff5fdd457e7b","","checklist-flat","pass","QA 8 - Below Ground Pipework Checklist - Sewer","checklist-flat","FALSE","FALSE","Sewer ","Sewer to recovery lounge (Adam, Rodrigo & Mick)","Below Ground Pipework Checklist - Sewer"
"7b7f57e1-b6a0-425f-a38f-e5eb4d482f6a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Sewer ","Laundry/AWC & AG WC (Rodrigo & Mick)"
"051f9255-7a4e-461a-8aeb-63da4bf0254e","","checklist-flat","work-in-progress","QA 8 - Below Ground Pipework Checklist - Sewer","checklist-flat","FALSE","FALSE","Sewer ","Laundry/AWC & AG WC (Rodrigo & Mick)","Below Ground Pipework Checklist - Sewer"
"6c44896b-28ef-4d61-8844-abab463d12c7","","checklist-flat","work-in-progress","Add Project Photos","checklist-flat","FALSE","FALSE","Sewer ","Laundry/AWC & AG WC (Rodrigo & Mick)","Pictures"
"89cf84f8-b73e-4dcb-8a99-6768378bc680","","folder-normal","work-in-progress","","step","TRUE","FALSE","Water"
"5723ebf0-4c14-4b99-af01-e7c3dbf4542e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Water","Water branch to match day pavilion (Duane and Sean)"
"dac03ed2-53b1-4b78-8090-b47222dca62e","","checklist-flat","work-in-progress","QA 8 - Below Ground Pipework Checklist - Water","checklist-flat","FALSE","FALSE","Water","Water branch to match day pavilion (Duane and Sean)","Below Ground Pipework Checklist - Water"
"20b8a32f-b0de-432e-91dc-b60dd7d2ae29","","folder-normal","work-in-progress","","step","TRUE","FALSE","Civil Storm Water Pits"
"0764d272-69bc-4ea0-bfb6-c9d5997d310b","","folder-normal","work-in-progress","","step","TRUE","FALSE","Civil Storm Water Pits","S5 -1 - 600X900"
"177a87bc-ba93-4587-95ef-c70ea00c5b1d","","checklist-flat","work-in-progress","QA 8B - Stormwater Drainage Inspection Report","checklist-flat","FALSE","FALSE","Civil Storm Water Pits","S5 -1 - 600X900","Stormwater Drainage Inspection Report"
"841e27f1-6112-41f5-9808-a50cc50a0565","","folder-normal","work-in-progress","","step","TRUE","FALSE","Civil Storm Water Pits","S5 - 2 - 600X900"
"8f3e5c84-7ced-4f3c-b13c-9f9d742a0083","","checklist-flat","work-in-progress","QA 8B - Stormwater Drainage Inspection Report","checklist-flat","FALSE","FALSE","Civil Storm Water Pits","S5 - 2 - 600X900","Stormwater Drainage Inspection Report"
"7c050bc1-2e10-49e2-8788-2a563db22713","","folder-normal","work-in-progress","","step","TRUE","FALSE","Civil Storm Water Pits","S5 - 3 - 600X600"
"bcc84e36-e819-40b5-aad8-4de147e0113f","","checklist-flat","work-in-progress","QA 8B - Stormwater Drainage Inspection Report","checklist-flat","FALSE","FALSE","Civil Storm Water Pits","S5 - 3 - 600X600","Stormwater Drainage Inspection Report"
"3a2db5f9-ba46-483d-a8bf-efc4c9984b59","","folder-normal","work-in-progress","","step","TRUE","FALSE","Civil Storm Water Pits","S5 - 4 - 450X450"
"c2baae31-117c-43d7-a166-8ab0aa4d33bc","","checklist-flat","work-in-progress","QA 8B - Stormwater Drainage Inspection Report","checklist-flat","FALSE","FALSE","Civil Storm Water Pits","S5 - 4 - 450X450","Stormwater Drainage Inspection Report"
"bbc077b7-0e8d-421a-a4b5-81be810e326b","","folder-normal","work-in-progress","","step","TRUE","FALSE","Civil Storm Water Pits","S5 - 6 - 600X600"
"8c47cae7-5378-4062-96a0-752cae3f397a","","checklist-flat","work-in-progress","QA 8B - Stormwater Drainage Inspection Report","checklist-flat","FALSE","FALSE","Civil Storm Water Pits","S5 - 6 - 600X600","Stormwater Drainage Inspection Report"
"5a5d7f0c-23bb-49b0-827e-48a075f5ea64","","checklist-flat","not-started","QA 8B - Stormwater Drainage Inspection Report","checklist-flat","FALSE","FALSE","Civil Storm Water Pits","S2 -5 - 600 x 900"
"1e1cdf45-4e94-44f0-bf19-df4d8404d604","","checklist-flat","not-started","QA 8B - Stormwater Drainage Inspection Report","checklist-flat","FALSE","FALSE","Civil Storm Water Pits","S2 - 4 - 600x900"
"0bd555ad-0d81-4644-9a0e-743a3072568b","","checklist-flat","work-in-progress","Add Project Photos","checklist-flat","FALSE","FALSE","Project Photos"
"a535b506-e2e4-4b89-b5e7-8a11ab698c8e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Civil storm water pipe"
"ab0193e8-b146-45f0-b6a7-1860ef13f201","","checklist-flat","work-in-progress","QA 8B - Stormwater Drainage Inspection Report","checklist-flat","FALSE","FALSE","Civil storm water pipe","Stormwater Drainage Inspection Report Pits S5-1 to S5-2"
"e549f6bf-fe73-4424-ae4d-d706d3ebad36","","checklist-flat","work-in-progress","QA 8B - Stormwater Drainage Inspection Report","checklist-flat","FALSE","FALSE","Civil storm water pipe","Stormwater Drainage Inspection Report Pits S5-2 to S5-3"
"a6608e04-926b-440d-8586-82d089ff2f6e","","checklist-flat","work-in-progress","QA 8B - Stormwater Drainage Inspection Report","checklist-flat","FALSE","FALSE","Civil storm water pipe","Stormwater Drainage Inspection Report Pits S5-3 to S5-4"
"c596dbd9-7d8a-4040-a831-f026230e2411","","checklist-flat","work-in-progress","QA 8B - Stormwater Drainage Inspection Report","checklist-flat","FALSE","FALSE","Civil storm water pipe","Stormwater Drainage Inspection Report Pits S5-4 to S5-6"
"17226f3e-7e2b-43e8-bea7-9fdf898855ef","","checklist-flat","not-started","QA 8B - Stormwater Drainage Inspection Report","checklist-flat","FALSE","FALSE","Civil storm water pipe","Stormwater Drainage Inspection Report Pits S5-5 to S5-6"
"6aa90e30-0d7e-4555-9ec1-826145eae11c","","checklist-flat","not-started","QA 8B - Stormwater Drainage Inspection Report","checklist-flat","FALSE","FALSE","Civil storm water pipe","Stormwater Drainage Inspection Report Pits S5-6 to S2-5"
"17136676-4385-499b-b7d7-a26501eb1f13","","checklist-flat","not-started","QA 8B - Stormwater Drainage Inspection Report","checklist-flat","FALSE","FALSE","Civil storm water pipe","Stormwater Drainage Inspection Report Pits S2-5 to S2-4"
"8c7e027c-85e9-4e97-a786-309216e24b77","","folder-normal","work-in-progress","","step","TRUE","FALSE","Vast "
"1fa53085-9484-46b3-b728-021a650297a6","","folder-normal","work-in-progress","","step","TRUE","FALSE","Vast ","West wing "
"626a6f84-3d1a-4156-9e5d-07fb6736d76a","","checklist-flat","work-in-progress","Add Project Photos","checklist-flat","FALSE","FALSE","Vast ","West wing ","Existing John Gent Stand "
"9668f764-4874-443a-b72c-c5277257aa85","","checklist-flat","work-in-progress","Add Project Photos","checklist-flat","FALSE","FALSE","Vast ","West wing ","Whitten stand, APC and indoor field "
