"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,,"site qa"
,"Rows"
,,"Zone A (Building B) - Zone 51 - Ground Floor","dynamic","ground floor","site qa","zone a (building b)","zone 51"
,,"Zone A (Building B) - Zone 52 - Lower Ground","dynamic","site qa","zone a (building b)","zone 52","lower ground"
,,"Zone A (Building B) - Zone 53 - Lower Ground","dynamic","site qa","zone a (building b)","zone 53","lower ground"
,,"Zone A (Building B) - Zone 53 - Ground Floor","dynamic","ground floor","site qa","zone a (building b)","zone 53"
,,"Zone A (Building B) - Zone 53 - Level 02","dynamic","site qa","zone a (building b)","zone 53","level 02"
,,"Zone A (Building B) - Zone 54 - Ground Floor","dynamic","ground floor","site qa","zone a (building b)","zone 54"
,,"Zone A (Building B) - Zone 55 - Basement 01","dynamic","zone 55","basement 01","site qa","zone a (building b)"
,,"Zone A (Building B) - Zone 56 - Lower Ground","dynamic","site qa","zone a (building b)","zone 56","lower ground"
,,"Zone A (Building B) - Zone 56 - Ground Floor","dynamic","ground floor","site qa","zone a (building b)","zone 56"
,,"Zone A (Building B) - Zone 56 - Level 01","dynamic","site qa","zone a (building b)","zone 56","level 01"
,,"Zone A (Building B) - Zone 56 - Level 02","dynamic","site qa","zone a (building b)","zone 56","level 02"
,,"Zone A (Building B) - Zone 56 - Level 03","dynamic","site qa","zone a (building b)","zone 56","level 03"
,,"Zone A (Building B) - Zone 56 - Level 04","dynamic","level 04","site qa","zone a (building b)","zone 56"
,,"Zone A (Building B) - Zone 56 - Level 05","dynamic","level 05","site qa","zone a (building b)","zone 56"
,,"Zone A (Building B) - Zone 56 - Level 06","dynamic","site qa","zone a (building b)","zone 56","level 06"
,,"Zone A (Building B) - Zone 56 - Level 06","dynamic","site qa","zone a (building b)","zone 56","level 06"
,,"Zone A (Building B) - Zone 56 - Level 07","dynamic","level 07","site qa","zone a (building b)","zone 56"
,,"Zone A (Building B) - Zone 56 - Level 08","dynamic","site qa","zone a (building b)","zone 56","level 08"
,,"Zone A (Building B) - Zone 56 - Level 09","dynamic","site qa","zone a (building b)","zone 56","level 09"
,,"Zone A (Building B) - Zone 56 - Level 10","dynamic","level 10","site qa","zone a (building b)","zone 56"
,,"Zone A (Building B) - Zone 57 - Level 01","dynamic","zone 57","site qa","zone a (building b)","level 01"
,,"Zone A (Building B) - Zone 59 - Level 01","dynamic","site qa","zone a (building b)","level 01","zone 59"
,,"Zone A (Building B) - Zone 60 - Lower Ground","dynamic","zone 60","site qa","zone a (building b)","lower ground"
,,"Zone A (Building B) - Zone 60 - Ground Floor","dynamic","zone 60","ground floor","site qa","zone a (building b)"
,,"Zone B (Building A) - Zone 72 - Ground Floor","dynamic","ground floor","zone 72","site qa","zone b (building a)"
,,"Zone B (Building A) - Zone 72 - Level 01","dynamic","zone 72","site qa","level 01","zone b (building a)"
,,"Zone B (Building A) - Zone 74 - Lower Ground","dynamic","site qa","zone b (building a)","zone 74","lower ground"
,,"Zone B (Building A) - Zone 74 - Ground Floor","dynamic","ground floor","site qa","zone b (building a)","zone 74"
,,"Zone B (Building A) - Zone 74 - Level 01","dynamic","site qa","level 01","zone b (building a)","zone 74"
,,"Zone B (Building A) - Zone 74 - Level 02","dynamic","site qa","zone b (building a)","zone 74","level 02"
,,"Zone B (Building A) - Zone 75 - Ground Floor","dynamic","ground floor","site qa","zone 75","zone b (building a)"
,,"Zone B (Building A) - Zone 75 - Level 01","dynamic","site qa","zone 75","level 01","zone b (building a)"
,,"Zone B (Building A) - Zone 75 - Level 02","dynamic","site qa","zone 75","zone b (building a)","level 02"
,,"Zone B (Building A) - Zone 75 - Level 03","dynamic","site qa","zone 75","zone b (building a)","level 03"
,,"Zone B (Building A) - Zone 75 - Level 04","dynamic","level 04","site qa","zone 75","zone b (building a)"
,,"Zone B (Building A) - Zone 76 - Level 02","dynamic","site qa","zone b (building a)","zone 76","level 02"
,,"Zone C (Building C) - Zone 90 - Lower Ground Mezz","dynamic","lower ground mezz","zone c (building c)","site qa","zone 90"
,,"Zone C (Building C) - Zone 90 - Ground Floor","dynamic","ground floor","zone c (building c)","site qa","zone 90"
,,"Zone C (Building C) - Zone 91 - Ground Floor","dynamic","ground floor","zone c (building c)","zone 91","site qa"
,,"Zone C (Building C) - Zone 92 - Ground Floor","dynamic","ground floor","zone c (building c)","site qa","zone 92"
,,"Zone C (Building C) - Zone 93 - Ground Floor","dynamic","zone 93","ground floor","zone c (building c)","site qa"
,,"Zone C (Building D) - Zone 84 - Lower Ground Mezz","dynamic","lower ground mezz","site qa","zone c (building d)","zone 84"
,,"Zone C (Building D) - Zone 84 - Ground Floor","dynamic","ground floor","site qa","zone c (building d)","zone 84"
,,"Zone C (Building D) - Zone 84 - Level 01","dynamic","site qa","zone c (building d)","level 01","zone 84"
,,"Zone C (Building D) - Zone 84 - Level 02","dynamic","site qa","zone c (building d)","zone 84","level 02"
,,"Zone C (Building D) - Zone 84 - Level 03","dynamic","site qa","zone c (building d)","zone 84","level 03"
,,"Zone C (Building E) - Zone 08 - Lower Ground","dynamic","zone c (building e)","zone 08","site qa","lower ground"
,,"Zone C (Building E) - Zone 08 - Ground Floor","dynamic","zone c (building e)","ground floor","zone 08","site qa"
,,"Zone C (Building E) - Zone 08 - Level 01","dynamic","zone c (building e)","zone 08","site qa","level 01"
,,"Zone C (Building E) - Zone 08 - Level 02","dynamic","zone c (building e)","zone 08","site qa","level 02"
,,"Zone C (Building E) - Zone 08 - Level 03","dynamic","zone c (building e)","zone 08","site qa","level 03"
,,"Zone C (Building E) - Zone 08 - Level 04","dynamic","zone c (building e)","level 04","zone 08","site qa"
,"Columns"
,,"Internal Tiling",,"internal tiling"
,,"Internal Waterproofing",,"internal waterproofing"

