type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,External Paving (Pods & Pavers),itp,,,,,External Paving (Pods & Pavers) ITP,
section,Details,,,,,,,
checkpoint,1. Ensure Material and Tiles Set out Approved As per the drawings and spec,,,,,,,
textbox,Drawings in use:,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,2. Inspect substrate surface. Do not proceed works if substrate is unsatisfactory and report any issues to MPX for rectification,,,,,,,
checkpoint,3. Install Pedestal System & Lay pavers,,,,,,,
checkpoint,4. Install Windproof Locking system where required (P8 Pavers),,,,,,,
checkpoint,5. Clean area,,,,,,,
checkpoint,7. Final Inspection and acceptance by MPX,,,,,,,
checkpoint,Wetspot Supervisor signature,,,,,,,
,,,,,,,,
checklist,Paving,itp,,,,,Village Green Paving ITP,
section,Details,,,,,,,
checkpoint,1. Ensure Material and Tiles Set out Approved As per the drawings and spec,,,,,,,
textbox,Drawings in use:,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,2. Inspect substrate surface. Do not proceed works if substrate is unsatisfactory and report any issues to MPX for rectification,,,,,,,
checkpoint,3. Set out Pavers,,,,,,,
checkpoint,4. Apply Mudfixing Mortar,,,,,,,
label,Maximum 60mm only to courtyards and public realms,,,,,,,
label,Maximum 120mm Sand & Cement + Planicrete mudfix mortar in lieu of binding slab,,,,,,,
checkpoint,5. Lay Pavers,,,,,,,
checkpoint,6. Apply Grout,,,,,,,
checkpoint,7. Inspect Waste Blockages - Provide Photo/s,,,,,,,
checkpoint,8. Clean area,,,,,,,
checkpoint,9. Final Inspection and acceptance by MPX,,,,,,,
checkpoint,Wetspot Supervisor signature,,,,,,,
