"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1fa47ea1-ad9a-40a0-b0a1-d7cd6d3932da","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse North","W.02.10.D"
"c75c6939-2bc8-4722-87d8-ef3b5a2d2821","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse North","W.02.11.E"
"cf440aac-b23f-4ccb-8a4f-9e931693eb8c","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse North","W.02.12.F"
"1503d985-ebe6-49ba-b5c1-937a0bdea7a0","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse North","W.02.13.E"
"f549e5e7-eb6e-4c3b-8f6c-117e5a165bb8","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse North","W.02.14.D"
"6f4d63a9-71a2-48ec-af6a-c4b1f83d421c","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse North","W.02.15.E"
"d957f314-c655-4692-a8d3-b30d68503b1b","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse North","W.02.16.F"
"4b532e0f-d24b-4792-9823-03c518980249","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse North","W.02.17.E"
"ec6254cf-495a-4c1c-a821-aad169e348a6","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse North","W.02.18.D"
"6ec03f90-41e1-4119-9cde-4bf1c9fefba8","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse North","W.02.19.E"
"e5cdc16d-725d-4765-8f24-cfb71352c0c4","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse North","W.02.20.F"
"8b302a05-bb34-4e17-a3c5-186c14a10b5e","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse North","W.02.21.E"
"4eba3bd8-0835-4e41-b9dc-de37a3e2f445","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse North","W.02.22.D"
"3fafe31e-537a-42b3-832d-24ad4682be92","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse North","W.02.23.E"
"0b922b12-e8f0-44da-8f1e-195dd85be9b7","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse North","W.02.24.F"
"75a60afe-47ea-4a4f-9018-034d90b878da","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse North","W.02.25.E"
"6c6ffc6a-e4f3-4601-9843-3708e51b1408","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse North","W.02.26.E"
"3e4f361a-c57b-4819-aac9-c0e94c6c706c","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse North","W.02.27.F1"
"0f602730-e2d7-4c5b-b4d1-4937b9911b88","","folder-normal","not-started","","step","TRUE","FALSE","Level 02","Townhouse East"
"2b93c11c-d82c-45cc-9e3f-e340f1cdc781","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse East","W.02.28.H"
"b74f9c14-f694-4e37-9de5-5af1c814308a","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse East","W.02.29.E"
"fc74a319-a396-4fd0-bd91-7c9582291dc1","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse East","W.02.30.D"
"a563e2fa-483f-4436-b06c-8eb53f2e1858","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse East","W.02.31.E"
"5cb760bd-5d81-4862-a0c4-cbe52dbc5c10","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse East","W.02.32.F1"
"af9610b5-1669-455d-8b18-8ef62b9f62ea","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse East","W.02.33.E"
"ac483c4e-6231-415e-ad8e-1573187b2b25","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse East","W.02.34.D"
"b3e7fe1a-8d77-4751-b093-001e23b224ae","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse East","W.02.35.E"
"ac329cf1-23e4-4b66-876d-850328473f6f","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse East","W.02.36.F1"
"6dbf7433-ac77-4efb-8d2d-08da71749280","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse East","W.02.37.E"
