"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f81961a5-d4f4-412f-bddf-6b3d26de404c","","pass","","folder","TRUE","FALSE","Site QA"
"615fcc0f-1008-410b-89f8-a4e6a530fc05","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Ground Level"
"38a867fa-7bee-4680-b110-cf6d9a9edf33","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Level 1"
"f5064d68-80d6-4773-9975-1decc1653d8a","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Other"
"b0b56b8e-e913-4125-9243-5d9502f607cf","","pass","Ground Beams","checklist","FALSE","FALSE","Site QA","Ground Beams GL A-A+/1,2,3"
