type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Wall Framing,,,,,,QA - Wall Framing
checkpoint,All relevant drawings and revision numbers checked and attached,,,,,,
checkpoint,"DPC installed, checked and correct as per specification",,,,,,
checkpoint,"Wall locations checked, correct and approved as per latest revised drawing",,,,,,
checkpoint,Fixings and hold down bolts checked and correct,,,,,,
checkpoint,"All openings (doors / windows etc) checked, correct and approved",,,,,,
checkpoint,Deflection heads type installed and correct,,,,,,
checkpoint,Wall type checked (straight and plumb) and within tolerance,,,,,,
checkpoint,"All relevant nogs (service and special/fixtures) installed, checked and correct",,,,,,
checkpoint,All other nogs checked and approved,,,,,,
checkpoint,"Moisture reading checked, recorded and acceptable",,,,,,
checkpoint,All wall framing checks completed & Inspections carried out,,,,,,
checkpoint,Relevant inspections completed and attached,,,,,,
checkpoint,Report sent to client,,,,,,
,,,,,,,
checklist-flat,Timber Joist,,,,,,QA - Timber Joist
checkpoint,All relevant drawings and revision numbers checked and attached,,,,,,
checkpoint,Barriers in correct height,,,,,,
checkpoint,Timber size/treatment correct,,,,,,
checkpoint,Joist are installed at correct centres,,,,,,
checkpoint,Solid timber blockings are installed at correct centres,,,,,,
checkpoint,Correct fixings being used,,,,,,
checkpoint,Opening/penetration is correctly constructed,,,,,,
checkpoint,General photos and observation of other timber joist attached,,,,,,
checkpoint,Send report to client,,,,,,
,,,,,,,
checklist-flat,CD Plywood,,,,,,QA - CD Plywood
checkpoint,All relevant drawings and revision numbers checked and attached,,,,,,
checkpoint,Plywood thickness / treatment correct,,,,,,
checkpoint,Correct fixings being used – screws / nails,,,,,,
checkpoint,Fixings are installed at correct centres (perimeter – 150mm max / intermediate -300mm max),,,,,,
checkpoint,Plywood pattern installed correctly,,,,,,
checkpoint,Send report to client,,,,,,
