"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c5de2373-0b28-4f5a-aeee-abb768c32941","","work-in-progress","","folder","TRUE","FALSE","September 23, 2024 - September 27, 2024"
"4bc3ea4a-97e5-4f1f-9cee-0c029f216668","","work-in-progress","","folder","TRUE","FALSE","September 23, 2024 - September 27, 2024","Monday"
"9df402bb-e3c0-43e4-a88e-7a31e66e88b1","","not-started","91 Matakokiri Drive, Tauriko, Tauranga 3110","checklist","FALSE","FALSE","September 23, 2024 - September 27, 2024","Monday","91 Matakokiri Drive, Tauriko, Tauranga 3110"
"06c12118-30fc-4d44-81b2-4cdead632a8d","","pass","3/30 Albert Street, Cambridge, 3434","checklist","FALSE","FALSE","September 23, 2024 - September 27, 2024","Monday","3/30 Albert Street, Cambridge, 3434"
"2a3372cd-6796-47de-8127-4527303b2180","","pass","1/8 Puriri Street, Hilltop, Taupo, 3330","checklist","FALSE","FALSE","September 23, 2024 - September 27, 2024","Monday","1/8 Puriri Street, Hilltop, Taupo, 3330"
"eccfce4c-771c-4db0-bc75-0751e7c40d2d","","work-in-progress","","folder","TRUE","FALSE","September 23, 2024 - September 27, 2024","Tuesday"
"443a1d38-adb5-4bce-b642-19b43c87a5a1","","not-started","91 Matakokiri Drive, Tauriko, Tauranga 3110","checklist","FALSE","FALSE","September 23, 2024 - September 27, 2024","Tuesday","91 Matakokiri Drive, Tauriko, Tauranga 3110"
"9d4f4034-9005-4d86-9a3a-9079cf30e8bd","","pass","3/30 Albert Street, Cambridge, 3434","checklist","FALSE","FALSE","September 23, 2024 - September 27, 2024","Tuesday","3/30 Albert Street, Cambridge, 3434"
"3d04586b-a308-4cc3-9b2a-1b972542a0ae","","pass","1/8 Puriri Street, Hilltop, Taupo, 3330","checklist","FALSE","FALSE","September 23, 2024 - September 27, 2024","Tuesday","1/8 Puriri Street, Hilltop, Taupo, 3330"
"0ccfbd4d-e84c-4c89-8ed6-e38369547dc3","","pass","","folder","TRUE","FALSE","September 23, 2024 - September 27, 2024","Wednesday"
"7d7a0f37-6e26-47b3-af45-85eebcbe65a9","","pass","91 Matakokiri Drive, Tauriko, Tauranga 3110","checklist","FALSE","FALSE","September 23, 2024 - September 27, 2024","Wednesday","91 Matakokiri Drive, Tauriko, Tauranga 3110"
"0c021885-46f7-4f88-9917-fadd8dabe1cf","","pass","3/30 Albert Street, Cambridge, 3434","checklist","FALSE","FALSE","September 23, 2024 - September 27, 2024","Wednesday","3/30 Albert Street, Cambridge, 3434"
"41e00336-d601-40e6-a464-eb94c3240195","","pass","1/8 Puriri Street, Hilltop, Taupo, 3330","checklist","FALSE","FALSE","September 23, 2024 - September 27, 2024","Wednesday","1/8 Puriri Street, Hilltop, Taupo, 3330"
"a33993e1-542c-4344-9161-b0124777dcd2","","pass","","folder","TRUE","FALSE","September 23, 2024 - September 27, 2024","Thursday"
"1c13e1e2-8bee-4c67-bc44-008bb9ee0433","","pass","91 Matakokiri Drive, Tauriko, Tauranga 3110","checklist","FALSE","FALSE","September 23, 2024 - September 27, 2024","Thursday","91 Matakokiri Drive, Tauriko, Tauranga 3110"
"269b2e2d-08f2-4abc-ac24-cb553c52e569","","pass","3/30 Albert Street, Cambridge, 3434","checklist","FALSE","FALSE","September 23, 2024 - September 27, 2024","Thursday","3/30 Albert Street, Cambridge, 3434"
"3ee49b47-4c6d-4c93-849f-f123682429f9","","pass","1/8 Puriri Street, Hilltop, Taupo, 3330","checklist","FALSE","FALSE","September 23, 2024 - September 27, 2024","Thursday","1/8 Puriri Street, Hilltop, Taupo, 3330"
"31719a7f-b109-4112-ab3b-ba17ddaaef9d","","pass","","folder","TRUE","FALSE","September 23, 2024 - September 27, 2024","Friday"
"5e111520-4fca-4f23-9faf-31525f565359","","pass","91 Matakokiri Drive, Tauriko, Tauranga 3110","checklist","FALSE","FALSE","September 23, 2024 - September 27, 2024","Friday","91 Matakokiri Drive, Tauriko, Tauranga 3110"
"437cdbb3-2302-4631-bf6d-8e0b500f4269","","pass","3/30 Albert Street, Cambridge, 3434","checklist","FALSE","FALSE","September 23, 2024 - September 27, 2024","Friday","3/30 Albert Street, Cambridge, 3434"
"8b50b339-dc55-4788-8f26-2ad468c9afeb","","pass","1/8 Puriri Street, Hilltop, Taupo, 3330","checklist","FALSE","FALSE","September 23, 2024 - September 27, 2024","Friday","1/8 Puriri Street, Hilltop, Taupo, 3330"
"dd3d48c2-0440-4009-938b-547a73cca289","","pass","","folder","TRUE","FALSE","September 30, 2024 - October 4, 2024"
"54744b87-8f62-454d-9dcc-d9802f8bbac5","","pass","","folder","TRUE","FALSE","September 30, 2024 - October 4, 2024","Monday"
"3a55fcde-f614-404c-8b05-cf2911b15864","","pass","91 Matakokiri Drive, Tauriko, Tauranga 3110","checklist","FALSE","FALSE","September 30, 2024 - October 4, 2024","Monday","91 Matakokiri Drive, Tauriko, Tauranga 3110"
"cec5a23b-ef5a-4ec5-ac58-2e107c953a11","","pass","3/30 Albert Street, Cambridge, 3434","checklist","FALSE","FALSE","September 30, 2024 - October 4, 2024","Monday","3/30 Albert Street, Cambridge, 3434"
"13330bd9-c841-4272-84e0-8b901e8553ab","","pass","1/8 Puriri Street, Hilltop, Taupo, 3330","checklist","FALSE","FALSE","September 30, 2024 - October 4, 2024","Monday","1/8 Puriri Street, Hilltop, Taupo, 3330"
"78d24949-6518-43e3-9d80-902f54dcd4a7","","pass","","folder","TRUE","FALSE","September 30, 2024 - October 4, 2024","Tuesday"
