"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Plastering & Internal Hebel Progress"
,"Scope",,,"plastering & internal hebel"
,"Rows"
,,"West Tower - Level 5","dynamic","level 5","site qa","plastering & internal hebel","west tower"
,,"West Tower - Level 6","dynamic","level 6","site qa","plastering & internal hebel","west tower"
,,"West Tower - Level 7","dynamic","level 7","site qa","plastering & internal hebel","west tower"
,,"West Tower - Level 8","dynamic","site qa","level 8","plastering & internal hebel","west tower"
,,"West Tower - Level 9","dynamic","site qa","level 9","plastering & internal hebel","west tower"
,,"West Tower - Level 10","dynamic","level 10","site qa","plastering & internal hebel","west tower"
,,"West Tower - Level 11","dynamic","site qa","level 11","plastering & internal hebel","west tower"
,,"West Tower - Level 12","dynamic","site qa","level 12","plastering & internal hebel","west tower"
,,"West Tower - Level 13","dynamic","site qa","plastering & internal hebel","level 13","west tower"
,,"West Tower - Level 14","dynamic","site qa","level 14","plastering & internal hebel","west tower"
,,"West Tower - Level 15","dynamic","level 15","site qa","plastering & internal hebel","west tower"
,,"West Tower - Level 16","dynamic","level 16","site qa","plastering & internal hebel","west tower"
,,"West Tower - Level 17","dynamic","level 17","site qa","plastering & internal hebel","west tower"
,,"West Tower - Level 18","dynamic","level 18","site qa","plastering & internal hebel","west tower"
,,"West Tower - Level 19","dynamic","site qa","level 19","plastering & internal hebel","west tower"
,,"West Tower - Level 20","dynamic","level 20","site qa","plastering & internal hebel","west tower"
,,"West Tower - Level 21","dynamic","level 21","site qa","plastering & internal hebel","west tower"
,,"West Tower - Level 22","dynamic","site qa","level 22","plastering & internal hebel","west tower"
,,"West Tower - Level 23","dynamic","site qa","level 23","plastering & internal hebel","west tower"
,,"West Tower - Level 24","dynamic","site qa","plastering & internal hebel","level 24","west tower"
,,"West Tower - Level 25","dynamic","site qa","level 25","plastering & internal hebel","west tower"
,,"West Tower - Level 26","dynamic","level 26","site qa","plastering & internal hebel","west tower"
,,"West Tower - Level 27","dynamic","level 27","site qa","plastering & internal hebel","west tower"
,,"East Tower - Level 5","dynamic","level 5","site qa","east tower","plastering & internal hebel"
,,"East Tower - Level 6","dynamic","level 6","site qa","east tower","plastering & internal hebel"
,,"East Tower - Level 7","dynamic","level 7","site qa","east tower","plastering & internal hebel"
,,"East Tower - Level 9","dynamic","site qa","level 9","east tower","plastering & internal hebel"
,,"East Tower - Level 10","dynamic","level 10","site qa","east tower","plastering & internal hebel"
,,"East Tower - Level 11","dynamic","site qa","level 11","east tower","plastering & internal hebel"
,,"East Tower - Level 12","dynamic","site qa","level 12","east tower","plastering & internal hebel"
,,"East Tower - Level 13","dynamic","site qa","east tower","plastering & internal hebel","level 13"
,,"East Tower - Level 14","dynamic","site qa","east tower","level 14","plastering & internal hebel"
,,"East Tower - Level 15","dynamic","level 15","site qa","east tower","plastering & internal hebel"
,,"East Tower - Level 16","dynamic","level 16","site qa","east tower","plastering & internal hebel"
,,"East Tower - Level 17","dynamic","level 17","site qa","east tower","plastering & internal hebel"
,,"East Tower - Level 18","dynamic","level 18","site qa","east tower","plastering & internal hebel"
,,"East Tower - Level 19","dynamic","site qa","level 19","east tower","plastering & internal hebel"
,,"East Tower - Level 20","dynamic","level 20","site qa","east tower","plastering & internal hebel"
