"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b6d39672-ea77-4e8a-8f6c-eed65df7074a","","folder-normal","fail","","step","TRUE","FALSE","Ground floor"
"3b6110a6-13f2-41ab-aaba-c24b60ed8f39","","checklist-sectioned","pass","22b317afc6e0235bb5c2696a26848127224301dd4e0d0f0abb6aff9bb2da84d7","checklist","FALSE","FALSE","Ground floor","PCG10"
"48f74736-23f9-4d1c-9d4f-38340232895d","","checklist-sectioned","pass","b8199f97428d945ede1543326b041aa02fbab962322f4a5ec21ce4ce6f51a7ee","checklist","FALSE","FALSE","Ground floor","PCG04"
"dae6f1dd-de4d-4f3e-b3ab-6dfa4473f34e","","checklist-sectioned","pass","b8199f97428d945ede1543326b041aa02fbab962322f4a5ec21ce4ce6f51a7ee","checklist","FALSE","FALSE","Ground floor","PCG05"
"05a5167d-8766-4f70-9515-ea18f2864a96","","checklist-sectioned","fail","b8199f97428d945ede1543326b041aa02fbab962322f4a5ec21ce4ce6f51a7ee","checklist","FALSE","FALSE","Ground floor","PCG06"
"d5ce45ac-07fc-4124-99e7-06b13c0e9f76","","checklist-sectioned","pass","22b317afc6e0235bb5c2696a26848127224301dd4e0d0f0abb6aff9bb2da84d7","checklist","FALSE","FALSE","Ground floor","PCG08"
"7be9d541-e1e9-416c-84c5-889fa3720a7d","","checklist-sectioned","pass","b8199f97428d945ede1543326b041aa02fbab962322f4a5ec21ce4ce6f51a7ee","checklist","FALSE","FALSE","Ground floor","PG11"
"6aa67262-42d5-4f1c-be12-31cf4473e004","","checklist-sectioned","pass","b8199f97428d945ede1543326b041aa02fbab962322f4a5ec21ce4ce6f51a7ee","checklist","FALSE","FALSE","Ground floor","PG12"
"2690e8bf-dce6-4890-9c56-ddb50ed2305a","","checklist-sectioned","pass","db811ee16fe71e8926a4f05c5830cfc70871cea54bb4c4dbdf10660507342367","checklist","FALSE","FALSE","Ground floor","PG13"
"38efe6fd-62e9-41bf-8eae-70d4ba500772","","checklist-sectioned","pass","db811ee16fe71e8926a4f05c5830cfc70871cea54bb4c4dbdf10660507342367","checklist","FALSE","FALSE","Ground floor","PG14"
"95407c0e-2579-4380-99b2-5b4a6c05e1df","","folder-normal","pass","","step","TRUE","FALSE","Level 1"
