"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"05211e91-940b-4c4c-8b9f-2a8d8a12287c","","work-in-progress","","folder","TRUE","FALSE","CORE 4"
"20b686de-6f11-4207-b8fc-7063afe9d851","","not-started","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 4","C04C01"
"93576a1f-0cff-4942-89ec-e16e25e8e49e","","not-started","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 4","C04C02"
"cef5f453-5f6e-484d-8b4c-cffa0ac0eb00","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 4","C04C03"
