"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"eee4c2ac-726e-4efd-823f-59130ad8f798","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"65d361a3-4e01-444f-8494-2d061853b2ff","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Penetrations"
"ceab2d40-bbaf-45f0-b5d3-eaec3d92c110","","checklist-flat","pass","Penetrations ITP","checklist-flat","FALSE","FALSE","Site QA","Penetrations","Ground"
"e21a63ee-1261-586c-bf48-f7f1d763e742","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Penetrations","Ground","Set Out"
"3a6a7787-f232-58c4-8cb2-6e368a48b1eb","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Penetrations","Ground","Fire Collar Installation"
"007947cb-d2be-5db3-b2ef-87c1db8c18c7","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Penetrations","Ground","Cast in Drains c/w Polilag"
"d16d1765-53ba-466c-89e0-805e310b4e66","","checklist-flat","pass","Penetrations ITP","checklist-flat","FALSE","FALSE","Site QA","Penetrations","Level 1"
"af496796-e73c-5763-8922-66e2a340183c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Penetrations","Level 1","Set Out"
"815daea6-b76f-5aec-bb40-c70c053862b7","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Penetrations","Level 1","Fire Collar Installation"
"4be5ebed-94ad-5615-95d6-b77941e5ad32","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Penetrations","Level 1","Cast in Drains c/w Polilag"
"128ad39d-91e4-448b-86e6-4089cdefcf38","","checklist-flat","pass","Penetrations ITP","checklist-flat","FALSE","FALSE","Site QA","Penetrations","Level 2"
"30d02be7-a580-55e7-835b-f8b82aedc5e5","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Penetrations","Level 2","Set Out"
"c2695aa5-9a51-528a-8f36-b70c20fbc229","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Penetrations","Level 2","Fire Collar Installation"
"5b868de1-6d50-5071-9919-6c4354f124d9","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Penetrations","Level 2","Cast in Drains c/w Polilag"
"343cc957-e6f0-430a-961a-6a3e93bdee45","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Penetrations","Level 3"
"ca543272-c6d7-40d3-a9ce-ab94a8a02270","","checklist-flat","pass","Penetrations ITP","checklist-flat","FALSE","FALSE","Site QA","Penetrations","Level 3","301"
"1e37989d-0203-5f81-ae2f-37309024138e","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Penetrations","Level 3","301","Set Out"
"ee87ee97-cec8-5ef4-9bad-859acbe73319","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Penetrations","Level 3","301","Fire Collar Installation"
"2169affa-0cbd-5eaf-a427-da2337535040","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Penetrations","Level 3","301","Cast in Drains c/w Polilag"
"3ab11f2a-919e-4ba8-b169-f877592464df","","checklist-flat","pass","Penetrations ITP","checklist-flat","FALSE","FALSE","Site QA","Penetrations","Level 3","302"
"d03ed466-0028-5fd4-a9e6-b492443d93a2","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Penetrations","Level 3","302","Set Out"
"c9429ed6-6cf4-5df2-b6b4-48b1b0805705","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Penetrations","Level 3","302","Fire Collar Installation"
"1dc30743-6ca9-5836-98c9-6eccf4d79e67","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Penetrations","Level 3","302","Cast in Drains c/w Polilag"
"108033b6-d9f3-4a71-9d3d-5cfccee0932e","","checklist-flat","pass","Penetrations ITP","checklist-flat","FALSE","FALSE","Site QA","Penetrations","Level 3","303"
"4ce1433e-1593-5ef5-9939-54d0e6d1fc1c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Penetrations","Level 3","303","Set Out"
"4164bbed-9fc3-5d79-8d15-58a78c3772ab","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Penetrations","Level 3","303","Fire Collar Installation"
"911f1ecd-5141-525b-adfb-828fb693fc32","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Penetrations","Level 3","303","Cast in Drains c/w Polilag"
"842a3b0f-fe64-4c4b-9356-70a84c918d2c","","checklist-flat","pass","Penetrations ITP","checklist-flat","FALSE","FALSE","Site QA","Penetrations","Level 3","304"
"341f9df1-6feb-5058-a5d6-e840d90ec58f","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Penetrations","Level 3","304","Set Out"
"fc7a3e3e-c9c2-5b82-98c7-dfbe62f13f66","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Penetrations","Level 3","304","Fire Collar Installation"
"5e4de647-2241-5e19-9c8d-87c8a8fded92","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Penetrations","Level 3","304","Cast in Drains c/w Polilag"
"be034214-5058-4813-b1c5-4390a5651780","","checklist-flat","pass","Penetrations ITP","checklist-flat","FALSE","FALSE","Site QA","Penetrations","Level 3","305"
"fb61d019-f704-5e3d-a9c7-5a4a5a51ee0d","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Penetrations","Level 3","305","Set Out"
"efbeb014-afb1-5720-8722-8152edf393af","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Penetrations","Level 3","305","Fire Collar Installation"
"587930ff-8bb5-55f1-af37-b911e7c6bb6c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Penetrations","Level 3","305","Cast in Drains c/w Polilag"
"e036b025-a219-457a-b9b9-2120b0754f7c","","checklist-flat","pass","Penetrations ITP","checklist-flat","FALSE","FALSE","Site QA","Penetrations","Level 3","306"
"54925fd4-a312-5193-933f-ca1711e4f285","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Penetrations","Level 3","306","Set Out"
"b091e767-f245-57fd-8262-285547f84100","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Penetrations","Level 3","306","Fire Collar Installation"
"f2a6c5a7-85c6-53dc-8d07-d75bbd2029a6","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Penetrations","Level 3","306","Cast in Drains c/w Polilag"
"dd4a2db5-25bd-48ea-aa0b-6f9b61dfbbdd","","checklist-flat","pass","Penetrations ITP","checklist-flat","FALSE","FALSE","Site QA","Penetrations","Level 3","Gym Amenities"
"9d60c507-87b9-52eb-b31f-1a25ad8b512d","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Penetrations","Level 3","Gym Amenities","Set Out"
"06ecc784-cc12-5698-b2b7-233526c060db","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Penetrations","Level 3","Gym Amenities","Fire Collar Installation"
"d426f518-b74b-53da-9aa9-aa5772261dce","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Penetrations","Level 3","Gym Amenities","Cast in Drains c/w Polilag"
"500fe4a8-7017-412d-a85d-328f124c8c9a","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Penetrations","Level 4"
"5256dfa8-bf2a-4193-9c7b-82e1d9b654d8","","checklist-flat","pass","Penetrations ITP","checklist-flat","FALSE","FALSE","Site QA","Penetrations","Level 4","401"
"8d617f9c-047a-59d1-930c-26eaf3476761","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Penetrations","Level 4","401","Set Out"
