"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"56e40a72-2b25-49db-868e-36914e8abc92","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"cd18e247-535f-41a0-8ae9-bf368e7df6f3","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Pool Terrace"
"a2c891c3-0983-43a0-86aa-15be7f9176f2","","checklist-flat","not-started","d32784cf8875ffc91f3628a0367b3369176d26e268551b14521450a44c5d597b","checklist-flat","FALSE","FALSE","Site QA","Pool Terrace","Rainwater Tank - Floor and Walls"
"b10a189f-c192-4609-81ab-24fa6d55996e","","checklist-flat","not-started","a869727860719b229b2e4c5b311952cb70336b2ab217910bf65d94a044b1f676","checklist-flat","FALSE","FALSE","Site QA","Pool Terrace","Internal Wet Areas - Floors and Walls"
"25159ee1-827e-42e0-ae59-b63b13d8ebb6","","checklist-flat","not-started","94abbeaf1d02bdbb4c26bb3d8c7e621ffeb7c7a4dba925cbb586c7ce9be9ee75","checklist-flat","FALSE","FALSE","Site QA","Pool Terrace","Balcony - Floors"
"d5fcb35a-a1f1-4669-aa1b-99505b7d1e72","","checklist-flat","not-started","94abbeaf1d02bdbb4c26bb3d8c7e621ffeb7c7a4dba925cbb586c7ce9be9ee75","checklist-flat","FALSE","FALSE","Site QA","Pool Terrace","Podium - Floors"
"33cd937b-4bfc-4431-8f3e-d0ff62a7bf7a","","checklist-flat","not-started","a869727860719b229b2e4c5b311952cb70336b2ab217910bf65d94a044b1f676","checklist-flat","FALSE","FALSE","Site QA","Pool Terrace","Planters - Floors and Walls"
"5da39311-2158-4b11-be72-ca873fa6f224","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Ground"
"593bc4dc-6479-48a6-96ea-219a636ebbd1","","checklist-flat","pass","a869727860719b229b2e4c5b311952cb70336b2ab217910bf65d94a044b1f676","checklist-flat","FALSE","FALSE","Site QA","Ground","Internal Wet Areas - Floors and Walls"
"98162e7a-4049-4c86-9f70-991458ecaa28","","checklist-flat","not-started","a869727860719b229b2e4c5b311952cb70336b2ab217910bf65d94a044b1f676","checklist-flat","FALSE","FALSE","Site QA","Ground","Planters - Floors and Walls"
"21dd8244-7fa4-4828-820d-3a518d201a6e","","checklist-flat","not-started","94abbeaf1d02bdbb4c26bb3d8c7e621ffeb7c7a4dba925cbb586c7ce9be9ee75","checklist-flat","FALSE","FALSE","Site QA","Ground","Driveway - Floors"
"6b83ec37-c17d-44d3-9c90-1ab03f415c13","","checklist-flat","not-started","94abbeaf1d02bdbb4c26bb3d8c7e621ffeb7c7a4dba925cbb586c7ce9be9ee75","checklist-flat","FALSE","FALSE","Site QA","Ground","Podium - Floors"
"a28cea3f-cea1-4543-8785-69d78a0d659b","","checklist-flat","not-started","29caa27820af3e5abcf2f5b958b2ed5d05691673c63cd76b0a7f2a5613d757df","checklist-flat","FALSE","FALSE","Site QA","Ground","Window Reveals"
"30d121dc-af6b-4d9d-a3e9-b161b3a9ad79","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 1"
"9b78454d-1ad7-4ffa-abb6-2ca9badd3f15","","checklist-flat","work-in-progress","a869727860719b229b2e4c5b311952cb70336b2ab217910bf65d94a044b1f676","checklist-flat","FALSE","FALSE","Site QA","Level 1","Internal Wet Areas - Floors and Walls"
"bedba5a0-864c-4157-b606-745d87d3a679","","checklist-flat","not-started","a869727860719b229b2e4c5b311952cb70336b2ab217910bf65d94a044b1f676","checklist-flat","FALSE","FALSE","Site QA","Level 1","Planters - Floors and Walls"
"c7f981b4-8cb7-4ef6-a53e-a58059263d6d","","checklist-flat","not-started","94abbeaf1d02bdbb4c26bb3d8c7e621ffeb7c7a4dba925cbb586c7ce9be9ee75","checklist-flat","FALSE","FALSE","Site QA","Level 1","Terrace - Floors"
