"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a848c3ae-5705-4a7c-922d-ffb409cd9730","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"57cc0617-c19a-4624-8fba-d3b12b148a0a","","not-started","","folder","TRUE","FALSE","Site QA","Basement"
"48f876ec-a115-4a47-aded-a89ad8a7f7c5","","not-started","Garbage Rooms Waterproofing","checklist","FALSE","FALSE","Site QA","Basement","Garbage Rooms"
"197a7563-add5-4b54-8b3f-ccb2ca0281bb","","not-started","Lift Pits Waterproofing","checklist","FALSE","FALSE","Site QA","Basement","Lift Pits"
"a8ac9a85-5174-4486-8ef8-c2ef285a5378","","not-started","Internal Wet Area (Bathrooms & Laundries) Waterproofing","checklist","FALSE","FALSE","Site QA","Basement","Bathrooms"
"e275ac74-72be-47c8-ac08-3765759aa643","","work-in-progress","","folder","TRUE","FALSE","Site QA","Lower Ground"
"6b2328a7-d5a5-4e8e-aa62-7c6ac0c24704","","pass","Hobs","checklist","FALSE","FALSE","Site QA","Lower Ground","Hobs"
"5afc185c-19f0-4401-8dfe-76d1aae585c1","","pass","Internal Wet Areas","checklist","FALSE","FALSE","Site QA","Lower Ground","Internal Wet Areas"
"7252729d-91d0-4d63-bc81-839aa1b79ce3","","not-started","Balcony Waterproofing","checklist","FALSE","FALSE","Site QA","Lower Ground","Balcony"
"12202934-dcb3-49ad-a187-769257b8e873","","work-in-progress","","folder","TRUE","FALSE","Site QA","Upper Ground"
"94f2a11a-4906-4d07-964f-30e72dc1939d","","pass","Hobs","checklist","FALSE","FALSE","Site QA","Upper Ground","Hobs"
"0498250c-9a21-4cee-b551-c7ec56a2f732","","pass","Internal Wet Areas","checklist","FALSE","FALSE","Site QA","Upper Ground","Internal Wet Areas"
"904f3caa-a536-4f45-9475-cbc744d6c7c2","","not-started","Balcony Waterproofing","checklist","FALSE","FALSE","Site QA","Upper Ground","Balcony"
"f447d1af-e334-4f8e-9246-4bdedc8ecf96","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 1"
"fd89e92c-6b9e-4a9a-8f94-6624a609c17d","","pass","Hobs","checklist","FALSE","FALSE","Site QA","Level 1","Hobs"
"28afbafa-c38f-4427-a337-8b7c490e7e8c","","pass","Internal Wet Areas","checklist","FALSE","FALSE","Site QA","Level 1","Internal Wet Areas"
"980bdadf-5cc0-497b-9257-82c749bb5092","","not-started","Balcony Waterproofing","checklist","FALSE","FALSE","Site QA","Level 1","Balcony"
"6fead5b6-2149-429d-944f-d7ecc3f07464","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 2"
"6cebc9b0-4f71-407a-939a-c93fe5655343","","pass","Hobs","checklist","FALSE","FALSE","Site QA","Level 2","Hobs"
"12361eb5-f59a-4fff-b30e-8eaa229de260","","pass","Internal Wet Areas","checklist","FALSE","FALSE","Site QA","Level 2","Internal Wet Areas"
"5c438c75-fcdc-4423-bcff-adfa608a37fd","","not-started","Balcony Waterproofing","checklist","FALSE","FALSE","Site QA","Level 2","Balcony"
"de77e71d-16c8-4803-acbd-aa63945db317","","pass","","folder","TRUE","FALSE","Site QA","Roof"
"d0e5776f-65d1-4052-bd8a-b986af50ae91","","pass","Roof, Terraces & Walkways Waterproofing","checklist","FALSE","FALSE","Site QA","Roof","Roof"
