"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d634dfc9-9512-432b-8615-708ab27aa71b","","","","folder","TRUE","FALSE","Site QA"
"0e9d94ab-f098-4580-8b5a-e9faa0c85a27","","","","folder","TRUE","FALSE","Site QA","Basement"
"14e533f0-e3ae-485c-ae46-6a7b98fb2237","","","Garbage Rooms Waterproofing","checklist","FALSE","FALSE","Site QA","Basement","Garbage Rooms"
"5b8afd89-198b-44e2-9e4a-b3c1c0ae4d04","","","Lift Pits Waterproofing","checklist","FALSE","FALSE","Site QA","Basement","Lift Pits"
"61b63f0d-0e67-4ead-b19c-ec6ace5d350f","","","Internal Wet Area (Bathrooms & Laundries) Waterproofing","checklist","FALSE","FALSE","Site QA","Basement","Bathrooms"
"6dd038f6-9905-4a89-bada-f8adf563a24e","","","","folder","TRUE","FALSE","Site QA","Level 1"
"68df3086-ea1e-4564-b5e8-492ecc52b234","","","Hobs","checklist","FALSE","FALSE","Site QA","Level 1","Hobs"
"ce549e2c-c55e-4370-a758-82cac9f7aa32","","","Internal Wet Areas","checklist","FALSE","FALSE","Site QA","Level 1","Internal Wet Areas"
"87bcff3e-7539-4bf3-9105-b4c31fb5b893","","","Balcony Waterproofing","checklist","FALSE","FALSE","Site QA","Level 1","Balcony"
"229a6415-c352-4946-a441-c2761ead8449","","","","folder","TRUE","FALSE","Site QA","Level 2"
"f99a3d39-3572-4bf0-9139-56620398b3bc","","","Hobs","checklist","FALSE","FALSE","Site QA","Level 2","Hobs"
"7ec2039f-7e88-487a-8ee7-6801d9412228","","","Internal Wet Areas","checklist","FALSE","FALSE","Site QA","Level 2","Internal Wet Areas"
"94e4701b-801c-426e-ac9d-972568edef46","","","Balcony Waterproofing","checklist","FALSE","FALSE","Site QA","Level 2","Balcony"
"a91c7a6e-68ba-4556-8e84-fa6abbfe908c","","","","folder","TRUE","FALSE","Site QA","Level 3"
"4b2d005d-2ce6-493f-b2a2-14ec65efa992","","","Hobs","checklist","FALSE","FALSE","Site QA","Level 3","Hobs"
"5d737773-8989-4540-98fc-85b584411966","","","Internal Wet Areas","checklist","FALSE","FALSE","Site QA","Level 3","Internal Wet Areas"
"f1afab59-be47-453e-80bf-0f907f2c0656","","","Balcony Waterproofing","checklist","FALSE","FALSE","Site QA","Level 3","Balcony"
"257ec75b-3773-4a44-b040-17898da5219c","","","","folder","TRUE","FALSE","Site QA","Roof"
