type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,AC Outdoor unit (VRF) Fit Off,,,,,,AC Outdoor unit (VRF) Fit Off
checkpoint,"Unit Model Number correct, vibration mounts installed & unit Labelled",,,,,,
checkpoint,Condensate drains installed to tundish/waste point provided,,,,,,
checkpoint,System pressure tested to 400PSI,,,,,,
,,,,,,,
checklist-flat,AC Outdoor unit (VRF) Commissioning,,,,,,AC Outdoor unit (VRF) Commissioning
checkpoint,System evacuated and valves opened - Photo of vac stat required,,,,,,
checkpoint,Operation checked,,,,,,
,,,,,,,
checklist-flat,AC Outdoor unit (VRV) Fit Off,,,,,,AC Outdoor unit (VRV) Fit Off
checkpoint,"Unit Model Number correct, vibration mounts installed & unit Labelled",,,,,,
checkpoint,Condensate drains installed to tundish/waste point provided,,,,,,
checkpoint,System pressure tested to 400PSI,,,,,,
,,,,,,,
checklist-flat,AC Outdoor unit (VRV) Commissioning,,,,,,AC Outdoor unit (VRV) Commissioning
checkpoint,System evacuated and valves opened - Photo of vac stat required,,,,,,
checkpoint,Operation checked,,,,,,
,,,,,,,
checklist-flat,Roof Cowl (RC),,,,,,Roof Cowl (RC)
checkpoint,"RC Model Number correct, installed & RC Labelled",,,,,,
,,,,,,,
checklist-flat,Flexible Connection & Cushin Heads,,,,,,Flexible Connection & Cushin Heads
checkpoint,"All flexible connections & cushion heads are Installed s per drawings, including ductwork connections.",,,,,,
,,,,,,,
checklist-flat,Package Unit,,,,,,Package Unit
checkpoint,"Unit Model Number correct, vibration mounts installed & unit Labelled",,,,,,
checkpoint,"All solid ductwork installed as per drawings, including flexible connections",,,,,,
checkpoint,"Dampers installed  (NRD, VC, FD, MVCD) and all fully opened",,,,,,
checkpoint,Overflashings installed,,,,,,
checkpoint,Drains installed to waste point,,,,,,
checkpoint,Operation tested,,,,,,
,,,,,,,
checklist-flat,VAV,,,,,,VAV
checkpoint,"VAV installed, Model Number correct & unit Labelled",,,,,,
