type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Power Distribution System Installation,,,,,,Power Distribution System Installation
checkpoint,Main Switchboard design and installation,,,,,,
checkpoint,Transport switchboard to site.,,,,,,
checkpoint,Secure main switchboard into position.,,,,,,
checkpoint,"Cable tray, ladder and duct installation",,,,,,
checkpoint,Mains and Sub Mains cabling installation,,,,,,
checkpoint,Uninterrupted Power Supply,,,,,,
checkpoint,(UPS) Installation,,,,,,
checkpoint,Busduct installation,,,,,,
checkpoint,Commission the main switchboard installation and Sub Mains cabling,,,,,,
