type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Cash & Card APM,,,,,,Cash & Card APM
checkpoint,"Device Installed correctly, all bolts & nuts tight",,,,,,
checkpoint,Correct physical location,,,,,,
checkpoint,Lock Barrel tested and operational,,,,,,
checkpoint,Door tested ? open/close freely,,,,,,
checkpoint,CC reader reading cards & working correctly,,,,,,
checkpoint,LCD screen correct display in idle and activation,,,,,,
checkpoint,Receipt Printer tested and operational,,,,,,
checkpoint,"Intercom button working, comms in both directions & volume correct",,,,,,
checkpoint,Hearing Aid Loop Tested and operational,,,,,,
checkpoint,Ipro bank note processing tested and operational,,,,,,
checkpoint,coin acceptor tested and operational,,,,,,
