"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"964e8635-3a8f-4a1f-b7ad-90a459b17da6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","ROOF LEVEL 1 "
"da7deaf5-bc27-4270-a0b7-22cc8ee20363","","folder-normal","no-status-not-started","","step","TRUE","FALSE","ROOF LEVEL 1 ","AREA 5"
"d8b12267-0084-4996-8312-c7260533e7c8","","folder-normal","no-status-not-started","","step","TRUE","FALSE","ROOF LEVEL 1 ","AREA 6"
"6fdd4c86-d063-4881-a678-859b5ba3e2c1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","ROOF LEVEL 1 ","AREA 8 "
"0442cd69-d754-47b2-90b7-a676b87e6c7a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","ROOF LEVEL 1 ","AREA 9"
"11336386-8347-4602-b9d1-d3b880e4c8c3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","ROOF LEVEL 1 ","AREA 10"
"0b70b125-b196-4269-820d-d9d755c14e0a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","ROOF LEVEL 1 ","AREA 11"
"63560d74-eb5e-4b08-928c-a3245e1c1de8","","folder-normal","no-status-not-started","","step","TRUE","FALSE","ROOF LEVEL 2"
"8fd4a6cc-55c1-46a5-9b85-5ae8fb9a6170","","folder-normal","no-status-not-started","","step","TRUE","FALSE","ROOF LEVEL 2","AREA 1"
"5e6ecf98-a901-4bdb-8072-a67f51632aac","","folder-normal","no-status-not-started","","step","TRUE","FALSE","ROOF LEVEL 2","AREA 2A"
"62f104b1-d0e7-4938-843f-c775c70d4488","","folder-normal","no-status-not-started","","step","TRUE","FALSE","ROOF LEVEL 2","AREA 4"
"08114e47-4d51-4f50-be83-096a56c21436","","folder-normal","no-status-not-started","","step","TRUE","FALSE","ROOF LEVEL 2","AREA 4A"
