"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1173a02e-4d35-4b4c-9dc4-550a0b480bea","","folder-normal","pass","","step","TRUE","FALSE","FHC-ITP-001 - Clearing and Grubbing"
"36d676fc-089b-4541-a59a-23816b36d33a","","checklist-sectioned","pass","FHC-ITP-001 - Clearing & Grubbing Rev1","checklist","FALSE","FALSE","FHC-ITP-001 - Clearing and Grubbing","708-0301 - Clearing and Grubbing - FHC-ITP-001-01"
"a41b4524-85b7-4bc4-91d7-9296d70d1785","","folder-normal","work-in-progress","","step","TRUE","FALSE","FHC-ITP-004 - FLA Type A Capping"
"aeb4b8e2-bc23-4a8d-a44a-f28f53c5744f","","checklist-sectioned","pass","FHC-ITP-004 - Type A Fill Placement Rev3","checklist","FALSE","FALSE","FHC-ITP-004 - FLA Type A Capping","FHC-ITP-004 - LOT 1 - FLA Type A Fill Placement"
"48dfa15e-4cc1-4e40-8edb-4d1420dbd250","","checklist-sectioned","work-in-progress","FHC-ITP-004 - Type A Fill Placement Rev3","checklist","FALSE","FALSE","FHC-ITP-004 - FLA Type A Capping","FHC-ITP-004 - LOT 2 - FLA Type A Fill Placement"
"122600f0-3847-4290-ab61-4a6c82d24814","","checklist-sectioned","work-in-progress","FHC-ITP-004 - Type A Fill Placement Rev3","checklist","FALSE","FALSE","FHC-ITP-004 - FLA Type A Capping","FHC-ITP-004 - LOT 3 - FLA Type A Fill Placement"
"dc7cea26-1ccb-412a-ad53-4ff77ad71d4e","","checklist-sectioned","work-in-progress","FHC-ITP-004 - Type A Fill Placement Rev3","checklist","FALSE","FALSE","FHC-ITP-004 - FLA Type A Capping","FHC-ITP-004 - LOT 4 - FLA Type A Fill Placement"
"ff0e7f43-b84e-4cc0-bfa2-248f9367dff4","","checklist-sectioned","work-in-progress","FHC-ITP-004 - Type A Fill Placement Rev3","checklist","FALSE","FALSE","FHC-ITP-004 - FLA Type A Capping","FHC-ITP-004 - LOT 5 - FLA Type A Fill Placement - Widening"
"caec4768-4040-4ce6-99b2-4b48d57088a1","","folder-normal","work-in-progress","","step","TRUE","FALSE","FHC-ITP-004 - Class 3 Cement Treated Crushed Rock"
"427f3af9-63c1-41ea-8180-5f5f2de6bf09","","checklist-sectioned","work-in-progress","FHC-ITP-034 - Cement Treated Crushed Rock Sub-base Rev0","checklist","FALSE","FALSE","FHC-ITP-004 - Class 3 Cement Treated Crushed Rock","FHC-ITP-034 - LOT 1 - Cement Treated Crushed Rock"
"0ed49d0f-0d42-4ad2-be89-ebdf408ca374","","checklist-sectioned","work-in-progress","FHC-ITP-034 - Cement Treated Crushed Rock Sub-base Rev0","checklist","FALSE","FALSE","FHC-ITP-004 - Class 3 Cement Treated Crushed Rock","FHC-ITP-034 - LOT 2 - Cement Treated Crushed Rock"
"52fff459-7564-4300-84ac-596dc67d0191","","checklist-sectioned","work-in-progress","FHC-ITP-034 - Cement Treated Crushed Rock Sub-base Rev0","checklist","FALSE","FALSE","FHC-ITP-004 - Class 3 Cement Treated Crushed Rock","FHC-ITP-034 - LOT 3 - Cement Treated Crushed Rock"
"94380305-7a25-40cb-ad94-ec5036a6235e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","FHC-ITP-005 - FLA Class 2 "
"de8e629a-0b44-45a0-9afc-1a0d126fb7ba","","folder-normal","work-in-progress","","step","TRUE","FALSE","FHC-ITP-006 - FLA Class 3 Crushed Rock"
"52a4a23d-74fa-4bb2-96ce-cf6cf6f4f977","","checklist-sectioned","work-in-progress","FHC-ITP-006 - Class 3 Crushed Rock Rev3","checklist","FALSE","FALSE","FHC-ITP-006 - FLA Class 3 Crushed Rock","708-0319 - LOT 1 - FLA - Class 3 Crushed Rock"
"1ab6b648-6d39-4d6a-9d3c-4efc8f276bde","","checklist-sectioned","not-started","FHC-ITP-006 - Class 3 Crushed Rock Rev3","checklist","FALSE","FALSE","FHC-ITP-006 - FLA Class 3 Crushed Rock","708-0320 - Lot 2 - W/D Footpath - Class 3 Crushed Rock"
"1e6147a6-e754-497e-831d-48284dd24637","","folder-normal","pass","","step","TRUE","FALSE","FHC-ITP-007 - General Demolition"
"fbe71f04-d7bc-4c39-90e3-aa527ec7bc6a","","checklist-sectioned","pass","FHC-ITP-007 - General Demolition Rev1","checklist","FALSE","FALSE","FHC-ITP-007 - General Demolition","FHC-ITP-007 - General Demolition"
"221bec06-eb2d-4db0-ba88-9b7dec06b59e","","folder-normal","work-in-progress","","step","TRUE","FALSE","FHC-ITP-008 - Stormwater Drainage"
"3e50b0a9-de78-48a6-a549-eea16001fccd","","checklist-sectioned","work-in-progress","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","708-0328 - Stormwater Drainage - Bus Interchange - FHC-ITP-008-01"
"d747762e-0d85-4dea-913d-8d0ac944a9d7","","checklist-sectioned","work-in-progress","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","708-0329 - Stormwater Drainage - Bus Interchange - FHC-ITP-008-02 "
"22a483f3-f1d7-4319-8f85-6807d9c65c15","","checklist-sectioned","work-in-progress","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","708-0330 - Stormwater Drainage - Bus Interchange - FHC-ITP-008-03"
"19ae39dc-7196-40d5-bd01-b5da96b9388b","","checklist-sectioned","work-in-progress","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","708-0331 - Stormwater Drainage - Bus Interchange - FHC-ITP-008-04"
"cb8769fe-b5b4-41cc-93ab-45403d656d21","","checklist-sectioned","work-in-progress","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","708-0332 - Stormwater Drainage - Bus Interchange - FHC-ITP-008-05"
"70bc4ef2-2380-4d23-9fee-f67861e1d1f0","","checklist-sectioned","work-in-progress","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","708-0333 - Stormwater Drainage - Bus Interchange - FHC-ITP-008-06"
